date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,211256000000,0.1115,86291000000,0.33
2025-12-31,761049000000,0.0188,338906000000,1.3
2025-09-30,573702000000,0.0082,257360000000,1
2025-06-30,394273000000,0.0215,162076000000,0.65
2025-03-31,190070000000,-0.054,83351000000,0.33
2024-12-31,750151000000,-0.0254,335577000000,1.31
2024-09-30,569022000000,-0.033,255776000000,1.01
2024-06-30,385965000000,-0.0357,164326000000,0.66
2024-03-31,200928000000,-0.0297,86817000000,0.35
2023-12-31,769736000000,-0.0179,332653000000,1.31
2023-09-30,588440000000,-0.0127,255454000000,1.02
2023-06-30,400255000000,-0.0059,167344000000,0.67
2023-03-31,207076000000,0.0096,88743000000,0.35
2022-12-31,822473000000,-0.0022,323861000000,1.28
2022-09-30,630539000000,0.0098,247282000000,0.99
2022-06-30,435970000000,0.0472,161642000000,0.65
2022-03-31,232230000000,0.0725,88741000000,0.35
2021-12-31,824246000000,0.0905,302513000000,1.19
2021-09-30,624405000000,0.0927,232153000000,0.93
2021-06-30,416332000000,0.07,153300000000,0.61
2021-03-31,216523000000,0.034,83115000000,0.33
2020-12-31,755858000000,0.0712,271050000000,1.06
2020-09-30,571435000000,0.0589,205832000000,0.82
2020-06-30,389109000000,0.0765,137626000000,0.55
2020-03-31,209395000000,0.1194,80855000000,0.32
2019-12-31,705629000000,0.0709,266733000000,1.05
2019-09-30,539635000000,0.0766,225344000000,0.9
2019-06-30,361471000000,0.0608,154190000000,0.62
2019-03-31,187066000000,0.0331,76916000000,0.31
2018-12-31,658891000000,0.0599,254655000000,1
2018-09-30,500047000000,0.0594,214108000000,0.86
2018-06-30,339903000000,0.0609,147027000000,0.59
2018-03-31,183221000000,0.0727,73815000000,0.3
2017-12-31,621659000000,0.0274,242264000000,0.96
2017-09-30,471994000000,-0.0012,201242000000,0.8
2017-06-30,320388000000,-0.0374,138339000000,0.55
2017-03-31,170798000000,-0.0912,70012000000,0.28
2016-12-31,605090000000,-0.0002,231460000000,0.92
2016-09-30,472572000000,0.0332,193835000000,0.78
