date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,2482587620045.91,0.6998,,,,,0.7003,,,,,0.0410,3.1737,,,,,7.2660,,,,,7.2623,,,,
2026-07-02,2511363662006.4,0.7080,,,,,0.7084,,,,,0.0405,3.2105,,,,,7.3502,,,,,7.3465,,,,
2026-07-01,2503515650562.63,0.7057,,,,,0.7062,,,,,0.0406,3.2005,,,,,7.3273,,,,,7.3235,,,,
2026-06-30,2519211673450.1704,0.7102,,,,,0.7106,,,,,0.0404,3.2205,,,,,7.3732,,,,,7.3694,,,,
2026-06-29,2571531749741.97,0.7249,,,,,0.7254,,,,,0.0395,3.2874,,,,,7.5263,,,,,7.5225,,,,
2026-06-26,2558451730669.02,0.7212,,,,,0.7217,,,,,0.0397,3.2707,,,,,7.4881,,,,,7.4842,,,,
2026-06-25,2566299742112.79,0.7234,,,,,0.7239,,,,,0.0396,3.2807,,,,,7.5110,,,,,7.5072,,,,
2026-06-24,2595075784073.28,0.7316,,,,,0.7320,,,,,0.0392,3.3175,,,,,7.5952,,,,,7.5914,,,,
2026-06-23,2634315841292.13,0.7426,,,,,0.7431,,,,,0.0386,3.3677,,,,,7.7101,,,,,7.7061,,,,
2026-06-22,2600307791702.46,0.7330,,,,,0.7335,,,,,0.0391,3.3242,,,,,7.6106,,,,,7.6067,,,,
2026-06-18,2595075784073.28,0.7316,,,,,0.7320,,,,,0.0392,3.3175,,,,,7.5952,,,,,7.5914,,,,
2026-06-17,2650011864179.6704,0.7470,,,,,0.7475,,,,,0.0384,3.3877,,,,,7.7560,,,,,7.7521,,,,
2026-06-16,2660475879438.03,0.7500,,,,,0.7505,,,,,0.0382,3.4011,,,,,7.7867,,,,,7.7827,,,,
2026-06-15,2718027963359.0103,0.7662,,,,,0.7667,,,,,0.0374,3.4747,,,,,7.9551,,,,,7.9510,,,,
2026-06-12,2799124081611.3,0.7891,,,,,0.7896,,,,,0.0363,3.5784,,,,,8.1925,,,,,8.1883,,,,
2026-06-11,2772964043465.4,0.7817,,,,,0.7822,,,,,0.0367,3.5449,,,,,8.1159,,,,,8.1117,,,,
2026-06-10,2744188001504.91,0.7736,,,,,0.7741,,,,,0.0371,3.5081,,,,,8.0317,,,,,8.0276,,,,
2026-06-09,2710179951915.2397,0.7640,,,,,0.7645,,,,,0.0375,3.4647,,,,,7.9321,,,,,7.9281,,,,
2026-06-08,2702331940471.47,0.7618,,,,,0.7623,,,,,0.0376,3.4546,,,,,7.9092,,,,,7.9051,,,,
2026-06-05,2673555898510.98,0.7537,,,,,0.7542,,,,,0.0380,3.4178,,,,,7.8249,,,,,7.8209,,,,
2026-06-04,2623851826033.77,0.7397,,,,,0.7402,,,,,0.0388,3.3543,,,,,7.6795,,,,,7.6755,,,,
2026-06-03,2631699837477.54,0.7419,,,,,0.7424,,,,,0.0386,3.3643,,,,,7.7024,,,,,7.6985,,,,
2026-06-02,2663091883252.62,0.7507,,,,,0.7512,,,,,0.0382,3.4045,,,,,7.7943,,,,,7.7903,,,,
2026-06-01,2636931845106.72,0.7434,,,,,0.7439,,,,,0.0386,3.3710,,,,,7.7178,,,,,7.7138,,,,
2026-05-29,2605539799331.64,0.7345,,,,,0.7350,,,,,0.0390,3.3309,,,,,7.6259,,,,,7.6220,,,,
2026-05-28,2639547848921.31,0.7441,,,,,0.7446,,,,,0.0385,3.3744,,,,,7.7254,,,,,7.7215,,,,
2026-05-27,2673555898510.98,0.7537,,,,,0.7542,,,,,0.0380,3.4178,,,,,7.8249,,,,,7.8209,,,,
2026-05-26,2697099932842.29,0.7603,,,,,0.7608,,,,,0.0377,3.4479,,,,,7.8939,,,,,7.8898,,,,
2026-05-25,2652627867994.2603,0.7478,,,,,0.7483,,,,,0.0383,3.3911,,,,,7.7637,,,,,7.7597,,,,
2026-05-22,2642163852735.9,0.7448,,,,,0.7453,,,,,0.0385,3.3777,,,,,7.7331,,,,,7.7291,,,,
2026-05-21,2629083833662.95,0.7411,,,,,0.7416,,,,,0.0387,3.3610,,,,,7.6948,,,,,7.6908,,,,
2026-05-20,2576763757371.15,0.7264,,,,,0.7269,,,,,0.0395,3.2941,,,,,7.5417,,,,,7.5378,,,,
2026-05-19,2597691787887.87,0.7323,,,,,0.7328,,,,,0.0391,3.3209,,,,,7.6029,,,,,7.5990,,,,
2026-05-18,2553219723039.84,0.7198,,,,,0.7202,,,,,0.0398,3.2640,,,,,7.4727,,,,,7.4689,,,,
2026-05-15,2568915745927.38,0.7242,,,,,0.7247,,,,,0.0396,3.2841,,,,,7.5187,,,,,7.5148,,,,
2026-05-14,2547987715410.66,0.7183,,,,,0.7188,,,,,0.0399,3.2573,,,,,7.4574,,,,,7.4536,,,,
2026-05-13,2513979665820.9897,0.7087,,,,,0.7092,,,,,0.0404,3.2138,,,,,7.3579,,,,,7.3541,,,,
2026-05-12,2519211673450.1704,0.7102,,,,,0.7106,,,,,0.0404,3.2205,,,,,7.3732,,,,,7.3694,,,,
2026-05-11,2511363662006.4,0.7080,,,,,0.7084,,,,,0.0405,3.2105,,,,,7.3502,,,,,7.3465,,,,
2026-05-08,2534907696337.71,0.7146,,,,,0.7151,,,,,0.0401,3.2406,,,,,7.4191,,,,,7.4153,,,,
2026-05-07,2540139703966.89,0.7161,,,,,0.7166,,,,,0.0400,3.2473,,,,,7.4345,,,,,7.4307,,,,
2026-05-06,2563683738298.2,0.7227,,,,,0.7232,,,,,0.0397,3.2774,,,,,7.5034,,,,,7.4995,,,,
2026-04-30,2602923795517.05,0.7338,,,,,0.7343,,,,,0.0391,3.3275,,,,,7.6182,,,,,7.6143,,,,
2026-04-29,2566299742112.79,0.7410,,,,,0.7415,,,,,0.0396,3.3721,,,,,7.5751,,,,,7.5723,,,,
2026-04-28,2563683738298.2,0.7402,,,,,0.7407,,,,,0.0397,3.3686,,,,,7.5673,,,,,7.5646,,,,
2026-04-27,2532291692523.12,0.7312,,,,,0.7317,,,,,0.0402,3.3274,,,,,7.4747,,,,,7.4720,,,,
2026-04-24,2547987715410.66,0.7357,,,,,0.7362,,,,,0.0399,3.3480,,,,,7.5210,,,,,7.5183,,,,
2026-04-23,2545371711596.0703,0.7349,,,,,0.7354,,,,,0.0399,3.3446,,,,,7.5133,,,,,7.5106,,,,
2026-04-22,2561067734483.61,0.7395,,,,,0.7400,,,,,0.0397,3.3652,,,,,7.5596,,,,,7.5569,,,,
2026-04-21,2576763757371.15,0.7440,,,,,0.7445,,,,,0.0395,3.3858,,,,,7.6059,,,,,7.6032,,,,
2026-04-20,2545371711596.0703,0.7349,,,,,0.7354,,,,,0.0399,3.3446,,,,,7.5133,,,,,7.5106,,,,
2026-04-17,2461659589529.19,0.7108,,,,,0.7113,,,,,0.0413,3.2346,,,,,7.2662,,,,,7.2635,,,,
2026-04-16,2472123604787.55,0.7138,,,,,0.7143,,,,,0.0411,3.2483,,,,,7.2971,,,,,7.2944,,,,
2026-04-15,2474739608602.14,0.7145,,,,,0.7150,,,,,0.0411,3.2517,,,,,7.3048,,,,,7.3021,,,,
2026-04-14,2448579570456.2397,0.7070,,,,,0.7075,,,,,0.0415,3.2174,,,,,7.2276,,,,,7.2250,,,,
2026-04-13,2438115555197.88,0.7040,,,,,0.7045,,,,,0.0417,3.2036,,,,,7.1967,,,,,7.1941,,,,
2026-04-10,2417187524681.16,0.6979,,,,,0.6984,,,,,0.0421,3.1761,,,,,7.1349,,,,,7.1323,,,,
2026-04-09,2425035536124.9297,0.7002,,,,,0.7007,,,,,0.0419,3.1864,,,,,7.1581,,,,,7.1555,,,,
2026-04-08,2432883547568.7,0.7024,,,,,0.7029,,,,,0.0418,3.1968,,,,,7.1812,,,,,7.1786,,,,
2026-04-07,2409339513237.39,0.6957,,,,,0.6961,,,,,0.0422,3.1658,,,,,7.1117,,,,,7.1092,,,,
2026-04-03,2459043585714.6,0.7100,,,,,0.7105,,,,,0.0414,3.2311,,,,,7.2585,,,,,7.2558,,,,
2026-04-02,2506131654377.22,0.7236,,,,,0.7241,,,,,0.0406,3.2930,,,,,7.3975,,,,,7.3948,,,,
2026-04-01,2472123604787.55,0.7138,,,,,0.7143,,,,,0.0411,3.2483,,,,,7.2971,,,,,7.2944,,,,
2026-03-31,2524443681079.35,0.7289,,,,,0.7294,,,,,0.0403,3.3171,,,,,7.4515,,,,,7.4488,,,,
2026-03-30,2487819627675.09,0.7183,,,,,0.7188,,,,,0.0409,3.2689,,,,,7.3434,,,,,7.3407,,,,
2026-03-27,2464275593343.78,0.7280,,,,,0.7286,,,,,0.0406,3.2647,,,,,7.3236,,,,,7.3089,,,,
2026-03-26,2469507600972.96,0.7296,,,,,0.7301,,,,,0.0405,3.2716,,,,,7.3391,,,,,7.3244,,,,
2026-03-25,2456427581900.0103,0.7257,,,,,0.7262,,,,,0.0408,3.2543,,,,,7.3002,,,,,7.2856,,,,
2026-03-24,2438115555197.88,0.7203,,,,,0.7208,,,,,0.0411,3.2300,,,,,7.2458,,,,,7.2313,,,,
2026-03-23,2396259494164.44,0.7079,,,,,0.7085,,,,,0.0418,3.1746,,,,,7.1214,,,,,7.1072,,,,
2026-03-20,2453811578085.4204,0.7249,,,,,0.7255,,,,,0.0408,3.2508,,,,,7.2925,,,,,7.2779,,,,
2026-03-19,2443347562827.06,0.7219,,,,,0.7224,,,,,0.0410,3.2369,,,,,7.2614,,,,,7.2468,,,,
2026-03-18,2414571520866.5703,0.7134,,,,,0.7139,,,,,0.0415,3.1988,,,,,7.1758,,,,,7.1615,,,,
2026-03-17,2422419532310.34,0.7157,,,,,0.7162,,,,,0.0413,3.2092,,,,,7.1992,,,,,7.1848,,,,
2026-03-16,2401491501793.62,0.7095,,,,,0.7100,,,,,0.0417,3.1815,,,,,7.1370,,,,,7.1227,,,,
2026-03-13,2393643490349.85,0.7072,,,,,0.7077,,,,,0.0418,3.1711,,,,,7.1136,,,,,7.0994,,,,
2026-03-12,2380563471276.9,0.7033,,,,,0.7038,,,,,0.0421,3.1538,,,,,7.0748,,,,,7.0606,,,,
2026-03-11,2367483452203.95,0.6994,,,,,0.7000,,,,,0.0423,3.1364,,,,,7.0359,,,,,7.0218,,,,
2026-03-10,2338707410243.46,0.6909,,,,,0.6914,,,,,0.0428,3.0983,,,,,6.9504,,,,,6.9365,,,,
2026-03-09,2370099456018.54,0.7002,,,,,0.7007,,,,,0.0422,3.1399,,,,,7.0437,,,,,7.0296,,,,
2026-03-06,2346555421687.23,0.6933,,,,,0.6938,,,,,0.0427,3.1087,,,,,6.9737,,,,,6.9597,,,,
2026-03-05,2338707410243.46,0.6909,,,,,0.6914,,,,,0.0428,3.0983,,,,,6.9504,,,,,6.9365,,,,
2026-03-04,2328243394985.1,0.6879,,,,,0.6884,,,,,0.0430,3.0845,,,,,6.9193,,,,,6.9054,,,,
2026-03-03,2328243394985.1,0.6879,,,,,0.6884,,,,,0.0430,3.0845,,,,,6.9193,,,,,6.9054,,,,
2026-03-02,2278539322507.89,0.6732,,,,,0.6737,,,,,0.0439,3.0186,,,,,6.7716,,,,,6.7580,,,,
2026-02-27,2247147276732.81,0.6639,,,,,0.6644,,,,,0.0445,2.9770,,,,,6.6783,,,,,6.6649,,,,
2026-02-26,2254995288176.5796,0.6662,,,,,0.6667,,,,,0.0444,2.9874,,,,,6.7016,,,,,6.6882,,,,
2026-02-25,2262843299620.35,0.6685,,,,,0.6690,,,,,0.0442,2.9978,,,,,6.7249,,,,,6.7115,,,,
2026-02-24,2270691311064.12,0.6708,,,,,0.6713,,,,,0.0441,3.0082,,,,,6.7482,,,,,6.7347,,,,
2026-02-13,2275923318693.3,0.6724,,,,,0.6729,,,,,0.0440,3.0151,,,,,6.7638,,,,,6.7503,,,,
2026-02-12,2304699360653.79,0.6809,,,,,0.6814,,,,,0.0434,3.0533,,,,,6.8493,,,,,6.8356,,,,
2026-02-11,2343939417872.64,0.6925,,,,,0.6930,,,,,0.0427,3.1053,,,,,6.9659,,,,,6.9520,,,,
2026-02-10,2346555421687.23,0.6933,,,,,0.6938,,,,,0.0427,3.1087,,,,,6.9737,,,,,6.9597,,,,
2026-02-09,2317779379726.7397,0.6848,,,,,0.6853,,,,,0.0432,3.0706,,,,,6.8882,,,,,6.8744,,,,
2026-02-06,2312547372097.56,0.6832,,,,,0.6837,,,,,0.0433,3.0637,,,,,6.8726,,,,,6.8589,,,,
2026-02-05,2309931368282.97,0.6824,,,,,0.6829,,,,,0.0433,3.0602,,,,,6.8649,,,,,6.8511,,,,
2026-02-04,2281155326322.48,0.6739,,,,,0.6744,,,,,0.0439,3.0221,,,,,6.7793,,,,,6.7658,,,,
2026-02-03,2262843299620.35,0.6685,,,,,0.6690,,,,,0.0442,2.9978,,,,,6.7249,,,,,6.7115,,,,
2026-02-02,2299467353024.61,0.6794,,,,,0.6798,,,,,0.0435,3.0463,,,,,6.8338,,,,,6.8201,,,,
2026-01-30,2281155326322.48,0.6739,,,,,0.6744,,,,,0.0439,3.0221,,,,,6.7793,,,,,6.7658,,,,
2026-01-29,2294235345395.4297,0.6778,,,,,0.6783,,,,,0.0436,3.0394,,,,,6.8182,,,,,6.8046,,,,
2026-01-28,2278539322507.89,0.6732,,,,,0.6737,,,,,0.0439,3.0186,,,,,6.7716,,,,,6.7580,,,,
2026-01-27,2281155326322.48,0.6739,,,,,0.6744,,,,,0.0439,3.0221,,,,,6.7793,,,,,6.7658,,,,
2026-01-26,2273307314878.71,0.6716,,,,,0.6721,,,,,0.0440,3.0117,,,,,6.7560,,,,,6.7425,,,,
2026-01-23,2262843299620.35,0.6685,,,,,0.6690,,,,,0.0442,2.9978,,,,,6.7249,,,,,6.7115,,,,
2026-01-22,2273307314878.71,0.6716,,,,,0.6721,,,,,0.0440,3.0117,,,,,6.7560,,,,,6.7425,,,,
2026-01-21,2317779379726.7397,0.6848,,,,,0.6853,,,,,0.0432,3.0706,,,,,6.8882,,,,,6.8744,,,,
2026-01-20,2359635440760.1797,0.6971,,,,,0.6976,,,,,0.0424,3.1260,,,,,7.0126,,,,,6.9985,,,,
2026-01-19,2338707410243.46,0.6909,,,,,0.6914,,,,,0.0428,3.0983,,,,,6.9504,,,,,6.9365,,,,
2026-01-16,2341323414058.05,0.6917,,,,,0.6922,,,,,0.0428,3.1018,,,,,6.9582,,,,,6.9442,,,,
2026-01-15,2362251444574.77,0.6979,,,,,0.6984,,,,,0.0424,3.1295,,,,,7.0204,,,,,7.0063,,,,
2026-01-14,2372715459833.13,0.7010,,,,,0.7015,,,,,0.0422,3.1434,,,,,7.0515,,,,,7.0373,,,,
2026-01-13,2406723509422.8,0.7110,,,,,0.7116,,,,,0.0416,3.1884,,,,,7.1525,,,,,7.1382,,,,
2026-01-12,2383179475091.4897,0.7041,,,,,0.7046,,,,,0.0420,3.1572,,,,,7.0826,,,,,7.0684,,,,
2026-01-09,2370099456018.54,0.7002,,,,,0.7007,,,,,0.0422,3.1399,,,,,7.0437,,,,,7.0296,,,,
