date,总资产收益率(ROA),净资产收益率(ROE),净利润率
2026-03-31,0.0076,0.0955,0.4383
2025-12-31,0.0079,0.0967,0.4465
2025-09-30,0.0078,0.0965,0.4473
2025-06-30,0.0079,0.0976,0.4402
2025-03-31,0.0081,0.0998,0.4506
2024-12-31,0.0085,0.1032,0.4483
2024-09-30,0.0085,0.1038,0.4453
2024-06-30,0.0084,0.1063,0.4371
2024-03-31,0.0086,0.1061,0.4325
2023-12-31,0.0091,0.1099,0.4319
2023-09-30,0.0092,0.1123,0.4253
2023-06-30,0.0091,0.1166,0.4178
2023-03-31,0.0094,0.1146,0.407
2022-12-31,0.01,0.1177,0.3929
2022-09-30,0.0099,0.1184,0.3823
2022-06-30,0.0098,0.1211,0.3692
2022-03-31,0.0101,0.1195,0.3676
2021-12-31,0.0104,0.1215,0.3687
2021-09-30,0.0102,0.1222,0.3698
2021-06-30,0.01,0.1212,0.3687
2021-03-31,0.0098,0.1147,0.3612
2020-12-31,0.0102,0.1183,0.3619
2020-09-30,0.0094,0.1109,0.3383
2020-06-30,0.0097,0.1155,0.3443
2020-03-31,0.0106,0.1236,0.374
2019-12-31,0.0111,0.1274,0.3815
2019-09-30,0.0112,0.1311,0.3839
2019-06-30,0.0112,0.1341,0.3878
2019-03-31,0.011,0.1323,0.3915
2018-12-31,0.0113,0.135,0.388
2018-09-30,0.0113,0.1405,0.3943
2018-06-30,0.0113,0.1437,0.3931
2018-03-31,0.0111,0.1412,0.3903
2017-12-31,0.0113,0.1439,0.3919
2017-09-30,0.0113,0.1463,0.397
2017-06-30,0.0115,0.1508,0.4008
2017-03-31,0.0115,0.1485,0.3992
2016-12-31,0.0118,0.1532,0.3841
2016-09-30,0.0119,0.1572,0.3731
