date,资产负债率
2026-03-31,0.9181
2025-12-31,0.9176
2025-09-30,0.9154
2025-06-30,0.9158
2025-03-31,0.9139
2024-12-31,0.915
2024-09-30,0.9147
2024-06-30,0.917
2024-03-31,0.9188
2023-12-31,0.9205
2023-09-30,0.9199
2023-06-30,0.9217
2023-03-31,0.9203
2022-12-31,0.9183
2022-09-30,0.9186
2022-06-30,0.9204
2022-03-31,0.9183
2021-12-31,0.9193
2021-09-30,0.9207
2021-06-30,0.9201
2021-03-31,0.9187
2020-12-31,0.9209
2020-09-30,0.9243
2020-06-30,0.9255
2020-03-31,0.9229
2019-12-31,0.9231
2019-09-30,0.9228
2019-06-30,0.9259
2019-03-31,0.9271
2018-12-31,0.9296
2018-09-30,0.9296
2018-06-30,0.9328
2018-03-31,0.9313
2017-12-31,0.9341
2017-09-30,0.9354
2017-06-30,0.9376
2017-03-31,0.9363
2016-12-31,0.9418
2016-09-30,0.9402
