date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,10.012,65782000000,2.1072,764306000000
2025-12-31,8.3959,653656000000,3.755,640454000000
2025-09-30,2.9628,202903000000,1.7655,220153000000
2025-06-30,-0.344,-77951000000,0.7297,-37318000000
2025-03-31,-3.687,-59413000000,-3.8492,-288789000000
2024-12-31,-3.0617,-237258000000,-1.5472,-241537000000
2024-09-30,-0.9374,-265054000000,-2.1078,-74615000000
2024-06-30,-1.2505,-288440000000,-2.1909,-100365000000
2024-03-31,-1.895,-12252000000,-1.0216,-149353000000
2023-12-31,5.584,433617000000,2.2584,429390000000
2023-09-30,2.6259,239251000000,1.7258,219162000000
2023-06-30,3.2327,242205000000,1.6147,285965000000
2023-03-31,5.2334,566518000000,3.2683,466590000000
2022-12-31,-3.7287,-344587000000,0.1159,-350435000000
2022-09-30,-6.9239,-329617000000,-2.7987,-637830000000
2022-06-30,-6.3915,-394017000000,-0.8046,-570380000000
2022-03-31,-3.9167,-249754000000,0.16,-347928000000
2021-12-31,-4.6503,-389771000000,-10.3875,-394675000000
2021-09-30,-0.4377,-86770000000,-0.0082,-33995000000
2021-06-30,-2.9671,-218340000000,-6.5292,-225303000000
2021-03-31,-5.755,-297317000000,-4.9748,-412225000000
2020-12-31,-0.5057,-34228000000,0.9418,-40450000000
2020-09-30,-2.1064,-86068000000,0.8405,-147571000000
2020-06-30,-4.0086,-28999000000,0.9199,-265257000000
2020-03-31,-2.4263,74801000000,1.2149,-171000000000
2019-12-31,-8.8155,-588009000000,-0.6513,-593365000000
2019-09-30,-7.9178,-539500000000,-0.4354,-525692000000
2019-06-30,-8.8018,-362211000000,-1.2745,-565237000000
2019-03-31,-7.8061,-348059000000,-0.6579,-499718000000
2018-12-31,-5.8143,-356099000000,-1.1895,-362266000000
2018-09-30,-6.1443,-375849000000,-1.3144,-379387000000
2018-06-30,-4.685,-159252000000,-2.7878,-282488000000
2018-03-31,-5.5669,-209943000000,-3.4909,-330668000000
2017-12-31,-2.817,-162642000000,-1.8011,-169042000000
2017-09-30,0.4561,-162394000000,-12.3056,13329000000
2017-06-30,2.3547,-42043000000,-2.5122,121837000000
2017-03-31,4.2562,-46749000000,0.4137,227132000000
2016-12-31,3.7369,203017000000,-0.752,196259000000
2016-09-30,4.2337,14364000000,-0.9763,223961000000
