date,总资产收益率(ROA),净利润率,净资产收益率(ROE)
2026-03-31,0.0071,0.3667,0.0845
2025-12-31,0.0072,0.366,0.0862
2025-09-30,0.0074,0.3721,0.0874
2025-06-30,0.0074,0.3712,0.0888
2025-03-31,0.0074,0.3671,0.0882
2024-12-31,0.0075,0.3651,0.0911
2024-09-30,0.0075,0.3528,0.0901
2024-06-30,0.0077,0.3646,0.095
2024-03-31,0.0076,0.3593,0.0947
2023-12-31,0.008,0.3683,0.0992
2023-09-30,0.009,0.4013,0.1113
2023-06-30,0.0096,0.4146,0.1212
2023-03-31,0.0097,0.4127,0.1198
2022-12-31,0.0103,0.4156,0.1273
2022-09-30,0.0104,0.4007,0.1292
2022-06-30,0.0104,0.3878,0.1299
2022-03-31,0.0104,0.3884,0.1275
2021-12-31,0.0102,0.3789,0.1271
2021-09-30,0.0099,0.3705,0.1276
2021-06-30,0.0096,0.3553,0.1246
2021-03-31,0.0092,0.3386,0.1156
2020-12-31,0.009,0.3332,0.1153
2020-09-30,0.0088,0.3252,0.1145
2020-06-30,0.0087,0.3321,0.1177
2020-03-31,0.0096,0.37,0.1285
2019-12-31,0.0096,0.3679,0.1305
2019-09-30,0.0097,0.3641,0.1313
2019-06-30,0.0094,0.3633,0.1324
2019-03-31,0.0096,0.3712,0.1362
2018-12-31,0.0093,0.3869,0.1368
2018-09-30,0.0095,0.4039,0.1399
2018-06-30,0.0092,0.4112,0.1423
2018-03-31,0.0092,0.4158,0.1396
2017-12-31,0.0092,0.4125,0.1486
2017-09-30,0.0094,0.407,0.1511
2017-06-30,0.0094,0.3919,0.1548
2017-03-31,0.0095,0.368,0.1518
2016-12-31,0.0095,0.3459,0.1617
2016-09-30,0.0096,0.3323,0.1633
