date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,307846000000,3.0669,7.3117,636002000000
2025-12-31,412059000000,0.0372,4.7026,398659000000
2025-09-30,349976000000,0.2455,5.3271,450518000000
2025-06-30,183699000000,0.403,5.1583,433294000000
2025-03-31,75695000000,-0.6638,2.8776,223338000000
2024-12-31,397276000000,0.5086,4.5813,377049000000
2024-09-30,280989000000,10.8877,6.6105,557183000000
2024-06-30,130932000000,0.5681,3.6275,296017000000
2024-03-31,225146000000,8.2974,5.3924,451103000000
2023-12-31,263337000000,-0.4455,3.047,250429000000
2023-09-30,-28418000000,-1.2199,3.6391,303044000000
2023-06-30,83497000000,-0.4317,4.6855,397747000000
2023-03-31,24216000000,-0.8313,4.1052,343353000000
2022-12-31,474914000000,3.3349,5.564,462689000000
2022-09-30,129214000000,3.5954,3.3693,273880000000
2022-06-30,146914000000,-0.1259,1.072,74019000000
2022-03-31,143558000000,0.2715,1.7476,125625000000
2021-12-31,109557000000,-0.3228,1.4315,95854000000
2021-09-30,-49786000000,-3.1132,1.1597,77973000000
2021-06-30,168077000000,16.379,4.7403,332096000000
2021-03-31,112904000000,0.3166,2.8825,181006000000
2020-12-31,161772000000,5.1178,2.5152,154475000000
2020-09-30,23559000000,-0.7279,-0.6137,-46202000000
2020-06-30,-10929000000,-1.0965,-1.7064,-104621000000
2020-03-31,85756000000,-0.7525,-3.742,-240961000000
2019-12-31,26443000000,-0.8567,0.4332,19748000000
2019-09-30,86570000000,0.1333,3.2442,192437000000
2019-06-30,113271000000,,,
2019-03-31,346421000000,,,
2018-12-31,184505000000,1.462,3.5222,178821000000
2018-09-30,76388000000,,,
2017-12-31,-399348000000,-2.8115,-8.3705,-408202000000
2016-12-31,220457000000,,5.5425,213052000000
