date,净利润率,总资产收益率(ROA),净资产收益率(ROE)
2026-03-31,0.243,0.0047,0.0819
2025-12-31,0.2463,0.0049,0.0799
2025-09-30,0.2476,0.005,0.0796
2025-06-30,0.2483,0.005,0.0812
2025-03-31,0.247,0.0051,0.0859
2024-12-31,0.2486,0.0053,0.0872
2024-09-30,0.2528,0.0054,0.0889
2024-06-30,0.2503,0.0054,0.0903
2024-03-31,0.2504,0.0055,0.0906
2023-12-31,0.2523,0.0058,0.097
2023-09-30,0.2578,0.006,0.1006
2023-06-30,0.2595,0.0062,0.1014
2023-03-31,0.2563,0.0062,0.0998
2022-12-31,0.2548,0.0064,0.1053
2022-09-30,0.2539,0.0067,0.1072
2022-06-30,0.2465,0.0064,0.1036
2022-03-31,0.2457,0.0064,0.1006
2021-12-31,0.2401,0.0064,0.1042
2021-09-30,0.2473,0.0065,0.1061
2021-06-30,0.2416,0.0062,0.1033
2021-03-31,0.2249,0.0058,0.0935
2020-12-31,0.2247,0.006,0.1056
2020-09-30,0.2109,0.0056,0.1019
2020-06-30,0.2035,0.0054,0.1009
2020-03-31,0.2231,,
2019-12-31,0.2205,0.0062,0.1197
2019-09-30,0.2181,,
2019-06-30,,,
2019-03-31,,,
2018-12-31,0.2007,0.0057,0.1156
2018-09-30,,,
2017-12-31,0.2124,0.0055,0.1226
2016-12-31,0.2107,,
