date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,593269564250.48,0.0442,6.7506,,,,,1.6365,,,,,0.5746,,,,,6.7162,,,,,0.5746,,,,
2026-07-02,595671465320.32,0.0440,6.7779,,,,,1.6431,,,,,0.5770,,,,,6.7434,,,,,0.5770,,,,
2026-07-01,592068613715.5599,0.0443,6.7369,,,,,1.6332,,,,,0.5735,,,,,6.7026,,,,,0.5735,,,,
2026-06-30,592068613715.5599,0.0443,6.7369,,,,,1.6332,,,,,0.5735,,,,,6.7026,,,,,0.5735,,,,
2026-06-29,596872415855.2399,0.0439,6.7916,,,,,1.6464,,,,,0.5781,,,,,6.7570,,,,,0.5781,,,,
2026-06-26,590867663180.6399,0.0444,6.7233,,,,,1.6299,,,,,0.5723,,,,,6.6890,,,,,0.5723,,,,
2026-06-25,588465762110.7999,0.0446,6.6959,,,,,1.6232,,,,,0.5700,,,,,6.6618,,,,,0.5700,,,,
2026-06-24,590867663180.6399,0.0444,6.7233,,,,,1.6299,,,,,0.5723,,,,,6.6890,,,,,0.5723,,,,
2026-06-23,607680970669.5199,0.0431,6.9146,,,,,1.6762,,,,,0.5886,,,,,6.8794,,,,,0.5886,,,,
2026-06-22,590867663180.6399,0.0444,6.7233,,,,,1.6299,,,,,0.5723,,,,,6.6890,,,,,0.5723,,,,
2026-06-18,583661959971.12,0.0449,6.6413,,,,,1.6100,,,,,0.5653,,,,,6.6074,,,,,0.5653,,,,
2026-06-17,598073366390.16,0.0438,6.8053,,,,,1.6497,,,,,0.5793,,,,,6.7706,,,,,0.5793,,,,
2026-06-16,605279069599.6799,0.0433,6.8872,,,,,1.6696,,,,,0.5863,,,,,6.8522,,,,,0.5863,,,,
2026-06-15,613685723344.12,0.0427,6.9829,,,,,1.6928,,,,,0.5944,,,,,6.9473,,,,,0.5944,,,,
2026-06-12,624494278158.3999,0.0420,7.1059,,,,,1.7226,,,,,0.6049,,,,,7.0697,,,,,0.6049,,,,
2026-06-11,612484772809.1998,0.0428,6.9692,,,,,1.6895,,,,,0.5933,,,,,6.9337,,,,,0.5933,,,,
2026-06-10,610082871739.36,0.0430,6.9419,,,,,1.6829,,,,,0.5909,,,,,6.9065,,,,,0.5909,,,,
2026-06-09,599274316925.08,0.0437,6.8189,,,,,1.6530,,,,,0.5805,,,,,6.7842,,,,,0.5805,,,,
2026-06-08,598073366390.16,0.0438,6.8053,,,,,1.6497,,,,,0.5793,,,,,6.7706,,,,,0.5793,,,,
2026-06-05,595671465320.32,0.0440,6.7779,,,,,1.6431,,,,,0.5770,,,,,6.7434,,,,,0.5770,,,,
2026-06-04,592068613715.5599,0.0443,6.7369,,,,,1.6332,,,,,0.5735,,,,,6.7026,,,,,0.5735,,,,
2026-06-03,598073366390.16,0.0438,6.8053,,,,,1.6497,,,,,0.5793,,,,,6.7706,,,,,0.5793,,,,
2026-06-02,601676217994.9199,0.0436,6.8463,,,,,1.6597,,,,,0.5828,,,,,6.8114,,,,,0.5828,,,,
2026-06-01,602877168529.8398,0.0435,6.8599,,,,,1.6630,,,,,0.5839,,,,,6.8250,,,,,0.5839,,,,
2026-05-29,598073366390.16,0.0438,6.8053,,,,,1.6497,,,,,0.5793,,,,,6.7706,,,,,0.5793,,,,
2026-05-28,593269564250.48,0.0442,6.7506,,,,,1.6365,,,,,0.5746,,,,,6.7162,,,,,0.5746,,,,
2026-05-27,599274316925.08,0.0437,6.8189,,,,,1.6530,,,,,0.5805,,,,,6.7842,,,,,0.5805,,,,
2026-05-26,599274316925.08,0.0437,6.8189,,,,,1.6530,,,,,0.5805,,,,,6.7842,,,,,0.5805,,,,
2026-05-25,596872415855.2399,0.0439,6.7916,,,,,1.6464,,,,,0.5781,,,,,6.7570,,,,,0.5781,,,,
2026-05-22,593269564250.48,0.0442,6.7506,,,,,1.6365,,,,,0.5746,,,,,6.7162,,,,,0.5746,,,,
2026-05-21,590867663180.6399,0.0444,6.7233,,,,,1.6299,,,,,0.5723,,,,,6.6890,,,,,0.5723,,,,
2026-05-20,589666712645.72,0.0445,6.7096,,,,,1.6265,,,,,0.5711,,,,,6.6754,,,,,0.5711,,,,
2026-05-19,595671465320.32,0.0440,6.7779,,,,,1.6431,,,,,0.5770,,,,,6.7434,,,,,0.5770,,,,
2026-05-18,596872415855.2399,0.0439,6.7916,,,,,1.6464,,,,,0.5781,,,,,6.7570,,,,,0.5781,,,,
2026-05-15,596872415855.2399,0.0439,6.7916,,,,,1.6464,,,,,0.5781,,,,,6.7570,,,,,0.5781,,,,
2026-05-14,604078119064.76,0.0434,6.8736,,,,,1.6663,,,,,0.5851,,,,,6.8386,,,,,0.5851,,,,
2026-05-13,600475267459.9999,0.0437,6.8326,,,,,1.6564,,,,,0.5816,,,,,6.7978,,,,,0.5816,,,,
2026-05-12,604078119064.76,0.0434,6.8736,,,,,1.6663,,,,,0.5851,,,,,6.8386,,,,,0.5851,,,,
2026-05-11,606480020134.5999,0.0432,6.9009,,,,,1.6729,,,,,0.5874,,,,,6.8658,,,,,0.5874,,,,
2026-05-08,604078119064.76,0.0434,6.8736,,,,,1.6663,,,,,0.5851,,,,,6.8386,,,,,0.5851,,,,
2026-05-07,605279069599.6799,0.0433,6.8872,,,,,1.6696,,,,,0.5863,,,,,6.8522,,,,,0.5863,,,,
2026-05-06,607680970669.5199,0.0431,6.9146,,,,,1.6762,,,,,0.5886,,,,,6.8794,,,,,0.5886,,,,
2026-04-30,608881921204.44,0.0431,6.9282,,,,,1.6795,,,,,0.5898,,,,,6.8930,,,,,0.5898,,,,
2026-04-29,618489525483.7999,0.0424,7.0762,,,,,1.7387,,,,,0.6123,,,,,7.0306,,,,,0.6123,,,,
2026-04-28,624494278158.3999,0.0420,7.1449,,,,,1.7555,,,,,0.6182,,,,,7.0989,,,,,0.6182,,,,
2026-04-27,618489525483.7999,0.0424,7.0762,,,,,1.7387,,,,,0.6123,,,,,7.0306,,,,,0.6123,,,,
2026-04-24,622092377088.5599,0.0421,7.1174,,,,,1.7488,,,,,0.6158,,,,,7.0716,,,,,0.6158,,,,
2026-04-23,623293327623.48,0.0421,7.1312,,,,,1.7522,,,,,0.6170,,,,,7.0852,,,,,0.6170,,,,
2026-04-22,619690476018.72,0.0423,7.0900,,,,,1.7420,,,,,0.6135,,,,,7.0443,,,,,0.6135,,,,
2026-04-21,625695228693.32,0.0419,7.1587,,,,,1.7589,,,,,0.6194,,,,,7.1125,,,,,0.6194,,,,
2026-04-20,622092377088.5599,0.0421,7.1174,,,,,1.7488,,,,,0.6158,,,,,7.0716,,,,,0.6158,,,,
2026-04-17,608881921204.44,0.0431,6.9663,,,,,1.7117,,,,,0.6028,,,,,6.9214,,,,,0.6028,,,,
2026-04-16,608881921204.44,0.0431,6.9663,,,,,1.7117,,,,,0.6028,,,,,6.9214,,,,,0.6028,,,,
2026-04-15,613685723344.12,0.0427,7.0213,,,,,1.7252,,,,,0.6075,,,,,6.9760,,,,,0.6075,,,,
2026-04-14,606480020134.5999,0.0432,6.9388,,,,,1.7049,,,,,0.6004,,,,,6.8941,,,,,0.6004,,,,
2026-04-13,599274316925.08,0.0437,6.8564,,,,,1.6846,,,,,0.5933,,,,,6.8122,,,,,0.5933,,,,
2026-04-10,600475267459.9999,0.0437,6.8701,,,,,1.6880,,,,,0.5944,,,,,6.8258,,,,,0.5944,,,,
2026-04-09,602877168529.8398,0.0435,6.8976,,,,,1.6948,,,,,0.5968,,,,,6.8531,,,,,0.5968,,,,
2026-04-08,606480020134.5999,0.0432,6.9388,,,,,1.7049,,,,,0.6004,,,,,6.8941,,,,,0.6004,,,,
2026-04-07,608881921204.44,0.0431,6.9663,,,,,1.7117,,,,,0.6028,,,,,6.9214,,,,,0.6028,,,,
2026-04-03,614886673879.0399,0.0426,7.0350,,,,,1.7285,,,,,0.6087,,,,,6.9897,,,,,0.6087,,,,
2026-04-02,622092377088.5599,0.0421,7.1174,,,,,1.7488,,,,,0.6158,,,,,7.0716,,,,,0.6158,,,,
2026-04-01,613685723344.12,0.0427,7.0213,,,,,1.7252,,,,,0.6075,,,,,6.9760,,,,,0.6075,,,,
2026-03-31,616087624413.96,0.0426,7.0487,,,,,1.7319,,,,,0.6099,,,,,7.0033,,,,,0.6099,,,,
2026-03-30,610082871739.36,0.0430,6.9800,,,,,1.7150,,,,,0.6040,,,,,6.9350,,,,,0.6040,,,,
2026-03-27,607680970669.5199,0.0429,6.9670,,,,,1.7190,,,,,0.6084,,,,,7.0059,,,,,0.6084,,,,
2026-03-26,613685723344.12,0.0425,7.0358,,,,,1.7360,,,,,0.6144,,,,,7.0751,,,,,0.6144,,,,
2026-03-25,610082871739.36,0.0427,6.9945,,,,,1.7258,,,,,0.6108,,,,,7.0335,,,,,0.6108,,,,
2026-03-24,602877168529.8398,0.0432,6.9119,,,,,1.7054,,,,,0.6035,,,,,6.9505,,,,,0.6035,,,,
2026-03-23,586063861040.96,0.0445,6.7191,,,,,1.6579,,,,,0.5867,,,,,6.7566,,,,,0.5867,,,,
2026-03-20,606480020134.5999,0.0430,6.9532,,,,,1.7156,,,,,0.6072,,,,,6.9920,,,,,0.6072,,,,
2026-03-19,612484772809.1998,0.0426,7.0221,,,,,1.7326,,,,,0.6132,,,,,7.0612,,,,,0.6132,,,,
2026-03-18,616087624413.96,0.0423,7.0634,,,,,1.7428,,,,,0.6168,,,,,7.1028,,,,,0.6168,,,,
2026-03-17,620891426553.6399,0.0420,7.1184,,,,,1.7564,,,,,0.6216,,,,,7.1582,,,,,0.6216,,,,
2026-03-16,613685723344.12,0.0425,7.0358,,,,,1.7360,,,,,0.6144,,,,,7.0751,,,,,0.6144,,,,
2026-03-13,610082871739.36,0.0427,6.9945,,,,,1.7258,,,,,0.6108,,,,,7.0335,,,,,0.6108,,,,
2026-03-12,607680970669.5199,0.0429,6.9670,,,,,1.7190,,,,,0.6084,,,,,7.0059,,,,,0.6084,,,,
2026-03-11,604078119064.76,0.0432,6.9257,,,,,1.7088,,,,,0.6047,,,,,6.9643,,,,,0.6047,,,,
2026-03-10,598073366390.16,0.0436,6.8568,,,,,1.6918,,,,,0.5987,,,,,6.8951,,,,,0.5987,,,,
2026-03-09,596872415855.2399,0.0437,6.8431,,,,,1.6884,,,,,0.5975,,,,,6.8812,,,,,0.5975,,,,
2026-03-06,600475267459.9999,0.0434,6.8844,,,,,1.6986,,,,,0.6011,,,,,6.9228,,,,,0.6011,,,,
