date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,-169724622,0.1217,5274188660,-0.07
2025-12-31,839390861,0.4985,27105390548,0.36
2025-09-30,-66675426,0.806,16989434774,-0.0288
2025-06-30,-238927239,0.4037,10910937823,-0.1034
2025-03-31,-193251729,0.3568,4657815686,-0.08
2024-12-31,560162663,-0.1478,23343093019,0.24
2024-09-30,-343704233,-4.4591,14849536928,-0.1489
2024-06-30,-400665617,-6.4459,9324545041,-0.1736
2024-03-31,-300468030,-4.1899,3646215387,-0.13
2023-12-31,657312908,0.1712,19650329209,0.28
2023-09-30,99362112,-0.7636,12613745271,0.04
2023-06-30,73571996,-0.7354,7841552405,0.0318
2023-03-31,-57895269,-1.5226,2887584462,-0.03
2022-12-31,561213021,-0.6394,18820234053,0.24
2022-09-30,420235990,-0.4234,12660799886,0.18
2022-06-30,278081111,-0.3357,8022667215,0.12
2022-03-31,110785750,-0.2057,3505985012,0.05
2021-12-31,1556463895,0.1413,18313605606,0.7
2021-09-30,728765413,0.3148,10867963800,0.33
2021-06-30,418577838,0.6212,6318650533,0.19
2021-03-31,139470569,2.0611,2501303218,0.06
2020-12-31,1363789617,0.6648,13024657866,0.64
2020-09-30,554260019,0.4836,7284075114,0.25
2020-06-30,258189210,0.3628,4349201290,0.12
2020-03-31,-131445229,-2.2902,1408820489,-0.06
2019-12-31,819175859,0.5112,10078688920,0.4
2019-09-30,373585128,0.7051,6573103455,0.18
2019-06-30,189452062,0.4506,4228169341,0.09
2019-03-31,101882786,0.2426,1958367539,0.05
2018-12-31,542066004,0.2471,7917221903,0.27
2018-09-30,219103403,0.2994,5283332027,0.11
2018-06-30,130602669,0.2174,3209989280,0.06
2018-03-31,81992215,0.1083,1397773495,0.06
2017-12-31,434675994,-0.1027,5444688147,0.33
2017-09-30,168618839,-0.3945,3386718900,0.12
2017-06-30,107283558,-0.5811,2102362656,0.08
2017-03-31,73982688,0.0469,856220355,0.06
2016-12-31,484430416,0.139,3320476690,0.37
2016-09-30,278475158,0.2451,2141283151,0.22
2016-06-30,256096340,0.7897,1462110305,0.2
