date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-02,115924373126.66,0.0021,134.3400,0.5560,231.9195,125.9363,81.6096,4.1817,0.0550,11.3686,7.8028,4.8752,5.0726,0.0583,8.5590,6.9115,5.9868
2026-06-01,118038203386.74,0.0020,136.7896,0.5754,231.9195,125.8952,81.6096,4.2580,0.0632,11.3941,7.8054,4.8757,5.1651,0.0715,8.5590,6.9115,5.9869
2026-05-29,115059624383.9,0.0021,133.3378,0.5510,231.9195,125.8053,81.5894,4.1505,0.0525,11.4427,7.8090,4.8760,5.0348,0.0537,8.5590,6.9091,5.9868
2026-05-28,118014182588.33,0.0020,136.7618,0.5756,231.9195,125.7885,81.5894,4.2571,0.0624,11.4427,7.8095,4.8765,5.1641,0.0702,8.5590,6.9092,5.9869
2026-05-27,120704512010.25,0.0020,139.8795,0.5916,231.9195,125.7630,81.5894,4.3541,0.0806,11.4427,7.8096,4.8777,5.2818,0.0843,8.5590,6.9115,5.9893
2026-05-26,118302432169.25,0.0020,137.0958,0.5779,231.9195,125.7317,81.5894,4.2675,0.0628,11.4452,7.8109,4.8778,5.1767,0.0736,8.5590,6.9115,5.9893
2026-05-25,116933246659.88,0.0021,135.5091,0.5684,231.9195,125.6828,81.5894,4.2181,0.0575,11.5012,7.8128,4.8783,5.1168,0.0641,8.5590,6.9115,5.9893
2026-05-22,113738480471.35,0.0021,131.8068,0.5432,231.9195,125.5651,81.5894,4.1029,0.0475,11.5513,7.8161,4.8797,4.9770,0.0463,8.5590,6.9091,5.9868
2026-05-21,113378168495.2,0.0021,131.3893,0.5397,231.9195,125.5611,81.5894,4.0899,0.0455,11.5513,7.8172,4.8841,4.9612,0.0438,8.5590,6.9092,5.9869
2026-05-20,115299832368.0,0.0021,133.6162,0.5544,231.9195,125.5609,81.5894,4.1592,0.0517,11.5513,7.8176,4.8850,5.0453,0.0537,8.5590,6.9115,5.9893
2026-05-19,117990161789.92,0.0020,136.7339,0.5759,231.9195,125.5135,81.5894,4.2562,0.0604,11.5550,7.8186,4.8861,5.1630,0.0682,8.5590,6.9115,5.9893
2026-05-18,117005309055.11,0.0021,135.5926,0.5697,231.9195,125.4427,81.5894,4.2207,0.0562,11.5850,7.8203,4.8865,5.1199,0.0632,8.5590,6.9115,5.9893
2026-05-15,113234043704.74,0.0021,131.2223,0.5391,231.9195,125.3824,81.5894,4.0847,0.0442,11.6261,7.8218,4.8868,4.9549,0.0430,8.5590,6.9115,5.9893
