date,总资产收益率(ROA),毛利率(GM),净利润率,净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.0521,0.3045,0.2488,0.0922,0.0653
2025-12-31,0.0518,0.3007,0.2376,0.0921,0.0673
2025-09-30,0.0551,0.2813,0.2201,0.098,0.0696
2025-06-30,0.0534,0.275,0.2131,0.0998,0.0691
2025-03-31,0.0591,0.2495,0.2086,0.1089,0.0742
2024-12-31,0.0614,0.2628,0.2229,0.1141,0.0786
2024-09-30,0.0579,0.3155,0.2682,0.1083,0.0741
2024-06-30,0.0597,0.2993,0.2721,0.1179,0.0799
2024-03-31,0.0576,0.3707,0.3094,0.1131,0.0761
2023-12-31,0.0587,0.3694,0.3034,0.1169,0.078
2023-09-30,0.0621,0.3668,0.3153,0.1249,0.084
2023-06-30,0.0616,0.3603,0.2915,0.1247,0.0893
2023-03-31,0.057,0.3396,0.296,0.1112,0.0807
2022-12-31,0.0513,0.333,0.2827,0.1023,0.0748
2022-09-30,0.048,0.2864,0.2214,0.0958,0.0737
2022-06-30,0.0458,0.3076,0.2372,0.0902,0.0714
2022-03-31,0.0564,0.34,0.2693,0.1051,0.0798
2021-12-31,0.0642,0.3633,0.2996,0.1208,0.0901
2021-09-30,0.0687,0.4937,0.4231,0.1306,0.0939
2021-06-30,0.0752,0.5158,0.4542,0.1465,0.1036
2021-03-31,0.0618,0.488,0.3929,0.1112,0.0811
2020-12-31,0.0432,0.4165,0.3136,0.0766,0.0594
2020-09-30,0.046,0.4525,0.3266,0.0812,0.0631
2020-06-30,0.0444,0.4337,0.3097,0.0807,0.0626
2020-03-31,0.0605,0.4963,0.3683,0.1013,0.0775
2019-12-31,0.0829,0.5459,0.4267,0.1386,0.1034
2019-09-30,0.0882,0.5555,0.4464,0.144,0.1156
2019-06-30,0.0873,0.5577,0.442,0.1463,0.1147
2019-03-31,0.0941,0.5558,0.473,0.151,
2018-12-31,0.0987,0.5411,0.449,0.162,0.1204
2018-09-30,0.1009,0.5475,0.4395,0.1629,
2018-06-30,0.1013,0.5448,0.4302,0.1652,
2018-03-31,0.0926,0.5404,0.3828,0.1448,
2017-12-31,0.0935,0.5416,0.3897,0.1509,
2017-09-30,0.0999,0.5238,0.3934,0.1637,
2017-06-30,0.1013,0.5189,0.3859,0.1705,
2017-03-31,0.0964,0.5212,0.3748,0.1531,
2016-12-31,0.0945,0.5257,0.3735,0.1558,
2016-09-30,0.0692,0.5389,0.3062,0.118,
