date,资产负债率,速动比率,资产合计,流动资产合计,货币资金,长期负债合计,负债合计,流动负债合计,应收账款,有息负债率,所有者权益合计,流动比率
2026-03-31,0.4278,0.6843,99978527724,0,60704857375,21141615177,42775724446,6796540,2155520333,0.3121,57202803278,0.8722
2025-12-31,0.4296,0.4236,96388991422,0,61007122225,19651587235,41408028894,6796540,2099610033,0.2999,54980962527,0.5879
2025-09-30,0.4365,0.5721,92852431712,0,63274108600,20327132086,40529773441,25875719,2106374000,0.3307,52322658271,0.7555
2025-06-30,0.4579,0.5059,96134096285,0,77279046650,20044013791,44018579989,24313544,2066983204,0.3492,52115516296,0.6357
2025-03-31,0.4429,0.4707,91484769001,0,76976781800,20008246300,40518979419,26699689,2016970548,0.3597,50965789582,0.6152
2024-12-31,0.4467,0.3945,89886075247,0,77127914225,19357819530,40152087127,29162546,1863284457,0.3278,49733988120,0.5186
2024-09-30,0.4404,0.5735,84000993666,0,71888656825,19363896546,36994277698,35913170,1815882949,0.3556,47006715968,0.7421
2024-06-30,0.472,0.6831,84527077631,0,63475618500,19461415287,39899081474,34885647,1910804669,0.3644,44627996157,0.8556
2024-03-31,0.4735,0.8482,81436864201,0,58639380900,19628754097,38559842763,41829586,1817211437,0.3892,42877021438,1.0688
2023-12-31,0.4802,0.6799,78661443944,0,51636911875,19449100982,37772936069,39662423,1650030300,0.4003,40888507876,0.9149
2023-09-30,0.4917,0.6325,79470210064,0,52342196525,18719536101,39071733619,79543426,1353555793,0.411,40398476446,0.8599
2023-06-30,0.5172,0.523,79787685491,0,49521057925,16543565723,41263507870,63256223,1291463473,0.3757,38524177621,0.6861
2023-03-31,0.5083,0.6195,80056724212,0,42065191625,16563234640,40689474269,92724854,1201870835,0.3854,39367249943,0.8085
2022-12-31,0.5163,0.4979,78458345074,0,41410284450,16053597367,40508013176,162928919,1127669970,0.3861,37950331898,0.6879
2022-09-30,0.5144,0.3781,76676946117,0,36221404525,15365379852,39438889325,134816236,1046309978,0.3448,37238056793,0.6181
2022-06-30,0.4933,0.4125,70067364006,0,43173496075,11254075323,34563605459,268457783,503065245,0.2936,35503758547,0.6523
2022-03-31,0.464,0.3863,68629183232,0,42367456475,13027823779,31845998873,247778382,272175666,0.3056,36783184359,0.6918
2021-12-31,0.4774,0.3508,67662020722,0,43425383450,13028697541,32302127737,427561162,442074891,0.304,35359892985,0.6514
2021-09-30,0.4825,0.3058,67510588317,0,43929158200,13168652183,32573814721,954745923,288252888,0.2866,34936773596,0.6058
2021-06-30,0.4912,0.3818,67498023854,0,49168415600,12734787412,33158206617,971679346,294446531,0.2764,34339817237,0.6565
2021-03-31,0.4631,0.3216,64929303540,0,50125587625,12792189815,30066209412,913111982,283832847,0.287,34863094128,0.6341
2020-12-31,0.4591,0.2399,61095560365,0,46397654475,11545381743,28046290724,876391923,309072554,0.2639,33049269641,0.5371
2020-09-30,0.4645,0.2357,59898171218,0,47808223775,10848679718,27822358418,1031861136,525847536,0.2654,32075812800,0.5287
2020-06-30,0.4807,0.1814,58378917728,0,49420302975,10055235182,28064667594,1068685183,412901378,0.2672,30314250134,0.4224
2020-03-31,0.4223,0.1399,55407058985,0,49470680450,9078479332,23400383403,1108317873,140147114,0.2693,32006675582,0.4632
2019-12-31,0.4124,0.1399,55625048625,0,56523526950,8335475444,22942211489,1134150940,224285158,0.2601,32682837135,0.4593
2019-09-30,0.3989,0.3174,52779689441,0,52342196525,8123471972,21051291282,1267240258,493563292,0.2605,31728398159,0.7875
2019-06-30,0.416,0.3257,52020165800,0,54105408150,8130483904,21638703575,1249072133,446623274,0.2624,30381462225,0.7701
2019-03-31,0.3808,0.3805,50278594838,0,49873700250,8200008172,19144031453,1022535339,366612236,0.2754,31134563385,1.0062
2018-12-31,0.3905,0.2665,48162728833,0,49369925500,7688853902,18808871891,962200983,321158727,0.283,29353856942,0.8618
2018-09-30,0.3746,0.2453,46676081417,0,45742747300,6228238674,17483881726,987275690,303720147,0.2724,29192199691,0.8344
2018-06-30,0.3886,0.1734,45833738275,0,45742747300,4893473689,17812066796,867499785,280093402,0.2672,28021671479,0.6462
2018-03-31,0.3724,0.1738,45333697213,0,48664640850,4963340331,16881319518,0,272666622,0.3,28452377695,0.5594
2017-12-31,0.3912,0.1813,42532491238,0,49621812875,3874089201,16637560626,0,306367630,0.2837,25894930612,0.5276
2017-09-30,0.3869,0.1598,41335240755,0,49420302975,3057712940,15994423985,0,230322158,0.2558,25340816770,0.5063
2017-06-30,0.3844,0.2173,38469884081,0,49369925500,1470623539,14788970865,0,220185247,0.1934,23680913216,0.5457
2017-03-31,0.3468,0.2888,37221438378,0,47102939125,1421054990,12906535788,0,150130653,0.1898,24314902590,0.737
2016-12-31,0.3677,0.1729,36282573529,0,43072741125,1471905901,13340716540,0,148153297,0.1891,22941856989,0.6093
2016-09-30,0.3921,0.1654,36789921656,0,44382555475,1516052612,14425593009,0,134598739,0.1973,22364328647,0.6002
