date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,93457000000,1.6924,15350000000,-0.58
2025-12-31,114611000000,1.883,118689000000,0.3489
2025-09-30,99543000000,1.415,95796000000,0.1825
2025-06-30,89283000000,1.467,74845000000,0.0685
2025-03-31,87629000000,1.4457,36549000000,0.1024
2024-12-31,84071000000,1.5218,87990000000,0.2472
2024-09-30,84296000000,1.673,81011000000,0.27
2024-06-30,77518000000,2.2942,70044000000,0.1689
2024-03-31,59294000000,2.2741,33154000000,-0.1955
2023-12-31,67274000000,2.2421,70549000000,-0.008
2023-09-30,77234000000,2.8768,63789000000,0.2225
2023-06-30,75998000000,2.2568,59921000000,0.2119
2023-03-31,83281000000,2.3451,41213000000,0.7514
2022-12-31,65539000000,2.0874,71651000000,133.1779
2022-09-30,75222000000,2.2398,52471000000,0.1179
2022-06-30,70790000000,2.3058,49705000000,0.0279
2022-03-31,69804000000,2.5159,23618000000,0.0181
2021-12-31,69570000000,2.3767,72731000000,114.0807
2021-09-30,57567000000,2.0062,46936000000,1.8297
2021-06-30,51465000000,1.7895,48355000000,1.4632
2021-03-31,43244000000,1.6469,23198000000,10.8056
2020-12-31,20453000000,1.1271,31867000000,-0.1342
2020-09-30,26390000000,1.3337,16587000000,0.0133
2020-06-30,39512000000,1.6306,19631000000,0.7456
2020-03-31,44113000000,1.5079,1965000000,1.1691
2019-12-31,31910000000,1.1613,36808000000,3.1906
2019-09-30,25320000000,0.9383,16369000000,1.534
2019-06-30,13387000000,0.7068,11246000000,1.4535
2019-03-31,-2636000000,0.0938,-11621000000,0.6016
2018-12-31,-21556000000,-0.8617,-16803000000,-25.8848
2018-09-30,-28692000000,-1.2221,-30655000000,-2.8502
2018-06-30,,,-24799000000,
2018-03-31,,,-30324000000,
2017-12-31,-4896000000,-0.0852,-2025000000,-1.085
2017-09-30,,,-7962000000,
2016-12-31,20511000000,1.1456,23831000000,0.1658
