date,资本回报率(ROIC),净资产收益率(ROE),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0018,0.0019,0.0033,0.1348,0.0006
2025-12-31,0.0023,0.0025,0.0045,0.1376,0.0008
2025-09-30,0.0113,0.0154,0.0229,0.1668,0.0049
2025-06-30,0.011,0.0143,0.0228,0.1529,0.0046
2025-03-31,0.0102,0.0126,0.0207,0.1429,0.0041
2024-12-31,0.0114,0.0144,0.0234,0.1461,0.0047
2024-09-30,0.0178,0.0239,0.0395,0.1226,0.0074
2024-06-30,0.0178,0.0248,0.0409,0.1463,0.0077
2024-03-31,0.023,0.0332,0.0523,0.1597,0.0105
2023-12-31,0.0227,0.0313,0.052,0.1589,0.0101
2023-09-30,0.0213,0.0291,0.0489,0.1908,0.0088
2023-06-30,0.0232,0.0319,0.0503,0.186,0.0097
2023-03-31,0.0225,0.0301,0.0471,0.1841,0.0094
2022-12-31,0.0245,0.0324,0.0497,0.1925,0.0104
2022-09-30,0.034,0.0466,0.0762,0.2361,0.0144
2022-06-30,0.0371,0.0499,0.0771,0.2311,0.0157
2022-03-31,0.042,0.057,0.0914,0.2501,0.0186
2021-12-31,0.0423,0.0574,0.0946,0.2547,0.0191
2021-09-30,0.0601,0.0883,0.1378,0.2662,0.0283
2021-06-30,0.0607,0.0881,0.1434,0.2861,0.0287
2021-03-31,0.051,0.0711,0.1325,0.2874,0.0247
2020-12-31,0.0514,0.0704,0.1305,0.2869,0.025
2020-09-30,0.0617,0.0927,0.1345,0.3013,0.0266
2020-06-30,0.0594,0.0866,0.1395,0.3164,0.0251
2020-03-31,0.0668,0.0976,0.1604,0.3367,0.0313
2019-12-31,0.0756,0.1122,0.1931,0.3465,0.0362
2019-09-30,0.0824,0.1387,0.1945,0.3767,0.0329
2019-06-30,0.0861,0.1607,0.2012,0.3836,0.0371
2019-03-31,,0.1512,0.1953,0.381,0.0406
2018-12-31,0.1058,0.193,0.2204,0.3949,0.0515
2018-09-30,,0.2313,0.2433,0.4263,0.0559
2018-06-30,,0.2212,0.2447,0.4204,0.055
2018-03-31,,0.2033,0.2364,0.4035,0.059
2017-12-31,,0.176,0.1989,0.3766,0.0515
2017-09-30,,0.1321,0.1811,0.2973,0.0356
2017-06-30,,0.1683,0.1928,0.3202,0.0474
2017-03-31,,0.194,0.2103,0.3242,0.058
2016-12-31,,0.1741,0.1917,0.3454,0.0528
2016-09-30,,0.2054,0.196,0.3759,0.0541
2016-06-30,,0.1687,0.182,0.3694,0.0458
