date,净利润率,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0317,0.0454,0.0424,0.4208,0.0202
2025-12-31,0.0313,0.044,0.0442,0.4236,0.0197
2025-09-30,0.0332,0.0471,0.0448,0.4234,0.0203
2025-06-30,0.03,0.0414,0.0425,0.4249,0.0184
2025-03-31,0.0262,0.0352,0.0389,0.4285,0.0162
2024-12-31,0.0217,0.0278,0.0382,0.4263,0.0128
2024-09-30,0.0066,0.0086,-0.0028,0.4253,0.0038
2024-06-30,0.0061,0.0075,-0.0004,0.4251,0.0036
2024-03-31,0.0177,0.0212,0.0277,0.4195,0.0105
2023-12-31,0.0312,0.0355,0.035,0.4266,0.0173
2023-09-30,0.0093,0.0105,0.0006,0.4091,0.0053
2023-06-30,0.0145,0.0158,-0.0291,0.4084,0.0085
2023-03-31,0.0166,0.0177,0.038,0.4105,0.0099
2022-12-31,0.0265,0.0292,0.033,0.4083,0.0155
2022-09-30,0.0603,0.0757,0.0717,0.3946,0.0412
2022-06-30,0.0696,0.0922,0.0874,0.402,0.0513
2022-03-31,0.0803,0.1015,0.1022,0.409,0.0581
2021-12-31,0.088,0.1063,0.103,0.4113,0.0573
2021-09-30,0.0957,0.1131,0.1048,0.4333,0.0625
2021-06-30,0.1078,0.13,0.1185,0.4394,0.0716
2021-03-31,0.1223,0.1391,0.134,0.4452,0.08
2020-12-31,0.1107,0.1167,0.1123,0.4512,0.0642
2020-09-30,0.1007,0.0906,0.0852,0.4479,0.0521
2020-06-30,0.096,0.0933,0.0862,0.4409,0.0531
2020-03-31,0.0728,0.0691,0.0672,0.4514,0.0399
2019-12-31,0.0936,0.0946,0.0901,0.4602,0.0533
2019-09-30,0.0927,0.088,0.087,0.4944,0.0515
2019-06-30,0.082,0.0881,,0.5026,0.05
2019-03-31,0.077,0.0791,,0.5038,0.046
2018-12-31,0.0781,0.0765,0.0736,0.5003,0.0432
2018-09-30,0.0746,0.0672,,0.5034,0.0419
2018-06-30,0.0783,0.0638,,0.5147,0.041
2018-03-31,0.0842,0.0643,,0.5095,0.0426
2017-12-31,0.088,0.0632,,0.5138,0.0403
2017-09-30,0.0874,0.0527,,0.5113,0.037
2017-06-30,0.0883,0.0466,,0.5064,0.0334
2017-03-31,0.1411,0.0702,,0.506,0.0521
2016-12-31,0.1496,0.0723,,0.5052,0.0528
2016-09-30,0.1613,0.0735,,0.4838,0.0554
