date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,-478167670,3.2469,-1068812075,-0.5006
2025-12-31,63062523,3.7766,3208095272,0.2857
2025-09-30,501380057,4.0606,122671557,1.1494
2025-06-30,228211035,4.3516,-771974364,0.4973
2025-03-31,-79994590,4.9677,-712235594,0.4854
2024-12-31,-719852121,4.9211,2495173455,6.134
2024-09-30,-4022341272,4.8342,-820935015,0.2993
2024-06-30,-4360264892,2.6745,-1535556255,-0.0045
2024-03-31,-3730671034,1.7558,-1384136038,0.1704
2023-12-31,-3710221682,0.5704,349757815,-0.4455
2023-09-30,-1941776414,2.6989,-1171595264,-0.1584
2023-06-30,-1451799451,2.6539,-1528741829,0.0547
2023-03-31,-1963650566,0.4775,-1668421856,-0.4113
2022-12-31,-1634019313,1.265,630761247,-0.2937
2022-09-30,-650268171,1.1291,-1011382437,0.32
2022-06-30,-1208007719,0.7252,-1617147217,0.0673
2022-03-31,-1385443315,0.5906,-1182202908,0.0194
2021-12-31,-1186819840,0.5545,893075431,-0.6067
2021-09-30,-883407678,0.7352,-1487335888,-2.8643
2021-06-30,-51259750,0.9724,-1733923587,-0.6748
2021-03-31,755673522,1.071,-1205546397,-0.5377
2020-12-31,1239309886,1.575,2270754856,0.4827
2020-09-30,193943472,1.4648,-384893623,0.1341
2020-06-30,-376989067,1.2698,-1035273163,-0.3863
2020-03-31,-430558356,1.8487,-784014664,-0.4673
2019-12-31,-350718144,1.6239,1531468510,0.3339
2019-09-30,-350705760,1.6362,-444516557,0.359
2019-06-30,-465764980,1.6709,-746807208,0.0926
2019-03-31,-609832023,1.9076,-534324453,0.1543
2018-12-31,-663688156,1.8579,1148136361,2.1653
2018-09-30,-1157146823,0.5779,-693466967,-0.0711
2018-06-30,-1008754137,0.5278,-823049109,-0.1257
2018-03-31,-944574059,0.4255,-631824925,-0.3063
2017-12-31,-669037938,0.757,362726218,0.2119
2017-09-30,-1154728770,0.005,-647413168,-0.8493
2017-06-30,-1083525892,0.0711,-731157698,-0.6009
2017-03-31,-1150843813,-0.0045,-483684918,-1.6555
2016-12-31,-761724919,0.6025,299303978,-0.4195
2016-09-30,-820513719,0.2497,-350092904,-8.6166
