date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,182232498375.64,22.1381,,,,,1.5189,,,,,2.2574,,,,,22.6343,,,,,0.0203,1.5908,,,,
2026-07-02,181204098271.94,22.0131,,,,,1.5103,,,,,2.2446,,,,,22.5065,,,,,0.0204,1.5818,,,,
2026-07-01,181821138334.16,22.0881,,,,,1.5155,,,,,2.2523,,,,,22.5832,,,,,0.0204,1.5872,,,,
2026-06-30,185729058728.22,22.5628,,,,,1.5480,,,,,2.3007,,,,,23.0686,,,,,0.0199,1.6213,,,,
2026-06-29,186346098790.44,22.6378,,,,,1.5532,,,,,2.3083,,,,,23.1452,,,,,0.0199,1.6267,,,,
2026-06-26,183672258520.82,22.3130,,,,,1.5309,,,,,2.2752,,,,,22.8131,,,,,0.0202,1.6033,,,,
2026-06-25,184700658624.52,22.4379,,,,,1.5395,,,,,2.2879,,,,,22.9408,,,,,0.0200,1.6123,,,,
2026-06-24,181204098271.94,22.0131,,,,,1.5103,,,,,2.2446,,,,,22.5065,,,,,0.0204,1.5818,,,,
2026-06-23,185729058728.22,22.5628,,,,,1.5480,,,,,2.3007,,,,,23.0686,,,,,0.0199,1.6213,,,,
2026-06-22,186757458831.92,22.6878,,,,,1.5566,,,,,2.3134,,,,,23.1963,,,,,0.0198,1.6303,,,,
2026-06-18,187580178914.88,22.7877,,,,,1.5635,,,,,2.3236,,,,,23.2985,,,,,0.0197,1.6374,,,,
2026-06-17,191282419288.2,23.2375,,,,,1.5943,,,,,2.3695,,,,,23.7583,,,,,0.0194,1.6698,,,,
2026-06-16,189842659143.02,23.0626,,,,,1.5823,,,,,2.3516,,,,,23.5795,,,,,0.0195,1.6572,,,,
2026-06-15,190254019184.5,23.1125,,,,,1.5858,,,,,2.3567,,,,,23.6306,,,,,0.0195,1.6608,,,,
2026-06-12,190048339163.76,23.0876,,,,,1.5840,,,,,2.3542,,,,,23.6050,,,,,0.0195,1.6590,,,,
2026-06-11,187580178914.88,22.7877,,,,,1.5635,,,,,2.3236,,,,,23.2985,,,,,0.0197,1.6374,,,,
2026-06-10,186551778811.18,22.6628,,,,,1.5549,,,,,2.3109,,,,,23.1707,,,,,0.0198,1.6285,,,,
2026-06-09,186551778811.18,22.6628,,,,,1.5549,,,,,2.3109,,,,,23.1707,,,,,0.0198,1.6285,,,,
2026-06-08,184700658624.52,22.4379,,,,,1.5395,,,,,2.2879,,,,,22.9408,,,,,0.0200,1.6123,,,,
