date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,182232498375.64,1.5189,,,,,1.5908,,,,,22.6343,,,,,0.0203,22.1381,,,,,2.2574,,,,
2026-07-02,181204098271.94,1.5103,,,,,1.5818,,,,,22.5065,,,,,0.0204,22.0131,,,,,2.2446,,,,
2026-07-01,181821138334.16,1.5155,,,,,1.5872,,,,,22.5832,,,,,0.0204,22.0881,,,,,2.2523,,,,
2026-06-30,185729058728.22,1.5480,,,,,1.6213,,,,,23.0686,,,,,0.0199,22.5628,,,,,2.3007,,,,
2026-06-29,186346098790.44,1.5532,,,,,1.6267,,,,,23.1452,,,,,0.0199,22.6378,,,,,2.3083,,,,
2026-06-26,183672258520.82,1.5309,,,,,1.6033,,,,,22.8131,,,,,0.0202,22.3130,,,,,2.2752,,,,
2026-06-25,184700658624.52,1.5395,,,,,1.6123,,,,,22.9408,,,,,0.0200,22.4379,,,,,2.2879,,,,
2026-06-24,181204098271.94,1.5103,,,,,1.5818,,,,,22.5065,,,,,0.0204,22.0131,,,,,2.2446,,,,
2026-06-23,185729058728.22,1.5480,,,,,1.6213,,,,,23.0686,,,,,0.0199,22.5628,,,,,2.3007,,,,
2026-06-22,186757458831.92,1.5566,,,,,1.6303,,,,,23.1963,,,,,0.0198,22.6878,,,,,2.3134,,,,
2026-06-18,187580178914.88,1.5635,,,,,1.6374,,,,,23.2985,,,,,0.0197,22.7877,,,,,2.3236,,,,
2026-06-17,191282419288.2,1.5943,,,,,1.6698,,,,,23.7583,,,,,0.0194,23.2375,,,,,2.3695,,,,
2026-06-16,189842659143.02,1.5823,,,,,1.6572,,,,,23.5795,,,,,0.0195,23.0626,,,,,2.3516,,,,
2026-06-15,190254019184.5,1.5858,,,,,1.6608,,,,,23.6306,,,,,0.0195,23.1125,,,,,2.3567,,,,
2026-06-12,190048339163.76,1.5840,,,,,1.6590,,,,,23.6050,,,,,0.0195,23.0876,,,,,2.3542,,,,
2026-06-11,187580178914.88,1.5635,,,,,1.6374,,,,,23.2985,,,,,0.0197,22.7877,,,,,2.3236,,,,
2026-06-10,186551778811.18,1.5549,,,,,1.6285,,,,,23.1707,,,,,0.0198,22.6628,,,,,2.3109,,,,
2026-06-09,186551778811.18,1.5549,,,,,1.6285,,,,,23.1707,,,,,0.0198,22.6628,,,,,2.3109,,,,
2026-06-08,184700658624.52,1.5395,,,,,1.6123,,,,,22.9408,,,,,0.0200,22.4379,,,,,2.2879,,,,
2026-06-05,184906338645.26,1.5412,,,,,1.6141,,,,,22.9664,,,,,0.0200,22.4629,,,,,2.2905,,,,
2026-06-04,190254019184.5,1.5858,,,,,1.6608,,,,,23.6306,,,,,0.0195,23.1125,,,,,2.3567,,,,
2026-06-03,190459699205.24,1.5875,,,,,1.6626,,,,,23.6561,,,,,0.0194,23.1375,,,,,2.3593,,,,
2026-06-02,190871059246.72,1.5909,,,,,1.6662,,,,,23.7072,,,,,0.0194,23.1875,,,,,2.3644,,,,
2026-06-01,188814259039.32,1.5738,,,,,1.6482,,,,,23.4518,,,,,0.0196,22.9376,,,,,2.3389,,,,
2026-05-29,185934738748.96,1.5498,,,,,1.6231,,,,,23.0941,,,,,0.0199,22.5878,,,,,2.3032,,,,
2026-05-28,181821138334.16,1.5155,,,,,1.5872,,,,,22.5832,,,,,0.0204,22.0881,,,,,2.2523,,,,
2026-05-27,179352978085.28,1.4949,,,,,1.5656,,,,,22.2766,,,,,0.0206,21.7883,,,,,2.2217,,,,
2026-05-26,179970018147.5,1.5000,,,,,1.5710,,,,,22.3532,,,,,0.0206,21.8632,,,,,2.2293,,,,
2026-05-25,179970018147.5,1.5000,,,,,1.5710,,,,,22.3532,,,,,0.0206,21.8632,,,,,2.2293,,,,
2026-05-22,179147298064.54,1.4932,,,,,1.5638,,,,,22.2511,,,,,0.0207,21.7633,,,,,2.2192,,,,
2026-05-21,179764338126.76,1.4983,,,,,1.5692,,,,,22.3277,,,,,0.0206,21.8382,,,,,2.2268,,,,
2026-05-20,185317698686.74,1.5446,,,,,1.6177,,,,,23.0175,,,,,0.0200,22.5129,,,,,2.2956,,,,
2026-05-19,189636979122.28,1.5806,,,,,1.6554,,,,,23.5539,,,,,0.0195,23.0376,,,,,2.3491,,,,
2026-05-18,186140418769.7,1.5515,,,,,1.6249,,,,,23.1196,,,,,0.0199,22.6128,,,,,2.3058,,,,
2026-05-15,187991538956.36,1.5669,,,,,1.6410,,,,,23.3496,,,,,0.0197,22.8377,,,,,2.3287,,,,
2026-05-14,185934738748.96,1.5498,,,,,1.6231,,,,,23.0941,,,,,0.0199,22.5878,,,,,2.3032,,,,
2026-05-13,190048339163.76,1.5840,,,,,1.6590,,,,,23.6050,,,,,0.0195,23.0876,,,,,2.3542,,,,
