date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.1,-0.3421,18924861300,2064416128
2025-12-31,0.453,-0.0216,82075495245,9304211537
2025-09-30,0.389,-0.1758,61634676203,8002441338
2025-06-30,0.275,-0.1158,40972997115,5666339869
2025-03-31,0.152,-0.0617,20272701538,3136994872
2024-12-31,0.463,-0.1643,77272058527,8777342050
2024-09-30,0.472,-0.0288,56985795720,8933543966
2024-06-30,0.311,-0.0096,37441126977,5881857941
2024-03-31,0.162,0.0318,17988347737,3058910909
2023-12-31,0.554,0.1838,74957180265,10623826707
2023-09-30,0.486,0.1517,56089262266,9327163586
2023-06-30,0.314,0.0865,36297844094,6042234993
2023-03-31,0.157,-0.0188,17893494222,3023133805
2022-12-31,0.468,0.04,71285600844,9009829595
2022-09-30,0.422,0.1499,52702967872,8030909510
2022-06-30,0.289,0.1333,34572467790,5437218066
2022-03-31,0.16,0.4953,17099460204,2884076303
2021-12-31,0.439,0.1583,62367217532,8038084942
2021-09-30,0.357,0.1087,46121094328,6506829991
2021-06-30,0.246,0.2487,29773470322,4474101824
2021-03-31,0.102,0.5,13746542018,1786373229
2020-12-31,0.379,0.2386,52276451960,5995452045
2020-09-30,0.315,0.3291,36941628867,4907918702
2020-06-30,0.191,0.1437,23233708043,2974530256
2020-03-31,0.067,-0.2472,10626082256,1036297149
2019-12-31,0.296,-0.0263,46067155091,4612558850
2019-09-30,0.237,-0.0287,33885733310,3683912278
2019-06-30,0.167,0.006,21988105367,2598128951
2019-03-31,0.089,0.141,10739118902,1387594866
2018-12-31,0.304,0.0447,39305402287,4736862827
2018-09-30,0.247,-0.0644,28155369921,3799720494
2018-06-30,0.166,0.0061,17926062371,2529222300
2018-03-31,0.078,-0.0127,8255269969,1218730110
2017-12-31,0.289,0.0035,33589908934,4497715047
2017-09-30,0.264,0.0909,25355408504,4104103248
2017-06-30,0.164,0.025,16235184733,2545290720
2017-03-31,0.078,0.2,7966550538,1214826690
2016-12-31,0.288,0.036,30008741671,4488673838
2016-09-30,0.24,-0.1111,21951669844,3761461652
