date,净资产收益率(ROE),资本回报率(ROIC),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0702,0.0317,0.1975,0.3925,0.0218
2025-12-31,0.0814,0.0364,0.219,0.4132,0.0255
2025-09-30,0.0766,0.0341,0.1921,0.4069,0.0237
2025-06-30,0.0865,0.0369,0.2081,0.4199,0.0255
2025-03-31,0.0886,0.039,0.2147,0.4276,0.0273
2024-12-31,0.089,0.0402,0.2142,0.4291,0.0276
2024-09-30,0.1108,0.0496,0.2501,0.4394,0.0339
2024-06-30,0.1205,0.0523,0.2552,0.4417,0.0355
2024-03-31,0.122,0.0549,0.2618,0.4447,0.0376
2023-12-31,0.125,0.0572,0.259,0.4462,0.0387
2023-09-30,0.1222,0.0583,0.2486,0.4445,0.0389
2023-06-30,0.1185,0.0581,0.2372,0.4472,0.0374
2023-03-31,0.1121,0.0573,0.2271,0.453,0.0364
2022-12-31,0.1195,0.0595,0.229,0.4563,0.0373
2022-09-30,0.1261,0.0639,0.2475,0.483,0.0404
2022-06-30,0.1234,0.0628,0.2388,0.466,0.0387
2022-03-31,0.1251,0.0637,0.2448,0.4599,0.0397
2021-12-31,0.1163,0.059,0.2254,0.4419,0.0355
2021-09-30,0.1238,0.0599,0.2235,0.4377,0.0362
2021-06-30,0.1309,0.0597,0.2314,0.448,0.036
2021-03-31,0.1169,0.0551,0.2228,0.4455,0.0332
2020-12-31,0.1059,0.0518,0.2094,0.4479,0.03
2020-09-30,0.1106,0.0514,0.2115,0.4453,0.0295
2020-06-30,0.1,0.0467,0.1864,0.4337,0.0252
2020-03-31,0.0867,0.0436,0.1683,0.4249,0.0226
2019-12-31,0.0967,0.0471,0.1825,0.4185,0.0251
2019-09-30,0.0981,0.0582,0.1854,0.4125,0.0252
2019-06-30,0.106,,0.2014,0.4179,0.0267
2019-03-31,0.1075,,0.2143,0.4147,0.0279
2018-12-31,0.1059,0.0461,0.2172,0.4176,0.0272
2018-09-30,0.0975,,0.2115,0.4122,0.0248
2018-06-30,0.1075,,0.2303,0.4089,0.0268
2018-03-31,0.1043,,0.2376,0.4032,0.027
2017-12-31,0.1076,,0.2392,0.3961,0.0275
2017-09-30,0.1181,,0.2574,0.4036,0.0298
2017-06-30,0.1167,,0.2537,0.4012,0.029
2017-03-31,0.1196,,0.27,0.41,0.0309
2016-12-31,0.1183,,0.2702,0.41,0.0297
2016-09-30,0.1135,,0.2688,0.4173,0.0288
2016-06-30,0.1098,,0.2578,0.4247,0.0275
