date,流动资产合计,长期负债合计,资产合计,货币资金,所有者权益合计,速动比率,资产负债率,有息负债率,流动比率,应收账款,流动负债合计,负债合计
2026-03-31,144880960,390649773151,776965224132,186140418769.7,237434780235,0.5612,0.6944,0.6004,0.9625,26300320893,298919275,539530443897
2025-12-31,181059982,363175954939,749261994107,177913217940.1,232225745100,0.4443,0.6901,0.594,0.8158,25373223625,418561324,517036249007
2025-09-30,157575004,345353164074,720716955389,179147298064.54,223821067414,0.5007,0.6894,0.5893,0.881,25416839592,428952958,496895887975
2025-06-30,107009695,339285390521,720201640226,191693779329.68,216250828312,0.5793,0.6997,0.5938,0.9088,28048479804,471452038,503950811915
2025-03-31,173981263,319663608103,687698719033,189431299101.54,216730104533,0.5483,0.6848,0.5925,0.8837,27412292760,410374774,470968614500
2024-12-31,199195031,304303896339,659739168841,196952661162.81,209367959844,0.4952,0.6827,0.5819,0.8274,24650947763,433205943,450371208997
2024-09-30,155668179,276560461736,609292395885,210548626267.05,187202919584,0.3976,0.6928,0.5858,0.6997,25049838970,223222035,422089476301
2024-06-30,211281162,279415456852,599978043324,201295816682.22,172700121245,0.5211,0.7122,0.5937,0.8139,23761539091,284467079,427277922079
2024-03-31,195416313,261187884069,565701367672,173537387927.73,168589120080,0.471,0.702,0.5917,0.8081,22020065005,174234299,397112247592
2023-12-31,252533652,244853364037,539267250476,141624636502.5,162798002691,0.3762,0.6981,0.5864,0.6992,21365204534,245214023,376469247785
2023-09-30,174669051,236141177078,509686868829,137847979529.1,155409227015,0.5481,0.6951,0.5853,0.9314,21045729520,290784600,354277641814
2023-06-30,208986847,226435400267,493998251070,133127158312.35,149725416428,0.5168,0.6969,0.5749,0.8374,20286644668,133760248,344272834642
2023-03-31,177580019,221925920053,478661068229,120578517800.1,153496886881,0.6532,0.6793,0.5691,1.0458,18536774358,99530085,325164181348
2022-12-31,181191814,208511267907,464619975273,113102410542,147869442018,0.5136,0.6817,0.5576,0.8894,17210913148,94726619,316750533255
2022-09-30,122244546,196149312553,444294201914,110274850278.45,148386496933,0.6959,0.666,0.5508,1.2043,17466064401,69431971,295907704981
2022-06-30,125287727,186911338313,432276262269,129303661281.76,142519108917,0.6404,0.6703,0.545,1.0965,17555614807,37117277,289757153352
2022-03-31,140467593,185359434998,419961399471,152864824051.76,138381905332,0.6428,0.6705,0.5503,1.1014,17144583113,33163696,281579494139
2021-12-31,143609501,176610972200,409621386152,145438500071.6,125278308347,0.4724,0.6942,0.5687,0.8816,15133844724,65024038,284343077804
2021-09-30,84260465,174420136491,400019874781,126295932558.53,122168604802,0.5349,0.6946,0.5675,0.9745,14820176467,156325509,277851269979
2021-06-30,92603392,171214522515,396694106801,88327456954.66,117435630019,0.4892,0.704,0.5745,0.8718,13647175448,138570767,279258476782
2021-03-31,91566397,175507880201,389793532401,96008097900,118889325925,0.5412,0.695,0.5824,0.9914,12390529584,48973327,270904206476
2020-12-31,69507941,175757273289,381745973173,85883596697.88,116489675570,0.5007,0.6949,0.5808,0.951,10072891757,58904326,265256297603
2020-09-30,0,179827606314,359840621034,68332382161.73,99738452243,0.4674,0.7228,0.6101,1.0016,8217810177,183619160,260102168791
2020-06-30,18700479,180741667331,358343179773,63662696962.2,90556603808,0.3938,0.7473,0.6272,0.8559,8005067915,72164474,267786575965
2020-03-31,45678000,182672733605,353523923083,68487965700,92284303228,0.4644,0.739,0.6309,0.9355,6950531833,92506620,261239619855
2019-12-31,0,181027061876,347638932600,77827150000,90282838403,0.3909,0.7403,0.6344,0.864,5842927372,0,257356094198
2019-09-30,0,186698259609,343332621529,82341124700,88093893842,0.5439,0.7434,0.6192,1.1161,4836500304,0,255238727687
2019-06-30,0,185720656787,341350007609,86543790800,85917507881,0.5613,0.7483,0.6281,1.1038,4990756995,0,255432499728
2019-03-31,0,185072068218,331418013467,94170851500,86234355752,0.4075,0.7398,0.6266,0.9393,6101130378,0,245183657715
2018-12-31,0,182670418454,323481041461,82029816100,83570598028,0.3417,0.7417,0.6326,0.8686,4594787202,0,239910443432
2018-09-30,0,180279765619,319496534869,93548234300,82063460160,0.4501,0.7431,0.6319,0.9862,4547305528,0,237433074708
2018-06-30,0,176850509944,314093369213,87944679500,78948395376,0.4364,0.7486,0.6334,0.9392,5732052736,0,235144973837
2018-03-31,0,172987286062,310547394227,104599689600,80308903709,0.4334,0.7414,0.6333,0.9398,3976454583,0,230238490518
2017-12-31,0,169815624993,303192537555,114405910500,77626670522,0.3579,0.744,0.6388,0.8591,3221605270,0,225565867033
2017-09-30,0,166443852825,300073231095,116118107800,75818190861,0.4148,0.7473,0.6324,0.887,4118324635,0,224255040234
2017-06-30,0,160887679175,292388998251,121566008300,72218290112,0.3599,0.753,0.6393,0.7963,3170003945,0,220170708139
2017-03-31,0,155337098311,285029334946,113005021800,74086810399,0.3282,0.7401,0.6282,0.7841,3791700420,0,210942524547
2016-12-31,0,152801687634,282046621490,109891935800,71725764896,0.3326,0.7457,0.636,0.7539,3552363965,0,210320856595
2016-09-30,0,155043725962,276346029216,103354455200,69819187127,0.4543,0.7473,0.6373,0.9162,3000630325,0,206526842089
