date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,304964824123.5,0.9542,0.0722,2.0898,1.4543,1.1045,0.7027,0.2776,0.9429,0.8292,0.6439,0.0363,5.6560,0.0000,18.4906,10.4357,8.3657
2026-06-01,308043333389.1001,0.9638,0.0767,2.0898,1.4561,1.1050,0.7098,0.2847,0.9430,0.8294,0.6439,0.0359,5.7131,0.0000,18.4906,10.4427,8.3684
2026-05-29,309582588021.9,0.9687,0.0804,2.0898,1.4564,1.1052,0.7133,0.2890,0.9435,0.8303,0.6439,0.0357,5.7416,0.0004,18.4906,10.4545,8.3687
2026-05-28,308043333389.1001,0.9638,0.0767,2.0898,1.4567,1.1053,0.7098,0.2845,0.9435,0.8304,0.6439,0.0359,5.7131,0.0000,18.4906,10.4568,8.3707
2026-05-27,313911741676.65,0.9822,0.0887,2.0898,1.4571,1.1055,0.7233,0.3016,0.9435,0.8304,0.6439,0.0352,5.8219,0.0000,18.4906,10.4590,8.3720
2026-05-26,319587743135.1,1.0000,0.1023,2.0898,1.4573,1.1056,0.7364,0.3238,0.9435,0.8308,0.6439,0.0346,5.9272,0.0008,18.4906,10.4634,8.3726
2026-05-25,320261167036.95,1.0021,0.1035,2.0898,1.4581,1.1058,0.7380,0.3247,0.9435,0.8310,0.6439,0.0345,5.9397,0.0008,18.4906,10.4668,8.3727
2026-05-22,316028216796.75,0.9888,0.0923,2.0898,1.4597,1.1068,0.7282,0.3067,0.9437,0.8312,0.6439,0.0350,5.8612,0.0000,18.4906,10.4784,8.3755
2026-05-21,317471268015.0,0.9933,0.0948,2.0898,1.4602,1.1072,0.7315,0.3130,0.9437,0.8314,0.6439,0.0348,5.8879,0.0000,18.4906,10.4792,8.3827
2026-05-20,321511811426.1001,1.0060,0.1060,2.0898,1.4608,1.1073,0.7408,0.3280,0.9437,0.8315,0.6439,0.0344,5.9629,0.0000,18.4906,10.4800,8.3833
2026-05-19,324301710448.05,1.0147,0.1126,2.0898,1.4612,1.1074,0.7473,0.3391,0.9440,0.8318,0.6439,0.0341,6.0146,0.0000,18.4906,10.4949,8.3847
2026-05-18,325840965080.85,1.0195,0.1192,2.0898,1.4617,1.1075,0.7508,0.3453,0.9443,0.8320,0.6439,0.0340,6.0432,0.0000,18.4906,10.4969,8.3853
2026-05-15,332286593855.7,1.0397,0.1311,2.0898,1.4668,1.1075,0.7657,0.3685,0.9446,0.8321,0.6439,0.0333,6.1627,0.0000,18.4906,10.5146,8.3860
2026-05-14,338443612386.9,1.0590,0.1452,2.0898,1.4670,1.1078,0.7798,0.3926,0.9446,0.8321,0.6439,0.0327,6.2769,0.0004,18.4906,10.5170,8.3867
2026-05-13,343831003601.7,1.0758,0.1592,2.0898,1.4672,1.1080,0.7923,0.4117,0.9446,0.8321,0.6439,0.0322,6.3768,0.0021,18.4906,10.5195,8.3900
2026-05-12,358069108955.1,1.1204,0.2166,2.0898,1.4677,1.1087,0.8251,0.4810,0.9446,0.8322,0.6439,0.0309,6.6409,0.0177,18.4906,10.5329,8.3928
2026-05-11,359704567002.45,1.1255,0.2224,2.0898,1.4688,1.1087,0.8288,0.4926,0.9446,0.8322,0.6439,0.0308,6.6712,0.0206,18.4906,10.5356,8.3965
2026-05-08,354990599689.5,1.1107,0.2032,2.0898,1.4714,1.1087,0.8180,0.4592,0.9446,0.8324,0.6439,0.0312,6.5838,0.0132,18.4906,10.5368,8.3981
2026-05-07,358934939686.0501,1.1231,0.2198,2.0898,1.4719,1.1087,0.8271,0.4862,0.9446,0.8324,0.6439,0.0308,6.6569,0.0181,18.4906,10.5381,8.3988
2026-05-06,356914667980.5,1.1167,0.2112,2.0898,1.4725,1.1087,0.8224,0.4728,0.9446,0.8325,0.6439,0.0310,6.6195,0.0157,18.4906,10.5394,8.4011
2026-04-30,358165312369.65,1.1207,0.2159,2.0898,1.4755,1.1087,0.8253,0.4800,0.9457,0.8326,0.6439,0.0309,6.6427,0.0169,18.4906,10.5727,8.4033
2026-04-29,361917245537.1,1.1324,0.2292,2.0898,1.4756,1.1087,0.8339,0.5029,0.9457,0.8326,0.6439,0.0306,6.7122,0.0206,18.4906,10.5737,8.4033
2026-04-28,349603208474.7,1.1571,0.2527,2.0898,1.4759,1.1087,0.8034,0.4275,0.9458,0.8326,0.6439,0.0316,6.5340,0.0103,18.4906,10.5788,8.4121
2026-04-27,349795615303.8,1.1577,0.2535,2.0898,1.4760,1.1087,0.8038,0.4279,0.9460,0.8330,0.6439,0.0316,6.5376,0.0103,18.4906,10.5808,8.4144
2026-04-24,352296904082.1,1.1660,0.2640,2.0896,1.4772,1.1087,0.8096,0.4378,0.9461,0.8334,0.6439,0.0314,6.5844,0.0124,18.4863,10.6091,8.4146
2026-04-23,355567820176.8,1.1768,0.2736,2.0898,1.4776,1.1087,0.8171,0.4549,0.9463,0.8336,0.6439,0.0311,6.6455,0.0157,18.4906,10.6098,8.4146
2026-04-22,356433650907.75,1.1797,0.2758,2.0898,1.4780,1.1087,0.8191,0.4608,0.9463,0.8337,0.6439,0.0310,6.6617,0.0157,18.4906,10.6106,8.4177
2026-04-21,356433650907.75,1.1797,0.2758,2.0898,1.4802,1.1087,0.8191,0.4608,0.9463,0.8339,0.6439,0.0310,6.6617,0.0157,18.4906,10.6131,8.4178
2026-04-20,360377990904.3,1.1927,0.2976,2.0898,1.4807,1.1087,0.8282,0.4852,0.9464,0.8339,0.6439,0.0307,6.7354,0.0185,18.4906,10.6249,8.4178
2026-04-17,359223549929.7,1.1889,0.2908,2.0896,1.4822,1.1087,0.8255,0.4773,0.9468,0.8349,0.6439,0.0308,6.7138,0.0181,18.4863,10.6393,8.4188
2026-04-16,364322330900.85,1.2058,0.3160,2.0898,1.4823,1.1087,0.8372,0.5064,0.9468,0.8349,0.6439,0.0304,6.8091,0.0194,18.4906,10.6424,8.4188
2026-04-15,365476771875.45,1.2096,0.3203,2.0898,1.4825,1.1087,0.8399,0.5161,0.9468,0.8349,0.6439,0.0303,6.8307,0.0198,18.4906,10.6455,8.4213
2026-04-14,369421111872.0,1.2227,0.3380,2.0898,1.4827,1.1087,0.8489,0.5416,0.9472,0.8349,0.6439,0.0299,6.9044,0.0251,18.4906,10.6491,8.4258
