date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-5159710921,-365647427,-1.4099,1.3611
2025-12-31,-2920676548,7492131667,0.6898,1.7415
2025-09-30,-1668079625,4903825468,1.3171,1.8404
2025-06-30,-1304865339,2372565712,6.6072,1.7017
2025-03-31,415283770,892143949,1.5094,1.6342
2024-12-31,-1110329657,4433732895,-0.489,1.0503
2024-09-30,464323770,2116324375,-0.6051,1.3884
2024-06-30,1389304145,311882589,-0.9055,1.3749
2024-03-31,1700362594,-1751380202,-2.7873,1.3903
2023-12-31,3677301215,8676259761,2.0334,1.9194
2023-09-30,-1066403348,5358649319,0.8596,1.0905
2023-06-30,-4446417062,3300467538,0.8239,0.8804
2023-03-31,-9836898941,979913660,0.1483,0.6647
2022-12-31,-10972476351,2860220008,0.5354,0.7789
2022-09-30,-9778952452,2881541712,6.2387,1.2806
2022-06-30,-8897735652,1809551778,4.4107,1.2046
2022-03-31,-5218057217,853384922,3.4915,1.0536
2021-12-31,-4405973973,1862853925,0.2037,0.5915
2021-09-30,-3521146972,398076441,-0.5884,0.3128
2021-06-30,-1659182082,334441009,-0.3463,0.4657
2021-03-31,-1242668021,-342518996,-1.8244,0.3675
2020-12-31,-477847796,1547616814,0.3592,0.9205
2020-09-30,-1192896089,967126252,0.1397,0.9363
2020-06-30,-1454549937,511575250,0.0635,0.8246
2020-03-31,-1582354018,415454137,1.3068,0.8566
2019-12-31,-1475385387,1138632496,1.6206,0.7352
2019-09-30,-385359699,848554320,5.9437,0.8463
2019-06-30,-235946778,481013292,20.8658,0.9618
2019-03-31,-173673329,180096210,7.6,0.9024
2018-12-31,-362381070,434494747,4.3648,0.7454
2018-09-30,-618934628,122204865,6.7972,0.4895
2018-06-30,-941491371,21998478,1.2945,0.5399
2018-03-31,-1108616574,-27287450,0.3692,0.2193
2017-12-31,-1301080697,80989719,0.7147,0.187
2017-09-30,-1407431804.47,-21079875,0.689,0.1947
2017-06-30,-1366007168.18,-74686813,-0.0282,0.0952
2017-03-31,-1166108392.19,-43257937,-2.2081,0.0523
2016-12-31,-847262545,47232585,-0.1714,0.1498
2016-09-30,-762000204.72,-67786325.07,-2.2797,-0.2472
2016-06-30,-600440255.01,-72635933.61,-8.4216,-0.123
