date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-02,142307483303.8,31.7687,0.2739,66.4888,41.5560,26.4669,0.0071,2.0519,0.1683,11.3966,5.7357,2.1666,3.2968,0.2285,10.3021,6.4158,3.0536
2026-06-01,141242567805.65,31.5309,0.2694,66.5900,41.6668,26.4669,0.0071,2.0366,0.1634,11.4232,5.7362,2.1672,3.2722,0.2236,10.3021,6.4257,3.0536
2026-05-29,138395548820.8,30.8954,0.2626,66.6266,41.6933,26.4669,0.0073,1.9955,0.1517,11.4232,5.7506,2.1679,3.2062,0.2160,10.3021,6.4355,3.0536
2026-05-28,143089870200.4,31.9433,0.2759,66.6266,41.6936,26.4669,0.0070,2.0632,0.1695,11.4232,5.7511,2.1686,3.3150,0.2297,10.3021,6.4359,3.0536
2026-05-27,140677510602.55,31.4048,0.2677,66.6266,41.6939,26.4669,0.0072,2.0284,0.1592,11.4232,5.7516,2.1703,3.2591,0.2219,10.3021,6.4362,3.0536
2026-05-26,137700093801.6,30.7401,0.2611,66.6446,41.6944,26.4669,0.0073,1.9855,0.1493,11.4232,5.7534,2.1774,3.1901,0.2141,10.3021,6.4364,3.0536
2026-05-25,137374099261.35,30.6673,0.2603,66.6924,41.6995,26.4669,0.0073,1.9808,0.1477,11.4232,5.7570,2.1775,3.1825,0.2133,10.3021,6.4440,3.0536
2026-05-22,139916856675.3,31.2350,0.2655,66.9286,41.7297,26.4669,0.0072,2.0174,0.1533,11.4232,5.7678,2.1792,3.2415,0.2185,10.3021,6.4617,3.0536
2026-05-21,138982338993.25,31.0264,0.2639,66.9286,41.7297,26.4669,0.0073,2.0040,0.1518,11.4232,5.7680,2.1835,3.2198,0.2169,10.3021,6.4617,3.0536
2026-05-20,144654643993.6,32.2926,0.2776,66.9286,41.7297,26.4669,0.0070,2.0858,0.1749,11.4232,5.7683,2.1853,3.3512,0.2298,10.3021,6.4617,3.0536
2026-05-19,142350949242.5,31.7784,0.2715,66.9323,41.7371,26.4669,0.0071,2.0525,0.1654,11.4232,5.7717,2.1865,3.2978,0.2261,10.3021,6.4629,3.0536
2026-05-18,141546829376.55,31.5989,0.2673,66.9328,41.7441,26.4669,0.0071,2.0410,0.1630,11.4232,5.7733,2.1904,3.2792,0.2228,10.3021,6.4707,3.0536
2026-05-15,142959472384.3,31.9142,0.2721,67.0075,41.8539,26.4669,0.0070,2.0613,0.1657,11.4232,5.7747,2.1912,3.3119,0.2263,10.3021,6.4820,3.0536
2026-05-14,141916289855.5,31.6813,0.2680,67.0075,41.8565,26.4669,0.0071,2.0463,0.1633,11.4232,5.7750,2.1921,3.2878,0.2231,10.3021,6.4820,3.0536
2026-05-13,148870840047.5,33.2339,0.2933,67.0075,41.8590,26.4669,0.0068,2.1466,0.1898,11.4232,5.7754,2.1926,3.4088,0.2331,10.3021,6.4821,3.0536
2026-05-12,147979788304.15,33.0350,0.2880,67.0253,41.8621,26.4669,0.0068,2.1337,0.1856,11.4232,5.7774,2.1930,3.3884,0.2310,10.3021,6.4822,3.0536
2026-05-11,152261183266.1,33.9907,0.3086,67.0918,41.8829,26.4669,0.0066,2.1954,0.2005,11.4232,5.7774,2.1932,3.4864,0.2384,10.3021,6.4843,3.0536
2026-05-08,151913455756.5,33.9131,0.3067,67.1923,41.9078,26.4669,0.0066,2.1904,0.1979,11.4232,5.7774,2.1932,3.4784,0.2374,10.3021,6.4997,3.0536
2026-05-07,156064452902.35,34.8398,0.3311,67.1923,41.9160,26.4669,0.0065,2.2503,0.2103,11.4232,5.7822,2.1982,3.5735,0.2515,10.3021,6.5000,3.0536
2026-05-06,164170850469.9,36.6494,0.3775,67.1923,41.9243,26.4669,0.0061,2.3672,0.2228,11.4232,5.7870,2.1982,3.7591,0.2809,10.3021,6.5004,3.0536
2026-04-30,157759624511.65,35.2182,0.3407,67.3146,41.9716,26.4669,0.0064,2.2747,0.2122,11.4232,5.7932,2.1982,3.6123,0.2575,10.3021,6.5181,3.0536
2026-04-29,161041302883.5,35.9508,0.3599,67.3146,41.9809,26.4669,0.0063,2.3220,0.2156,11.4232,5.7966,2.1982,3.6874,0.2708,10.3021,6.5204,3.0536
2026-04-28,153065303132.05,34.1702,0.3116,67.3289,42.0053,26.4669,0.0066,2.2070,0.2024,11.4232,5.7981,2.1982,3.5048,0.2399,10.3021,6.5244,3.0536
2026-04-27,155238600067.05,34.6554,0.3244,67.4221,42.0446,26.4669,0.0065,2.2384,0.2086,11.4232,5.7986,2.1982,3.5546,0.2448,10.3021,6.5354,3.0536
2026-04-24,158237749837.35,38.2743,0.4180,67.4744,42.0663,26.4829,0.0064,2.5742,0.2455,11.3966,5.8006,2.2005,3.7658,0.2792,10.2887,6.5354,3.0589
2026-04-23,156194850718.45,37.7802,0.4050,67.4791,42.0760,26.4669,0.0065,2.5410,0.2452,11.4232,5.8009,2.1982,3.7172,0.2744,10.3021,6.5360,3.0536
2026-04-22,154494729043.8,37.3690,0.3953,67.4791,42.0858,26.4669,0.0065,2.5134,0.2432,11.4232,5.8013,2.1982,3.6767,0.2663,10.3021,6.5366,3.0536
2026-04-21,154925196385.8,37.4731,0.3969,67.5011,42.0968,26.4669,0.0065,2.5204,0.2436,11.4232,5.8088,2.1982,3.6870,0.2692,10.3021,6.5366,3.0536
2026-04-20,148425139521.6,35.9009,0.3570,67.5011,42.1017,26.4669,0.0068,2.4146,0.2288,11.4232,5.8126,2.1982,3.5323,0.2415,10.3021,6.5366,3.0536
2026-04-17,150340719193.5,36.3642,0.3661,67.5801,42.1567,26.4829,0.0067,2.4458,0.2315,11.3966,5.8262,2.2005,3.5779,0.2504,10.2887,6.5442,3.0589
2026-04-16,152772859675.8,36.9525,0.3836,67.5872,42.2148,26.4669,0.0066,2.4853,0.2386,11.4232,5.8269,2.1982,3.6358,0.2588,10.3021,6.5609,3.0536
2026-04-15,151352317447.2,36.6089,0.3739,67.5872,42.2729,26.4669,0.0067,2.4622,0.2337,11.4232,5.8275,2.1982,3.6020,0.2535,10.3021,6.5776,3.0536
2026-04-14,151632727714.8,36.6767,0.3759,67.5968,42.2966,26.4669,0.0066,2.4668,0.2350,11.4232,5.8309,2.1982,3.6086,0.2547,10.3021,6.5861,3.0536
2026-04-13,146850948749.52,35.5201,0.3475,67.8206,42.3396,26.4669,0.0069,2.3890,0.2238,11.4232,5.8333,2.1982,3.4948,0.2387,10.3021,6.5861,3.0536
2026-04-10,144879513562.08,35.0433,0.3348,67.9379,42.3563,26.4829,0.0070,2.3569,0.2187,11.3966,5.8358,2.2005,3.4479,0.2348,10.2887,6.5949,3.0589
2026-04-09,136553345802.36,33.0293,0.2872,67.9613,42.3634,26.4669,0.0074,2.2215,0.2052,11.4232,5.8393,2.1982,3.2498,0.2192,10.3021,6.5971,3.0536
2026-04-08,134749692333.0,32.5931,0.2819,67.9613,42.3704,26.4669,0.0075,2.1921,0.1983,11.4232,5.8428,2.1982,3.2068,0.2152,10.3021,6.5994,3.0536
2026-04-07,127262433163.68,30.7821,0.2609,68.0106,42.3706,26.4669,0.0079,2.0703,0.1669,11.4232,5.8475,2.2005,3.0287,0.1974,10.3021,6.6005,3.0536
2026-04-03,125836288560.0,30.4371,0.2570,68.1724,42.4261,26.4829,0.0080,2.0471,0.1631,11.3966,5.8499,2.2051,2.9947,0.1948,10.2887,6.6053,3.0643
2026-04-02,132023239414.2,31.9336,0.2707,68.2302,42.4261,26.4669,0.0076,2.1478,0.1891,11.4232,5.8516,2.2051,3.1420,0.2068,10.3021,6.6105,3.0643
2026-04-01,131247248968.08,31.7459,0.2679,68.2302,42.4261,26.4669,0.0077,2.1352,0.1855,11.4232,5.8533,2.2056,3.1235,0.2049,10.3021,6.6158,3.0643
2026-03-31,129193293018.79,31.2491,0.2642,68.3739,42.4616,26.4669,0.0078,2.1017,0.1756,11.4232,5.8577,2.2065,3.0746,0.2012,10.3021,6.6190,3.0643
2026-03-30,143300900571.57,34.6614,0.3215,68.3794,42.4616,26.4669,0.0070,2.3312,0.2135,11.4232,5.8580,2.2116,3.4103,0.2296,10.3021,6.6293,3.0643
2026-03-27,150166235365.2,40.5567,0.4671,68.4473,42.4826,26.4829,0.0101,2.5210,0.2372,11.3966,5.8611,2.2121,3.7321,0.2685,10.2887,6.6308,3.0690
2026-03-26,145188349110.0,39.2123,0.4318,68.4542,42.4878,26.4669,0.0105,2.4374,0.2266,11.4232,5.8730,2.2116,3.6084,0.2501,10.3021,6.6389,3.0643
2026-03-25,145955773241.01,39.4196,0.4382,68.4542,42.4930,26.4669,0.0104,2.4503,0.2271,11.4232,5.8848,2.2116,3.6275,0.2514,10.3021,6.6470,3.0643
2026-03-24,145395761037.3,39.2683,0.4328,68.4648,42.4958,26.4669,0.0104,2.4409,0.2267,11.4232,5.8848,2.2116,3.6136,0.2506,10.3021,6.6470,3.0643
2026-03-23,147532103888.49,39.8453,0.4493,68.5023,42.5243,26.4669,0.0103,2.4768,0.2308,11.4232,5.8936,2.2116,3.6667,0.2568,10.3021,6.6470,3.0643
2026-03-20,146847644528.4,39.6604,0.4423,68.5563,42.5836,26.4829,0.0103,2.4653,0.2286,11.3966,5.8956,2.2121,3.6497,0.2533,10.2887,6.6493,3.0690
2026-03-19,139090438447.38,37.5654,0.3943,68.6840,42.5890,26.4669,0.0109,2.3350,0.2134,11.4232,5.8961,2.2116,3.4569,0.2320,10.3021,6.6522,3.0643
2026-03-18,140023792120.23,37.8175,0.3990,68.6840,42.5943,26.4669,0.0108,2.3507,0.2148,11.4232,5.8966,2.2116,3.4801,0.2333,10.3021,6.6551,3.0643
2026-03-17,142326064513.26,38.4393,0.4134,68.6857,42.5953,26.4669,0.0107,2.3894,0.2197,11.4232,5.8994,2.2116,3.5373,0.2378,10.3021,6.6551,3.0643
2026-03-16,145084643146.35,39.1843,0.4299,68.6857,42.6117,26.4669,0.0105,2.4357,0.2246,11.4232,5.9023,2.2116,3.6058,0.2481,10.3021,6.6551,3.0643
2026-03-13,141496416804.06,38.2152,0.4086,68.6840,42.6211,26.4829,0.0107,2.3754,0.2171,11.3966,5.9168,2.2121,3.5167,0.2356,10.2887,6.6493,3.0690
2026-03-12,143300900571.57,38.7025,0.4186,68.6857,42.6481,26.4669,0.0106,2.4057,0.2213,11.4232,5.9170,2.2116,3.5615,0.2406,10.3021,6.6522,3.0643
2026-03-11,140977886985.81,38.0751,0.4064,68.6857,42.6752,26.4669,0.0108,2.3667,0.2160,11.4232,5.9172,2.2116,3.5038,0.2345,10.3021,6.6551,3.0643
2026-03-10,130628031813.54,35.2799,0.3376,68.6857,42.6983,26.4669,0.0116,2.1930,0.1966,11.4232,5.9209,2.2116,3.2465,0.2160,10.3021,6.6551,3.0643
2026-03-09,129176148322.44,34.8877,0.3277,68.6857,42.7857,26.4669,0.0118,2.1686,0.1925,11.4232,5.9221,2.2121,3.2105,0.2135,10.3021,6.6551,3.0643
2026-03-06,125069392161.9,33.7786,0.3011,68.6840,42.8362,26.4829,0.0121,2.0996,0.1746,11.3966,5.9369,2.2204,3.1084,0.2026,10.2887,6.6493,3.0690
2026-03-05,125567180787.42,33.9130,0.3028,68.6857,42.8487,26.4669,0.0121,2.1080,0.1772,11.4232,5.9376,2.2204,3.1208,0.2035,10.3021,6.6522,3.0643
2026-03-04,126147934183.86,34.0699,0.3050,68.6857,42.8611,26.4669,0.0120,2.1178,0.1789,11.4232,5.9384,2.2208,3.1352,0.2045,10.3021,6.6551,3.0643
2026-03-03,127703523638.61,34.4900,0.3145,68.6857,42.9065,26.4669,0.0119,2.1439,0.1855,11.4232,5.9392,2.2212,3.1739,0.2090,10.3021,6.6551,3.0643
2026-03-02,127371664554.93,34.4004,0.3124,68.6857,42.9249,26.4669,0.0119,2.1383,0.1847,11.4232,5.9532,2.2212,3.1656,0.2073,10.3021,6.6551,3.0643
2026-02-27,129279854286.09,34.9157,0.3266,68.6840,43.0250,26.4829,0.0117,2.1703,0.1903,11.3966,5.9594,2.2267,3.2130,0.2113,10.2887,6.6493,3.0690
2026-02-26,128927254009.68,34.8205,0.3226,68.6857,43.0320,26.4669,0.0118,2.1644,0.1887,11.4232,5.9634,2.2267,3.2043,0.2105,10.3021,6.6522,3.0643
2026-02-25,135771847610.58,36.6691,0.3671,68.7598,43.0409,26.4669,0.0112,2.2793,0.2052,11.4232,5.9703,2.2293,3.3744,0.2237,10.3021,6.6522,3.0643
2026-02-24,133739210723.04,36.1201,0.3539,68.7647,43.0484,26.4669,0.0114,2.2452,0.2023,11.4232,5.9775,2.2293,3.3239,0.2200,10.3021,6.6522,3.0643
2026-02-13,132287327231.94,35.7280,0.3439,68.9217,43.2479,26.5152,0.0115,2.2208,0.1972,11.3906,5.9897,2.2351,3.2878,0.2157,10.2715,6.6293,3.0725
2026-02-12,134983682286.84,36.4562,0.3584,68.9217,43.2530,26.5152,0.0113,2.2661,0.2030,11.3906,5.9922,2.2354,3.3548,0.2203,10.2715,6.6301,3.0725
2026-02-11,132308068424.67,35.7336,0.3442,69.0804,43.2580,26.4829,0.0115,2.2212,0.1974,11.3966,5.9947,2.2351,3.2883,0.2159,10.2887,6.6308,3.0690
2026-02-10,131436938330.01,35.4983,0.3390,69.0804,43.2616,26.4829,0.0116,2.2065,0.1954,11.3966,6.0001,2.2354,3.2666,0.2135,10.2887,6.6389,3.0690
2026-02-09,133137716133.87,35.9577,0.3490,69.0804,43.2652,26.4829,0.0114,2.2351,0.1992,11.3966,6.0054,2.2358,3.3089,0.2169,10.2887,6.6470,3.0690
2026-02-06,131768797413.69,35.5880,0.3417,69.0804,43.2675,26.4829,0.0115,2.2121,0.1960,11.3966,6.0057,2.2416,3.2749,0.2149,10.2887,6.6482,3.0690
2026-02-05,127724264831.34,34.4956,0.3143,69.0804,43.2698,26.4829,0.0119,2.1442,0.1849,11.3966,6.0061,2.2554,3.1744,0.2084,10.2887,6.6493,3.0690
2026-02-04,132639927508.35,35.8232,0.3451,69.1421,43.3226,26.4829,0.0115,2.2267,0.1973,11.3966,6.0103,2.2581,3.2965,0.2154,10.2887,6.6493,3.0690
2026-02-03,130939149704.49,35.3639,0.3348,69.1511,43.3315,26.4829,0.0116,2.1982,0.1932,11.3966,6.0123,2.2587,3.2543,0.2125,10.2887,6.6493,3.0690
2026-02-02,130524325849.89,35.2519,0.3328,69.1676,43.3419,26.4829,0.0116,2.1912,0.1919,11.3966,6.0198,2.2619,3.2440,0.2117,10.2887,6.6493,3.0690
2026-01-30,132308068424.67,35.7336,0.3425,69.2714,43.3524,26.4829,0.0115,2.2212,0.1956,11.3966,6.0266,2.2785,3.2883,0.2141,10.2887,6.6482,3.0690
2026-01-29,125919781063.83,34.0083,0.3044,69.2714,43.3593,26.4829,0.0121,2.1139,0.1775,11.3966,6.0308,2.2886,3.1295,0.2039,10.2887,6.6493,3.0690
2026-01-28,129093183551.52,34.8653,0.3233,69.2977,43.3905,26.4829,0.0118,2.1672,0.1882,11.3966,6.0342,2.2898,3.2084,0.2096,10.2887,6.6493,3.0690
