date,负债合计,流动比率,所有者权益合计,长期负债合计,资产负债率,资产合计
2025-12-31,6703568267.55,3.832,27558958588.7,0,0.1957,34262526856.25
2025-06-30,6475982520,3.2301,23423393812,0,0.2166,29899376332
2024-12-31,5020491876.2,2.6337,16011157742,0,0.2387,21031649618.2
2024-09-30,5009113414.4,2.6827,15607319283.2,0,0.243,20616432697.6
2024-06-30,,,,0,,
2023-12-31,4401109580.8,2.4498,11663487872,0,0.274,16064597452.8
2023-09-30,,,,0,,
2022-12-31,2764485769,2.8034,8384258307,0,0.248,11148744076
2021-12-31,2168847344.4,2.9738,6777625788,0,0.2424,8946473132.4
