date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元),理杏仁前复权(港币),前复权(港币),后复权(港币),股价(港币),市值(港币),PEG
2026-02-02,26.1045,0.0351,40.3649,30.8656,27.3155,0,4.7175,0.0351,7.2125,5.5189,4.9363,6.3271,0.0219,11.9741,9.4373,6.6402,,388.0,388.0,388.0,388.0,147292094400.0,0.8157
2026-01-30,26.7504,0.0881,40.4454,30.9849,27.3155,0,4.8342,0.0881,7.2269,5.5402,4.9363,6.4836,0.0749,11.998,9.4738,6.6402,,397.6,397.6,397.6,397.6,150936434880.0,0.8359
2026-01-29,26.8984,0.1195,40.4454,31.1042,27.3424,0,4.8609,0.1239,7.2269,5.5616,4.9412,6.5195,0.1062,11.998,9.5103,6.65,,399.8,399.8,399.8,399.8,151771596240.0,0.8406
2026-01-28,26.7504,0.0889,40.4454,31.1042,27.3693,0,4.8342,0.0889,7.2269,5.5616,4.946,6.4836,0.0756,11.998,9.5103,6.663,,397.6,397.6,397.6,397.6,150936434880.0,0.8359
2026-01-27,30.0202,0.4777,40.4454,31.1042,27.3828,0,5.4251,0.4777,7.2269,5.5616,4.9485,7.2761,0.4643,11.998,9.5103,6.663,,446.2,446.2,446.2,446.2,169385908560.0,0.9381
2026-01-26,30.0471,0.4798,40.4454,31.1997,27.3828,0,5.43,0.4798,7.2269,5.5786,4.9485,7.2827,0.4664,11.998,9.5395,6.663,,446.6,446.6,446.6,446.6,169537756080.0,0.939
2026-01-23,28.9571,0.4189,40.5259,31.2952,27.3693,0,5.233,0.4189,7.2413,5.5957,4.946,7.0185,0.3919,12.0219,9.5686,6.663,,430.4,430.4,430.4,430.4,163387931520.0,0.9049
2026-01-22,29.0379,0.4253,40.5259,31.4304,27.3693,0,5.2476,0.4253,7.2413,5.6199,4.946,7.0381,0.3982,12.0219,9.6098,6.663,,431.6,431.6,431.6,431.6,163843474080.0,0.9074
2026-01-21,29.6972,0.4591,40.5259,31.5656,27.3693,0,5.3667,0.4591,7.2413,5.6441,4.946,7.1979,0.4409,12.0219,9.6509,6.663,,441.4,441.4,441.4,441.4,167563738320.0,0.928
2026-01-20,29.8856,0.4658,40.5259,31.6929,27.3693,0,5.4008,0.4658,7.2413,5.6668,4.946,7.2435,0.4521,12.0219,9.6511,6.663,,444.2,444.2,444.2,444.2,168626670960.0,0.9339
2026-01-19,28.836,0.4083,40.5259,31.8202,27.3693,0,5.2111,0.4083,7.2413,5.6896,4.946,6.9891,0.3807,12.0219,9.6513,6.663,,428.6,428.6,428.6,428.6,162704617680.0,0.9011
2026-01-16,28.244,0.3594,40.6868,32.0589,27.3424,0,5.1041,0.3641,7.2701,5.7322,4.9412,6.8456,0.3364,12.0696,9.6535,6.65,,419.8,419.8,419.8,419.8,159363972240.0,0.8826
2026-01-15,28.5938,0.3889,40.6868,32.2975,27.3424,0,5.1673,0.3889,7.2701,5.7749,4.9412,6.9304,0.3611,12.0696,9.6557,6.65,,425.0,425.0,425.0,425.0,161337990000.0,0.8936
2026-01-14,28.2305,0.3535,40.6868,32.4154,27.3424,0,5.1017,0.3628,7.2701,5.794,4.9412,6.8424,0.3349,12.0696,9.6924,6.65,,419.6,419.6,419.6,419.6,159288048480.0,0.8822
2026-01-13,28.6207,0.3925,40.6868,32.5334,27.3424,0,5.1722,0.3925,7.2701,5.8132,4.9412,6.937,0.3645,12.0696,9.7292,6.65,,425.4,425.4,425.4,425.4,161489837520.0,0.8944
2026-01-12,28.836,0.3991,40.6868,32.5414,27.3424,0,5.2111,0.3991,7.2701,5.8146,4.9412,6.9891,0.3709,12.0696,9.7429,6.65,,428.6,428.6,428.6,428.6,162704617680.0,0.9011
2026-01-09,28.4054,0.3821,40.7271,32.5495,27.3155,0,5.1333,0.3821,7.2772,5.816,4.9363,6.8848,0.3538,12.0815,9.7566,6.6402,,422.2,422.2,422.2,422.2,160275057360.0,0.8877
2026-01-08,29.5761,0.4408,40.7271,32.5985,27.3155,0,5.3448,0.4408,7.2772,5.8268,4.9363,7.1685,0.4218,12.0815,9.7993,6.6402,,439.6,439.6,439.6,439.6,166880424480.0,0.9242
2026-01-07,29.159,0.4238,40.7271,32.6475,27.3155,0,5.2695,0.4238,7.2772,5.8375,4.9363,7.0674,0.4048,12.0815,9.8419,6.6402,,433.4,433.4,433.4,433.4,164526787920.0,0.9112
2026-01-06,28.9302,0.4067,40.7271,32.7686,27.3155,0,5.2281,0.4067,7.2772,5.8572,4.9363,7.012,0.378,12.0815,9.8585,6.6402,,430.0,430.0,430.0,430.0,163236084000.0,0.9041
2026-01-05,27.006,0.1635,40.7271,32.8897,27.3155,0,4.8804,0.1683,7.2772,5.8768,4.9363,6.5456,0.149,12.0815,9.8751,6.6402,,401.4,401.4,401.4,401.4,152378986320.0,0.8439
2026-01-02,27.3693,0.2077,40.8478,32.9516,27.3155,0,4.946,0.2077,7.2988,5.8899,4.9363,6.6336,0.1884,12.1174,9.9178,6.6402,,406.8,406.8,406.8,406.8,154428927840.0,0.8553
2025-12-31,27.5712,0.2476,40.8478,33.0135,27.3155,0,4.9825,0.2476,7.2988,5.9029,4.9363,6.6826,0.2282,12.1174,9.9606,6.65,,409.8,409.8,409.8,409.8,155567784240.0,0.8616
2025-12-30,28.8226,0.3902,40.8478,33.0954,27.3155,0,5.2087,0.3902,7.2988,5.9156,4.9363,6.9859,0.361,12.1174,9.9714,6.65,,428.4,428.4,428.4,428.4,162628693920.0,0.9007
2025-12-29,29.4685,0.4216,40.8478,33.1773,27.3155,0,5.3254,0.4216,7.2988,5.9282,4.9363,7.1424,0.402,12.1174,9.9821,6.65,,438.0,438.0,438.0,438.0,166273034400.0,0.9209
2025-12-24,28.3785,0.3793,40.8478,33.3181,27.3155,0,5.1284,0.3793,7.2988,5.9554,4.9363,6.8783,0.3498,12.1174,9.9856,6.65,,421.8,421.8,421.8,421.8,160123209840.0,0.8868
2025-12-23,28.5669,0.3812,40.8881,33.4589,27.2886,0,5.1625,0.3812,7.306,5.9826,4.9315,6.9239,0.3515,12.1293,9.989,6.6402,,424.6,424.6,424.6,424.6,161186142480.0,0.8927
2025-12-22,29.2666,0.408,40.8881,33.5181,27.2886,0,5.2889,0.408,7.306,5.9911,4.9315,7.0935,0.3881,12.1293,9.9967,6.6402,,435.0,435.0,435.0,435.0,165134178000.0,0.9146
