代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
600519,贵州茅台,1520.00,45.20,15.80,8.50,2.80,35.20,18.50
000858,五粮液,425.30,35.80,8.20,4.50,1.50,22.80,12.10
601398,工商银行,5.28,5.20,0.68,1.20,4.20,13.20,1.10
