日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=13.7200,=13.7200,=13.7200,=13.7200,=210094585899.8,=172275687160.0,=70272305953.08,,=0.9848,,,,
2026-07-02,=13.1900,=13.1900,=13.1900,=13.1900,=201978687173.35,=165620722568.0,=67557705212.91,,=0.9467,,,,
2026-07-01,=13.1600,=13.1600,=13.1600,=13.1600,=201519296679.4,=165243597207.0,=67404048567.24,,=0.9446,,,,
2026-06-30,=13.2600,=13.2600,=13.2600,=13.2600,=203050598325.9,=166499247641.0,=67916237386.14,,=0.9518,,,,
2026-06-29,=13.4000,=13.4000,=13.4000,=13.4000,=205193983549.8,=168257158250.0,=68633301732.6,,=0.9618,,,,
2026-06-26,=13.3900,=13.3900,=13.3900,=13.3900,=205040853711.33,=168131593206.0,=68582082850.71,,=0.9611,,,,
2026-06-25,=13.8200,=13.8200,=13.8200,=13.8200,=211625436765.54,=173530890076.0,=70784494771.98,,=0.9920,,,,
2026-06-24,=14.0000,=14.0000,=14.0000,=14.0000,=214381773858.0,=175791060858.0,=71706434646.0,,=1.0049,,,,
2026-06-23,=13.9900,=13.9900,=13.9900,=13.9900,=214228644019.53,=175665495815.0,=71655215764.11,,=1.0042,,,,
2026-06-22,=14.1500,=14.1500,=14.1500,=14.1500,=216678721435.05,=177674536510.0,=72474717874.35,,=1.0156,,,,
2026-06-18,=13.8000,=13.8000,=13.8000,=13.8000,=211319177088.6,=173279759989.0,=70682057008.2,,=0.9905,,,,
2026-06-17,=14.0400,=14.0400,=14.0400,=14.0400,=214994293211.88,=176293321032.0,=71911310173.56,,=1.0078,,,,
2026-06-16,=14.2400,=14.2400,=14.2400,=14.2400,=218056889981.28,=178804621901.0,=72935687811.36,,=1.0221,,,,
2026-06-15,=14.4900,=14.4900,=14.4900,=14.4900,=221885135943.03,=181943747988.0,=74216159858.61,,=1.0401,,,,
2026-06-12,=14.5700,=14.5700,=14.5700,=14.5700,=223110174650.79,=182948268336.0,=74625910913.73,,=1.0458,,,,
2026-06-11,=14.2300,=14.2300,=14.2300,=14.2300,=217903760142.81,=178679056858.0,=72884468929.47,,=1.0214,,,,
2026-06-10,=14.4100,=14.4100,=14.4100,=14.4100,=220660097235.27,=180939227640.0,=73806408803.49,,=1.0343,,,,
2026-06-09,=14.8100,=14.8100,=14.8100,=14.8100,=226785290774.07,=185961829379.0,=75855164079.09,,=1.0630,,,,
2026-06-08,=15.0200,=15.0200,=15.0200,=15.0200,=230001017381.94,=188598695292.0,=76930760598.78,,=1.0781,,,,
2026-06-05,=15.0000,=15.0000,=15.0000,=15.0000,=229694757705.0,=188347565205.0,=76828322835.0,,=1.0767,,,,
