代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
688981,中芯国际,156.80,28.50,2.80,3.20,0.80,10.20,5.30
688536,思瑞浦,0.00,0.00,0.00,0.00,0.00,0.00,0.00
688139,通富微电,0.00,0.00,0.00,0.00,0.00,0.00,0.00
