date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,210094585899.8,0.9848,,,,,0.9176,,,,,0.0733,8.3868,,,,,0.9433,,,,,8.4221,,,,
2026-07-02,201978687173.35,0.9467,,,,,0.8821,,,,,0.0762,8.0628,,,,,0.9068,,,,,8.0967,,,,
2026-07-01,201519296679.4,0.9446,,,,,0.8801,,,,,0.0764,8.0445,,,,,0.9048,,,,,8.0783,,,,
2026-06-30,203050598325.9,0.9518,,,,,0.8868,,,,,0.0758,8.1056,,,,,0.9117,,,,,8.1397,,,,
2026-06-29,205193983549.8,0.9618,,,,,0.8962,,,,,0.0750,8.1912,,,,,0.9213,,,,,8.2256,,,,
2026-06-26,205040853711.33,0.9611,,,,,0.8955,,,,,0.0751,8.1851,,,,,0.9206,,,,,8.2195,,,,
2026-06-25,211625436765.54,0.9920,,,,,0.8979,,,,,0.0727,8.4479,,,,,0.9223,,,,,8.4835,,,,
2026-06-24,214381773858.0,1.0049,,,,,0.9096,,,,,0.0718,8.5580,,,,,0.9343,,,,,8.5940,,,,
2026-06-23,214228644019.53,1.0042,,,,,0.9089,,,,,0.0718,8.5519,,,,,0.9337,,,,,8.5878,,,,
2026-06-22,216678721435.05,1.0156,,,,,0.9193,,,,,0.0710,8.6497,,,,,0.9444,,,,,8.6860,,,,
2026-06-18,211319177088.6,0.9905,,,,,0.8966,,,,,0.0728,8.4357,,,,,0.9210,,,,,8.4712,,,,
2026-06-17,214994293211.88,1.0078,,,,,0.9122,,,,,0.0716,8.5824,,,,,0.9370,,,,,8.6185,,,,
2026-06-16,218056889981.28,1.0221,,,,,0.9252,,,,,0.0706,8.7047,,,,,0.9504,,,,,8.7413,,,,
2026-06-15,221885135943.03,1.0401,,,,,0.9414,,,,,0.0694,8.8575,,,,,0.9670,,,,,8.8947,,,,
2026-06-12,223110174650.79,1.0458,,,,,0.9466,,,,,0.0690,8.9064,,,,,0.9724,,,,,8.9438,,,,
2026-06-11,217903760142.81,1.0214,,,,,0.9245,,,,,0.0706,8.6986,,,,,0.9497,,,,,8.7351,,,,
2026-06-10,220660097235.27,1.0343,,,,,0.9362,,,,,0.0698,8.8086,,,,,0.9617,,,,,8.8456,,,,
2026-06-09,226785290774.07,1.0630,,,,,0.9622,,,,,0.0679,9.0531,,,,,0.9884,,,,,9.0912,,,,
