date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,11124842135,-0.2614,15734198166,1.4407
2025-12-31,45545770431,-0.3429,20865354741,1.2929
2025-09-30,39981831734,-0.2266,30582585332,1.3447
2025-06-30,25776976630,0.1378,48854721005,1.2858
2025-03-31,15062211718,0.6949,49129084274,1.239
2024-12-31,69312919440,2.0691,43686946687,1.2512
2024-09-30,51693571342,1.5191,33479076178,1.1757
2024-06-30,22638495726,0.7071,12741181787,1.1435
2024-03-31,8864882204,0.4407,10999713499,0.921
2023-12-31,22612054841,-0.8851,7666464951,0.7963
2023-09-30,20523635706,-0.8767,34442155116,1.2088
2023-06-30,13261606271,-0.8822,81950253526,1.3121
2023-03-31,6152974970,-0.9016,126874360164,1.3078
2022-12-31,196798805100,0.1508,187364794746,1.4984
2022-09-30,166435190956,0.4603,217396113507,1.584
2022-06-30,112538743171,0.7615,211495361153,1.5951
2022-03-31,62528804530,1.3178,197900417519,1.741
2021-12-31,170948374302,2.7963,161807490905,1.6461
2021-09-30,113931452535,4.0116,127907265904,1.59
2021-06-30,63887646488,4.5857,92086277533,1.8012
2021-03-31,26978167591,16.5859,64160265341,2.3252
2020-12-31,45030555340,1.1238,38564415313,3.4146
2020-09-30,22733572604,0.5154,22967841737,2.3415
2020-06-30,11437691105,0.2082,15241540226,2.2898
2020-03-31,1534076759,-0.6251,8516694959,1.8772
2019-12-31,21202371528,1.6077,10325611976,2.0486
2019-09-30,15002048740,2.3531,3973276866,4.2204
2019-06-30,9466838761,19.3037,-1021880378,3.8712
2019-03-31,4092407568,8.7333,-6269663185,3.5198
2018-12-31,8130775622,0.1465,-11530052766,2.6867
2018-09-30,4474089680,-0.1404,-10658424316,2.6575
2018-06-30,466261050,-0.7383,-7448498788,2.6275
2018-03-31,-529194191,0.1781,-5079157760,1.4868
2017-12-31,7092039384,3.6673,-3981583384,1.4681
2017-09-30,5204730439,11.7802,-2260197515,1.7988
2017-06-30,1781780356,21.0536,-4629725089,2.9728
2017-03-31,-643866567,-0.2434,-2908144197,-0.3418
2016-12-31,1519532178,-0.7851,-3518348337,-0.167
2016-09-30,-582253021,-1.0966,-5150841857,-0.0527
