date,metric,value
2026-03-31,长期负债合计,3478720920
2026-03-31,负债合计,18466693219
2026-03-31,总资产收益率(ROA),0.0697
2026-03-31,净利润率,0.123
2026-03-31,净资产收益率(ROE),0.1078
2026-03-31,营业收入,8129836962
2026-03-31,有息负债率,0.0979
2026-03-31,货币资金,46498246952.52
2026-03-31,流动资产合计,0
2026-03-31,自由现金流量,4245434057
2026-03-31,速动比率,1.5374
2026-03-31,经营活动产生的现金流量净额,1056054994
2026-03-31,流动负债合计,1121837428
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.3821
2026-03-31,资产负债率,0.3176
2026-03-31,资产合计,58142350572
2026-03-31,归属于母公司普通股股东的净利润,1075858090
2026-03-31,毛利率(GM),0.5509
2026-03-31,所有者权益合计,39675657353
2026-03-31,流动比率,2.031
2026-03-31,资本回报率(ROIC),0.0974
2026-03-31,基本每股收益,0.65
2026-03-31,应收账款,8209047454
