date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,39991155127.74,1.2163,,,,,1.7962,,,,,2.6308,,,,,13.4919,,,,,0.0433,12.3935,,,,
2026-07-02,39774806806.2,1.2097,,,,,1.7865,,,,,2.6166,,,,,13.4189,,,,,0.0435,12.3264,,,,
2026-07-01,38659780841.34,1.1758,,,,,1.7364,,,,,2.5432,,,,,13.0427,,,,,0.0448,11.9809,,,,
2026-06-30,37428259626.42,1.1384,,,,,1.6811,,,,,2.4622,,,,,12.6272,,,,,0.0462,11.5992,,,,
2026-06-29,38693065198.5,1.1768,,,,,1.7379,,,,,2.5454,,,,,13.0539,,,,,0.0447,11.9912,,,,
2026-06-26,36879067733.28,1.1217,,,,,1.6565,,,,,2.4261,,,,,12.4420,,,,,0.0469,11.4290,,,,
2026-06-25,37894240626.66,1.1525,,,,,1.7021,,,,,2.4929,,,,,12.7844,,,,,0.0457,11.7437,,,,
2026-06-24,38859486984.3,1.1819,,,,,1.7454,,,,,2.5564,,,,,13.1101,,,,,0.0445,12.0428,,,,
2026-06-23,39658311556.14,1.2062,,,,,1.7813,,,,,2.6089,,,,,13.3796,,,,,0.0436,12.2903,,,,
2026-06-22,39109119663.0,1.1895,,,,,1.7566,,,,,2.5728,,,,,13.1943,,,,,0.0443,12.1201,,,,
2026-06-18,39075835305.84,1.1885,,,,,1.7551,,,,,2.5706,,,,,13.1831,,,,,0.0443,12.1098,,,,
2026-06-17,39591742841.82,1.2042,,,,,1.7783,,,,,2.6045,,,,,13.3571,,,,,0.0437,12.2697,,,,
2026-06-16,40357283056.5,1.2275,,,,,1.8127,,,,,2.6549,,,,,13.6154,,,,,0.0429,12.5070,,,,
2026-06-15,40856548413.9,1.2426,,,,,1.8351,,,,,2.6877,,,,,13.7838,,,,,0.0424,12.6617,,,,
2026-06-12,41355813771.3,1.2578,,,,,1.8575,,,,,2.7206,,,,,13.9523,,,,,0.0419,12.8164,,,,
2026-06-11,41106181092.6,1.2502,,,,,1.8463,,,,,2.7042,,,,,13.8681,,,,,0.0421,12.7390,,,,
2026-06-10,40740053163.84,1.2391,,,,,1.8299,,,,,2.6801,,,,,13.7445,,,,,0.0425,12.6256,,,,
2026-06-09,40357283056.5,1.2275,,,,,1.8127,,,,,2.6549,,,,,13.6154,,,,,0.0429,12.5070,,,,
2026-06-08,40057723842.06,1.2183,,,,,1.7992,,,,,2.6352,,,,,13.5143,,,,,0.0432,12.4141,,,,
