date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,4245434057,1.3821,1056054994,0.0778
2025-12-31,4249667828,1.3234,5513082840,0.2523
2025-09-30,3135870851,1.2013,2925359804,-0.087
2025-06-30,4013954333,1.4358,2860194941,0.2103
2025-03-31,3773604005,1.257,979855112,0.2457
2024-12-31,3617298434,1.1653,4402199387,0.0502
2024-09-30,3585828598,1.1673,3204267651,0.0505
2024-06-30,4019167265,1.296,2363114807,0.3336
2024-03-31,3923852614,1.3768,786578192,1.6118
2023-12-31,3360962593,1.3209,4191742950,0.3943
2023-09-30,3085811607,1.2566,3050175057,0.5116
2023-06-30,1857635206,0.9251,1771924806,-0.0687
2023-03-31,1848136124,0.9887,301166852,-0.3299
2022-12-31,2056591279,1.204,3006375016,0.5952
2022-09-30,1576711455,1.0557,2017864833,0.3868
2022-06-30,1908495345,1.2637,1902704679,0.8062
2022-03-31,1256392337,0.9001,459140530,0.6473
2021-12-31,1004272852,0.8989,1870515968,-0.1589
2021-09-30,1313597712,1.1893,1465722019,-0.0517
2021-06-30,1495207014,1.1508,1054532656,-0.0096
2021-03-31,1118877603,1.0754,278730291,-0.568
2020-12-31,1609221707,1.3749,2223984706,0.1408
2020-09-30,1379692876,1.1527,1545410365,0.0175
2020-06-30,1233544153,1.2517,1067408398,-0.0999
2020-03-31,1766929502,1.515,644762088,0.945
2019-12-31,1437156162,0.9218,1971829766,0.0317
2019-09-30,1446696674,0.8209,1518904571,-0.0033
2019-06-30,1519271901,0.8525,1185931159,0.0927
2019-03-31,1400014258,0.9077,331499982,0.4199
2018-12-31,1325886277,1.2959,1911246818,0.1955
2018-09-30,1334980816,1.2753,1523986905,0.2917
2018-06-30,1372706784,1.3117,1083034823,0.3917
2018-03-31,1274486683,1.2022,233463249,0.729
2017-12-31,1206777359,1.1763,1560392824,0.1209
2017-09-30,1245315573,1.2133,1179857516,0.1857
2017-06-30,1123056079,1.1107,778200196,0.0943
2017-03-31,1019905247,1.0608,135026124,-0.2521
2016-12-31,1043847437,1.1527,1392140677,0.105
2016-09-30,1006694643,1.0282,995089469,0.0817
