date,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),净利润率,总资产收益率(ROA)
2026-03-31,0.0974,0.1078,0.5509,0.123,0.0697
2025-12-31,0.1195,0.1307,0.5403,0.1318,0.0843
2025-09-30,0.0982,0.1082,0.5254,0.1149,0.0705
2025-06-30,0.0967,0.1082,0.5189,0.1205,0.0697
2025-03-31,0.1085,0.1197,0.518,0.1345,0.0738
2024-12-31,0.1432,0.1526,0.5186,0.1368,0.0942
2024-09-30,0.1378,0.1498,0.5386,0.1439,0.0937
2024-06-30,0.1381,0.1527,0.5394,0.1436,0.0928
2024-03-31,0.1296,0.139,0.5309,0.1323,0.0859
2023-12-31,0.1439,0.1519,0.5324,0.1283,0.0943
2023-09-30,0.1483,0.1587,0.5196,0.1308,0.1004
2023-06-30,0.1459,0.1582,0.5266,0.1362,0.0969
2023-03-31,0.1392,0.1451,0.5382,0.1424,0.0929
2022-12-31,0.149,0.1502,0.5402,0.1381,0.0971
2022-09-30,0.1397,0.1422,0.5593,0.1405,0.0958
2022-06-30,0.136,0.1374,0.5691,0.1348,0.0897
2022-03-31,0.145,0.1455,0.5852,0.1476,0.0982
2021-12-31,0.1394,0.1398,0.5972,0.1358,0.0898
2021-09-30,0.1216,0.1226,0.6027,0.1164,0.0836
2021-06-30,0.1336,0.1347,0.6135,0.1235,0.0898
2021-03-31,0.1218,0.1226,0.6206,0.1185,0.0815
2020-12-31,0.1201,0.1201,0.6246,0.1186,0.0768
2020-09-30,0.1289,0.1296,0.6485,0.126,0.0893
2020-06-30,0.1132,0.1138,0.6571,0.1108,0.0767
2020-03-31,0.1168,0.1173,0.6672,0.1051,0.0793
2019-12-31,0.1777,0.1779,0.6715,0.1455,0.1122
2019-09-30,0.1986,0.1971,0.6756,0.1639,0.1327
2019-06-30,,0.2051,0.6824,0.1673,0.136
2019-03-31,,0.1935,0.679,0.1636,0.1284
2018-12-31,0.137,0.1385,0.6902,0.1098,0.0862
2018-09-30,,0.145,0.6832,0.1142,0.0938
2018-06-30,,0.142,0.6706,0.1129,0.0929
2018-03-31,,0.1401,0.6614,0.1146,0.0904
2017-12-31,,0.1408,0.6486,0.1193,0.0892
2017-09-30,,0.1431,0.6302,0.1262,0.0879
2017-06-30,,0.1488,0.6256,0.1355,0.0983
2017-03-31,,0.1484,0.625,0.1364,0.0977
2016-12-31,,0.1473,0.6257,0.1345,0.0945
2016-09-30,,0.1639,0.6222,0.1518,0.1009
