date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,39991155127.74,1.2163,,,,,0.0433,2.6308,,,,,13.4919,,,,,1.7962,,,,,12.3935,,,,
2026-07-02,39774806806.2,1.2097,,,,,0.0435,2.6166,,,,,13.4189,,,,,1.7865,,,,,12.3264,,,,
2026-07-01,38659780841.34,1.1758,,,,,0.0448,2.5432,,,,,13.0427,,,,,1.7364,,,,,11.9809,,,,
2026-06-30,37428259626.42,1.1384,,,,,0.0462,2.4622,,,,,12.6272,,,,,1.6811,,,,,11.5992,,,,
2026-06-29,38693065198.5,1.1768,,,,,0.0447,2.5454,,,,,13.0539,,,,,1.7379,,,,,11.9912,,,,
2026-06-26,36879067733.28,1.1217,,,,,0.0469,2.4261,,,,,12.4420,,,,,1.6565,,,,,11.4290,,,,
2026-06-25,37894240626.66,1.1525,,,,,0.0457,2.4929,,,,,12.7844,,,,,1.7021,,,,,11.7437,,,,
2026-06-24,38859486984.3,1.1819,,,,,0.0445,2.5564,,,,,13.1101,,,,,1.7454,,,,,12.0428,,,,
2026-06-23,39658311556.14,1.2062,,,,,0.0436,2.6089,,,,,13.3796,,,,,1.7813,,,,,12.2903,,,,
2026-06-22,39109119663.0,1.1895,,,,,0.0443,2.5728,,,,,13.1943,,,,,1.7566,,,,,12.1201,,,,
2026-06-18,39075835305.84,1.1885,,,,,0.0443,2.5706,,,,,13.1831,,,,,1.7551,,,,,12.1098,,,,
2026-06-17,39591742841.82,1.2042,,,,,0.0437,2.6045,,,,,13.3571,,,,,1.7783,,,,,12.2697,,,,
2026-06-16,40357283056.5,1.2275,,,,,0.0429,2.6549,,,,,13.6154,,,,,1.8127,,,,,12.5070,,,,
2026-06-15,40856548413.9,1.2426,,,,,0.0424,2.6877,,,,,13.7838,,,,,1.8351,,,,,12.6617,,,,
2026-06-12,41355813771.3,1.2578,,,,,0.0419,2.7206,,,,,13.9523,,,,,1.8575,,,,,12.8164,,,,
2026-06-11,41106181092.6,1.2502,,,,,0.0421,2.7042,,,,,13.8681,,,,,1.8463,,,,,12.7390,,,,
2026-06-10,40740053163.84,1.2391,,,,,0.0425,2.6801,,,,,13.7445,,,,,1.8299,,,,,12.6256,,,,
2026-06-09,40357283056.5,1.2275,,,,,0.0429,2.6549,,,,,13.6154,,,,,1.8127,,,,,12.5070,,,,
2026-06-08,40057723842.06,1.2183,,,,,0.0432,2.6352,,,,,13.5143,,,,,1.7992,,,,,12.4141,,,,
2026-06-05,40290714342.18,1.2254,,,,,0.0430,2.6505,,,,,13.5929,,,,,1.8097,,,,,12.4863,,,,
2026-06-04,39824733341.94,1.2113,,,,,0.0435,2.6199,,,,,13.4357,,,,,1.7888,,,,,12.3419,,,,
2026-06-03,40357283056.5,1.2275,,,,,0.0429,2.6549,,,,,13.6154,,,,,1.8127,,,,,12.5070,,,,
2026-06-02,40906474949.64,1.2442,,,,,0.0423,2.6910,,,,,13.8007,,,,,1.8374,,,,,12.6772,,,,
2026-06-01,40806621878.16,1.2411,,,,,0.0424,2.6844,,,,,13.7670,,,,,1.8329,,,,,12.6462,,,,
2026-05-29,40690126628.1,1.2376,,,,,0.0425,2.6768,,,,,13.7277,,,,,1.8276,,,,,12.6101,,,,
2026-05-28,40290714342.18,1.2254,,,,,0.0430,2.4897,,,,,13.5929,,,,,1.7333,,,,,12.4863,,,,
2026-05-27,40823264056.74,1.2416,,,,,0.0424,2.5226,,,,,13.7726,,,,,1.7562,,,,,12.6514,,,,
2026-05-26,40290714342.18,1.2254,,,,,0.0430,2.4897,,,,,13.5929,,,,,1.7333,,,,,12.4863,,,,
2026-05-25,40606915735.2,1.2351,,,,,0.0426,2.5092,,,,,13.6996,,,,,1.7469,,,,,12.5843,,,,
2026-05-22,40673484449.52,1.2371,,,,,0.0426,2.5133,,,,,13.7221,,,,,1.7497,,,,,12.6050,,,,
2026-05-21,41022970199.7,1.2477,,,,,0.0422,2.5349,,,,,13.8400,,,,,1.7648,,,,,12.7133,,,,
2026-05-20,41089538914.02,1.2497,,,,,0.0421,2.5391,,,,,13.8624,,,,,1.7676,,,,,12.7339,,,,
2026-05-19,41505593378.52,1.2624,,,,,0.0417,2.5648,,,,,14.0028,,,,,1.7855,,,,,12.8628,,,,
2026-05-18,40923117128.22,1.2447,,,,,0.0423,2.5288,,,,,13.8063,,,,,1.7605,,,,,12.6823,,,,
2026-05-15,41488951199.94,1.2619,,,,,0.0417,2.5637,,,,,13.9972,,,,,1.7848,,,,,12.8577,,,,
2026-05-14,42121353985.98,1.2811,,,,,0.0411,2.6028,,,,,14.2106,,,,,1.8120,,,,,13.0537,,,,
2026-05-13,42370986664.68,1.2887,,,,,0.0408,2.6182,,,,,14.2948,,,,,1.8227,,,,,13.1310,,,,
2026-05-12,42603977164.8,1.2958,,,,,0.0406,2.6326,,,,,14.3734,,,,,1.8328,,,,,13.2032,,,,
2026-05-11,42870252022.08,1.3039,,,,,0.0404,2.6491,,,,,14.4632,,,,,1.8442,,,,,13.2857,,,,
2026-05-08,42703830236.28,1.2988,,,,,0.0405,2.6388,,,,,14.4071,,,,,1.8371,,,,,13.2342,,,,
2026-05-07,42803683307.76,1.3019,,,,,0.0404,2.6450,,,,,14.4408,,,,,1.8414,,,,,13.2651,,,,
2026-05-06,42870252022.08,1.3039,,,,,0.0404,2.6491,,,,,14.4632,,,,,1.8442,,,,,13.2857,,,,
2026-04-30,43119884700.78,1.3115,,,,,0.0401,2.6645,,,,,14.5474,,,,,1.8550,,,,,13.3631,,,,
2026-04-29,43369517379.48,1.3191,,,,,0.0399,2.6799,,,,,14.6316,,,,,1.8657,,,,,13.4405,,,,
2026-04-28,43436086093.8,1.3211,,,,,0.0398,2.6841,,,,,14.6541,,,,,1.8686,,,,,13.4611,,,,
2026-04-27,43253022129.42,1.3155,,,,,0.0400,2.6727,,,,,14.5923,,,,,1.8607,,,,,13.4044,,,,
2026-04-24,45183514844.7,1.4297,,,,,0.0383,2.9905,,,,,14.4163,,,,,2.0379,,,,,13.2077,,,,
2026-04-23,45399863166.24,1.4366,,,,,0.0381,3.0048,,,,,14.4853,,,,,2.0476,,,,,13.2709,,,,
2026-04-22,45566284952.04,1.4419,,,,,0.0380,3.0158,,,,,14.5384,,,,,2.0552,,,,,13.3196,,,,
2026-04-21,45732706737.84,1.4471,,,,,0.0378,3.0268,,,,,14.5915,,,,,2.0627,,,,,13.3682,,,,
2026-04-20,45832559809.32,1.4503,,,,,0.0378,3.0335,,,,,14.6233,,,,,2.0672,,,,,13.3974,,,,
2026-04-17,45732706737.84,1.4471,,,,,0.0378,3.0268,,,,,14.5915,,,,,2.0627,,,,,13.3682,,,,
2026-04-16,46265256452.4,1.4640,,,,,0.0374,3.0621,,,,,14.7614,,,,,2.0867,,,,,13.5239,,,,
2026-04-15,46681310916.9,1.4771,,,,,0.0371,3.0896,,,,,14.8941,,,,,2.1054,,,,,13.6455,,,,
2026-04-14,45632853666.36,1.4440,,,,,0.0379,3.0202,,,,,14.5596,,,,,2.0582,,,,,13.3390,,,,
2026-04-13,45549642773.46,1.4413,,,,,0.0380,3.0147,,,,,14.5331,,,,,2.0544,,,,,13.3147,,,,
2026-04-10,46265256452.4,1.4640,,,,,0.0374,3.0621,,,,,14.7614,,,,,2.0867,,,,,13.5239,,,,
2026-04-09,46082192488.02,1.4582,,,,,0.0376,3.0500,,,,,14.7030,,,,,2.0784,,,,,13.4704,,,,
2026-04-08,46897659238.44,1.4840,,,,,0.0369,3.1039,,,,,14.9632,,,,,2.1152,,,,,13.7088,,,,
