date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,474235925,0.2954,857593007,1.0574
2025-12-31,2160886171,2.0484,805908731,1.0571
2025-09-30,1560924441,3.9325,663312858,1.0877
2025-06-30,943865350,4.875,383828053,1.0815
2025-03-31,366078368,1.6696,61975244,0.9208
2024-12-31,708863908,0.4652,-13347470,0.9149
2024-09-30,316459187,-0.2581,-148808926,0.6221
2024-06-30,160659163,-0.6253,-324621242,0.4041
2024-03-31,137126387,-0.3847,-192641595,0.9616
2023-12-31,483813049,-0.2305,-152077990,1.7301
2023-09-30,426578985,-0.2876,-235949898,1.7432
2023-06-30,428805841,0.2102,134116345,2.5924
2023-03-31,222854467,-0.0599,115333739,1.9662
2022-12-31,628726702,1.5822,202918696,1.2948
2022-09-30,598794811,1.6944,356068726,0.8213
2022-06-30,354319812,3.1797,272894482,0.6945
2022-03-31,237046946,28.1091,275415317,0.7097
2021-12-31,243488178,-0.5316,102245565,0.4541
2021-09-30,222239854,-0.5269,145521596,1.0822
2021-06-30,84771253,-0.8014,69492654,0.9336
2021-03-31,8143402,-0.9672,163832522,1.5098
2020-12-31,519775864,-0.2122,423387715,2.3458
2020-09-30,469789735,-0.2197,413497555,2.1539
2020-06-30,426858561,0.168,577584521,1.8577
2020-03-31,248400483,0.3158,591217888,1.362
2019-12-31,659777620,-0.4571,506878813,1.0224
2019-09-30,602038140,-0.2668,811726208,1.165
2019-06-30,365471061,-0.254,929715946,1.1712
2019-03-31,188783127,-0.2327,982130435,1.0678
2018-12-31,1215367656,0.537,1044048707,1.0965
2018-09-30,821131994,,,
2018-06-30,489920408,,,
2018-03-31,246034391,,,
2017-12-31,790736252,0.3725,703068958,0.8277
2016-12-31,576125068,,485639916,1.5797
