date,三美股份 - 速动比率,巨化股份 - 速动比率,昊华科技 - 速动比率,氟化工及制冷剂(申万) - 速动比率,流动比率,"""短期借款""","""交易性金融负债""","""应付票据及应付账款""","""预收账款""","""合同负债""","""应付职工薪酬""","""应交税费""","""其他应付款""","""一年内到期的非流动负债""","""其他流动负债""","""其它未展示流动负债""","""长期借款""","""租赁负债""","""递延所得税负债""","""长期递延收益""","""其它未展示非流动负债""",资产负债率,三美股份 - 流动比率,巨化股份 - 流动比率,昊华科技 - 流动比率,氟化工及制冷剂(申万) - 流动比率,三美股份 - 有息负债率,巨化股份 - 有息负债率,昊华科技 - 有息负债率,氟化工及制冷剂(申万) - 有息负债率,三美股份 - 资产负债率,巨化股份 - 资产负债率,昊华科技 - 资产负债率,氟化工及制冷剂(申万) - 资产负债率,三美股份 - 清算价值比率,巨化股份 - 清算价值比率,昊华科技 - 清算价值比率,氟化工及制冷剂(申万) - 清算价值比率,有息负债率,速动比率,三美股份 - 货币资金占流动负债比率,巨化股份 - 货币资金占流动负债比率,昊华科技 - 货币资金占流动负债比率,氟化工及制冷剂(申万) - 货币资金占流动负债比率
2025-09-30,4.2907,1.1713,1.1479,1.1069,4.8291,0,0,409153200,1223330,97162187,33204973,211067933,330773519,1003868,8329989,0,509650000,704221,0,28702047,0,0.1743,4.8291,1.6134,1.4787,1.4198,0.0547,0.1395,0.0955,0.2007,0.1743,0.3297,0.3969,0.4081,5.3118,2.8770,2.3700,2.2913,0.0547,4.2907,2.5965,0.6007,0.4355,0.5761
2025-06-30,5.2667,1.2061,1.0915,1.1553,6.0641,0,0,386730834,1921281,76848395,28348559,172840785,128519071,918252,7817393,0,389466825,821004,0,29519571,0,0.1434,6.0641,1.6913,1.4039,1.4600,0.0458,0.1475,0.0886,0.2217,0.1434,0.3356,0.3988,0.4225,6.4040,2.8209,2.3515,2.2099,0.0458,5.2667,3.8752,0.6419,0.3820,0.6719
2025-03-31,5.6966,1.2192,1.0599,1.1134,6.5949,0,0,344309168,2367857,103140887,23726807,114486988,106704022,243225,9619158,0,204610000,57644,0,29327481,0,0.1184,6.5949,1.7823,1.3523,1.4210,0.0259,0.1536,0.1201,0.2259,0.1184,0.3285,0.4177,0.4204,7.7115,2.8878,2.2477,2.2197,0.0259,5.6966,4.1662,0.6223,0.5017,0.6392
2024-12-31,7.0938,1.0932,1.1476,1.0452,8.2435,0,0,246532222,321969,53372411,35096776,64421648,91554650,330555,5943418,0,65340000,59775,0,13418996,0,0.0807,8.2435,1.5955,1.3843,1.3247,0.0092,0.1437,0.1195,0.2190,0.0807,0.3125,0.4172,0.4240,11.3184,3.0231,2.2496,2.1947,0.0092,7.0938,5.3431,0.5269,0.5866,0.5714
2024-09-30,5.9330,0.8754,0.7318,1.0841,6.7685,0,3968,363961790,1168232,62025038,30255780,51503106,120403600,587827,3809922,0,0,0,0,14539733,0,0.0926,6.7685,1.3745,1.0153,1.4060,0.0001,0.1552,0.1711,0.2188,0.0926,0.3387,0.5056,0.4207,9.9463,2.7930,1.8429,2.2151,0.0001,5.933,3.9087,0.2351,0.2014,0.5608
2024-06-30,5.7352,0.9355,1.4126,1.0130,6.5169,0,0,425307053,1762926,52067651,24863073,55289877,91659428,728068,4676314,0,0,0,0,21669788,0,0.0991,6.5169,1.3957,1.8443,1.3405,0.0001,0.1580,0.1823,0.2323,0.0991,0.3393,0.4483,0.4410,9.4108,2.7828,2.0706,2.1120,0.0001,5.7352,3.9996,0.3172,0.4569,0.5152
2024-03-31,5.2868,0.7758,1.4556,1.0378,5.9421,0,0,414721130,2721706,68729114,19476190,35490288,175568829,780413,6946154,0,0,36686,0,15679084,0,0.1086,5.9421,1.2953,1.8570,1.3820,0.0001,0.1462,0.1786,0.2178,0.1086,0.3394,0.4442,0.4345,8.5632,2.7720,2.0916,2.1411,0.0001,5.2868,4.3650,0.3326,0.5432,0.5828
2023-12-31,4.5436,1.0040,1.4415,1.0776,5.2223,0,0,607803202,252070,49763265,32545009,10753648,113226852,736321,5066448,0,0,217241,0,16104847,0,0.1243,5.2223,1.4217,1.7622,1.3676,0.0001,0.1189,0.1665,0.1919,0.1243,0.2997,0.4571,0.4314,7.4640,3.2144,2.0317,2.1744,0.0001,4.5436,3.8864,0.4025,0.6305,0.6156
2023-09-30,5.8061,0.9480,1.5626,1.1407,6.4154,0,10817,471169900,893627,64031224,25805795,20844319,115291956,683369,2346468,0,0,468951,0,16940555,0,0.1094,6.4154,1.3470,1.9655,1.4741,0.0002,0.0903,0.1627,0.1903,0.1094,0.3145,0.4439,0.4423,8.5198,3.0539,2.0923,2.1240,0.0002,5.8061,4.8874,0.3461,0.6181,0.6562
2023-06-30,5.5985,1.0247,1.4834,1.0259,6.1958,0,0,295289525,1485774,130712664,22811740,24996357,263435434,678440,2325369,0,0,682104,0,17782980,0,0.1171,6.1958,1.3680,1.8555,1.3551,0.0002,0.0885,0.1517,0.1993,0.1171,0.3288,0.4515,0.4619,7.9820,2.9253,2.0554,2.0400,0.0002,5.5985,4.8395,0.3587,0.6481,0.5648
