date,三美股份 - 自由现金流量,巨化股份 - 自由现金流量,昊华科技 - 自由现金流量,三美股份 - 累积同比,巨化股份 - 累积同比,昊华科技 - 累积同比,三美股份 - 经营活动产生的现金流量净额,巨化股份 - 经营活动产生的现金流量净额,昊华科技 - 经营活动产生的现金流量净额,三美股份 - 营业利润,巨化股份 - 营业利润,昊华科技 - 营业利润,归属于母公司普通股股东的净利润,累积同比,三美股份 - 归属于母公司普通股股东的扣除非经常性损益的净利润,巨化股份 - 归属于母公司普通股股东的扣除非经常性损益的净利润,昊华科技 - 归属于母公司普通股股东的扣除非经常性损益的净利润,三美股份 - 核心利润,巨化股份 - 核心利润,昊华科技 - 核心利润,三美股份 - 营业收入,巨化股份 - 营业收入,昊华科技 - 营业收入,营业收入,基本每股收益,三美股份 - 归属于母公司普通股股东的净利润,巨化股份 - 归属于母公司普通股股东的净利润,昊华科技 - 归属于母公司普通股股东的净利润,三美股份 - 基本每股收益,巨化股份 - 基本每股收益,昊华科技 - 基本每股收益,三美股份 - 净利润,巨化股份 - 净利润,昊华科技 - 净利润
2019-12-31,506878813,145855551,595543075,-0.5145,-0.9321,1.9409,659777620,1882819885,847358170,822406201,1066430906,511809460,645907364,-0.4169,587358277,573984326,495373833,750567153,742567202,269086504,3934602748,15595234760,4700686141,3934602748,1.53,645907364,895359996,525063379,1.5300,0.3300,0.6162,645297436,918057333,536844340
2019-09-30,473548586,318004418,161720352,-0.3291,-0.8233,3.2987,602038140,1261203270,363526281,788609613,1076381285,326186913,613604823,-0.2914,575576237,676480712,316460647,696037213,778298891,238102626,3126302387,11310943028,3330448169,3126302387,1.47,613604823,890771275,329978664,1.4700,0.3240,0.3942,613382420,910999805,342335352
2019-06-30,298211379,155058536,37890353,-0.2771,-0.8552,6.9018,365471061,764432948,157748927,548887591,868834868,256048806,429992698,-0.2907,403044014,531911680,247946820,511596059,638629172,190814506,2187522702,7579706708,2279044338,2187522702,1.06,429992698,705424132,257279004,1.0600,0.2570,0.3073,429829782,722141099,266190138
2019-03-31,149365610,308947978,-30346630,-0.2931,-0.4557,0.5511,188783127,549093136,30799414,272797867,455536580,90129914,217184538,-0.0976,200781464,218689731,75961607,269065339,314856588,75915443,1088077606,3770025029,1042284598,1088077606,0.58,217184538,370086312,93246367,0.5800,0.1350,0.1110,217053272,375246231,99116218
2018-12-31,1044048707,2147562919,192024794,0.4850,13.7054,-0.4177,1215367656,3189976356,536113616,1402621760,2664049486,503147534,1107714334,0.1609,1082870980,1983254379,76746124,1341278500,2387091309,271749396,4454332448,15656274278,4181828889,4454332448,2.94,1107714334,2152555375,524821836,2.9400,0.7800,0.6300,1108364462,2182941371,534850829
2018-09-30,705871085,1802258617,-12320330,,3.4396,0.4009,821131994,2276963845,-6079292,1130535562,2052897071,42196414,865989139,,841243431,1494671366,36381345,1076330347,1866682359,34689844,3375914909,11974612057,375282767,3375914909,2.3,865989139,1653050731,39779687,2.3000,0.6020,0.1300,866594531,1667912210,39779687
2018-06-30,412544140,1072428424,-24125853,,816.2415,0.1324,489920408,1369412777,-19049355,783222016,1320580609,27642686,606229252,,585281520,955749408,24363925,774018038,1194660751,23084110,2298892812,8079624769,238316103,2298892812,1.61,606229252,1057455164,27726427,1.6100,0.3850,0.0900,606719019,1065647597,27726427
2018-03-31,211283882,566840328,-35540396,,6.1093,-0.8640,246034391,696607154,-34592291,308250872,534997130,5914271,240674360,,239344226,423506461,4804166,322368197,536720243,5949364,944439451,3991085429,95590044,944439451,0.64,240674360,427159664,5127733,0.6400,0.2020,0.0170,240785804,430225226,5127733
2017-12-31,703068958,161392503,-1863464,0.4477,4.9469,-1.0536,790736252,948394908,1054160,1235157891,1238271238,64203902,954166967,1.6193,946306883,888220497,51777783,1218468188,1443002287,61688604,3899482001,13768037781,526857528,3899482001,2.54,954166967,935460646,58881768,2.5400,0.4400,0.2000,955368153,944202283,58881768
2016-12-31,485639916,-40890802,34770015,NaN,-1.5035,29.9516,576125068,921678954,37973126,514892192,174784514,27904698,364280960,,449466034,54329567,24404561,573898953,213031337,35770852,2700264815,10100939288,391544816,2700264815,0.97,364280960,151230006,27111198,0.9700,0.0800,0.0900,364706310,154097232,25846783
