date,毛利率(GM),三美股份 - 归属于母公司普通股股东的加权ROE,巨化股份 - 归属于母公司普通股股东的加权ROE,昊华科技 - 归属于母公司普通股股东的加权ROE,氟化工及制冷剂(申万) - 归属于母公司普通股股东的加权ROE,净资产收益率(ROE),三美股份 - 净利润率,巨化股份 - 净利润率,昊华科技 - 净利润率,氟化工及制冷剂(申万) - 净利润率,三美股份 - 净资产收益率(ROE),巨化股份 - 净资产收益率(ROE),昊华科技 - 净资产收益率(ROE),氟化工及制冷剂(申万) - 净资产收益率(ROE),三美股份 - 资本回报率(ROIC),巨化股份 - 资本回报率(ROIC),昊华科技 - 资本回报率(ROIC),氟化工及制冷剂(申万) - 资本回报率(ROIC),三美股份 - 资本收益率(ROC),巨化股份 - 资本收益率(ROC),昊华科技 - 资本收益率(ROC),氟化工及制冷剂(申万) - 资本收益率(ROC),三美股份 - 毛利率(GM),巨化股份 - 毛利率(GM),昊华科技 - 毛利率(GM),氟化工及制冷剂(申万) - 毛利率(GM),总资产收益率(ROA),三美股份 - 总资产收益率(ROA),巨化股份 - 总资产收益率(ROA),昊华科技 - 总资产收益率(ROA),氟化工及制冷剂(申万) - 总资产收益率(ROA),三美股份 - 杠杆倍数,巨化股份 - 杠杆倍数,昊华科技 - 杠杆倍数,氟化工及制冷剂(申万) - 杠杆倍数,净利润率,三美股份 - 总资产周转率,巨化股份 - 总资产周转率,昊华科技 - 总资产周转率,氟化工及制冷剂(申万) - 总资产周转率,三美股份 - 归属于母公司普通股股东的扣非加权ROE,巨化股份 - 归属于母公司普通股股东的扣非加权ROE,昊华科技 - 归属于母公司普通股股东的扣非加权ROE,氟化工及制冷剂(申万) - 归属于母公司普通股股东的扣非加权ROE,三美股份 - 扣非净利润占比,巨化股份 - 扣非净利润占比,昊华科技 - 扣非净利润占比,氟化工及制冷剂(申万) - 扣非净利润占比,三美股份 - 归属于母公司普通股股东的ROE,巨化股份 - 归属于母公司普通股股东的ROE,昊华科技 - 归属于母公司普通股股东的ROE,氟化工及制冷剂(申万) - 归属于母公司普通股股东的ROE,三美股份 - 归属于母公司普通股股东的扣非ROE,巨化股份 - 归属于母公司普通股股东的扣非ROE,昊华科技 - 归属于母公司普通股股东的扣非ROE,氟化工及制冷剂(申万) - 归属于母公司普通股股东的扣非ROE
2025-09-30,0.4772,0.2233,0.1687,0.0701,NaN,0.2552,0.3567,0.1777,0.1109,0.1408,0.2212,0.1716,0.0755,0.1091,0.2126,0.1445,0.0662,0.0854,1.1614,0.3098,0.1483,0.2227,0.5073,0.2886,0.2518,0.2630,0.2196,0.1916,0.1154,0.0448,0.0636,1.2111,1.4918,1.6580,1.6895,0.3308,0.5370,0.6498,0.4036,0.4518,NaN,NaN,NaN,NaN,0.9931,0.9849,0.9860,0.9574,0.2264,0.1697,0.0701,0.1141,0.2248,0.1671,0.0692,0.1093
2025-06-30,0.4255,0.1440,0.1086,0.0371,,0.2048,0.3496,0.1707,0.0935,0.1374,0.1425,0.1115,0.0408,0.0709,0.1380,0.0936,0.0361,0.0548,0.6618,0.1936,0.0814,0.1433,0.4950,0.2872,0.2353,0.2631,0.1794,0.1261,0.0747,0.0242,0.0408,1.1674,1.5051,1.6635,1.7317,0.2858,0.3608,0.4374,0.2586,0.2971,0.1428,0.1076,0.0356,,0.9915,0.9879,0.9607,0.9584,0.1459,0.1106,0.0373,0.0746,0.1447,0.1093,0.0359,0.0715
2025-03-31,0.3613,0.0603,0.0444,0.0107,,0.1559,0.3284,0.1549,0.0677,0.1256,0.0587,0.0456,0.0121,0.0291,0.0576,0.0381,0.0108,0.0228,0.2718,0.0730,0.0283,0.0585,0.4670,0.2842,0.2269,0.2577,0.1382,0.0528,0.0307,0.0070,0.0168,1.1343,1.4891,1.7173,1.7255,0.2373,0.1609,0.1984,0.1040,0.1335,,,,,0.9882,0.9754,0.9272,0.9249,0.0602,0.0444,0.0107,0.0303,0.0595,0.0433,0.0099,0.0281
2024-12-31,0.2979,0.1261,0.1159,0.0866,,0.1244,0.1918,0.0890,0.0791,0.0462,0.1244,0.1224,0.0741,0.0471,0.1238,0.1077,0.0642,0.0419,0.5375,0.1968,0.1482,0.1083,0.2979,0.1750,0.2173,0.1647,0.1117,0.1117,0.0849,0.0398,0.0273,1.0878,1.4546,1.7159,1.7360,0.1918,0.5825,0.9537,0.5031,0.5893,0.1213,0.1126,0.0622,,0.9614,0.9713,0.6128,0.9028,0.1262,0.1157,0.0728,0.0520,0.1214,0.1124,0.0446,0.0470
2024-09-30,0.261,0.0919,0.0757,0.0702,,0.0985,0.1840,0.0776,0.0873,0.0579,0.0913,0.0800,0.0709,0.0444,0.0914,0.0701,0.0573,0.0381,0.3936,0.1193,0.1256,0.0938,0.2828,0.1695,0.2273,0.1632,0.0886,0.0815,0.0544,0.0346,0.0257,1.1021,1.5121,2.0228,1.7261,0.1596,0.4429,0.7001,0.3967,0.4446,,,,,0.9780,0.9417,0.6796,0.8968,0.0926,0.0759,0.0701,0.0460,0.0905,0.0715,0.0476,0.0412
2024-06-30,0.2156,0.0632,0.0505,0.0427,,0.0897,0.1881,0.0765,0.1072,0.0632,0.0636,0.0539,0.0355,0.0331,0.0636,0.0471,0.0283,0.0277,0.2557,0.0821,0.0596,0.0662,0.2691,0.1673,0.2745,0.1634,0.08,0.0565,0.0366,0.0181,0.0189,1.1100,1.5135,1.8126,1.7889,0.1467,0.3007,0.4789,0.1687,0.2985,0.0616,0.0481,0.0425,,0.9750,0.9516,0.9962,0.9054,0.0636,0.0510,0.0362,0.0335,0.0620,0.0485,0.0361,0.0303
2024-03-31,0.1668,0.0258,0.0181,0.0159,,0.0701,0.1610,0.0604,0.0850,0.0548,0.0258,0.0194,0.0131,0.0129,0.0258,0.0175,0.0107,0.0113,0.0985,0.0307,0.0223,0.0270,0.2277,0.1475,0.2677,0.1494,0.0632,0.0228,0.0132,0.0067,0.0074,1.1218,1.5138,1.7992,1.7685,0.1178,0.1415,0.2188,0.0786,0.1355,,,,,1.0003,0.9280,0.9923,0.8808,0.0258,0.0191,0.0134,0.0131,0.0258,0.0177,0.0133,0.0115
2023-12-31,0.134,0.0483,0.0599,0.1081,,0.0482,0.0839,0.0469,0.1146,0.0254,0.0482,0.0602,0.1073,0.0284,0.0482,0.0548,0.0870,0.0289,0.1949,0.1118,0.1835,0.0638,0.1340,0.1322,0.2665,0.1377,0.0425,0.0425,0.0421,0.0577,0.0161,1.1420,1.4279,1.8418,1.7588,0.0839,0.5067,0.8978,0.5035,0.6350,0.0361,0.0523,0.0974,,0.7482,0.8718,0.9012,0.6385,0.0482,0.0598,0.1075,0.0290,0.0361,0.0522,0.0969,0.0185
2023-09-30,0.1202,0.0414,0.0481,0.0827,,0.0454,0.0912,0.0473,0.1095,0.0456,0.0412,0.0479,0.0829,0.0390,0.0412,0.0445,0.0678,0.0354,0.1420,0.0951,0.1398,0.0848,0.1242,0.1287,0.2504,0.1470,0.0403,0.0366,0.0331,0.0451,0.0220,1.1228,1.4588,1.7983,1.7930,0.0725,0.4014,0.7004,0.4121,0.4819,,,,,0.7142,0.9226,0.9866,0.8101,0.0412,0.0482,0.0831,0.0393,0.0294,0.0445,0.0820,0.0318
2023-06-30,0.1116,0.0228,0.0314,0.0601,,0.0481,0.0747,0.0487,0.1168,0.0501,0.0227,0.0314,0.0614,0.0283,0.0227,0.0289,0.0504,0.0250,0.1089,0.0681,0.1086,0.0652,0.1219,0.1419,0.2457,0.1559,0.0427,0.0201,0.0215,0.0332,0.0156,1.1327,1.4900,1.8232,1.8583,0.0689,0.2688,0.4408,0.2840,0.3118,0.0221,0.0292,0.0596,,0.9684,0.9316,0.9925,0.8366,0.0227,0.0319,0.0615,0.0291,0.0220,0.0297,0.0611,0.0244
