date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-08,63647304376.5,62.6752,0.9893,32.7277,22.6254,17.8902,0.0348,3.8974,0.0627,9.2544,6.9273,4.7497,1.2926,0.0000,5.9915,4.7194,2.4887
2026-06-05,65229071704.2,64.2328,0.9901,32.6923,22.6115,17.8902,0.0339,3.9943,0.0829,9.2544,6.9237,4.7568,1.3247,0.0004,5.9915,4.7172,2.4900
2026-06-04,64792202632.74,63.8026,0.9901,32.6823,22.6111,17.8902,0.0342,3.9675,0.0755,9.2544,6.9255,4.7610,1.3158,0.0000,5.9915,4.7183,2.4902
2026-06-03,66313712157.48,65.3009,0.9913,32.6746,22.6107,17.8902,0.0334,4.0607,0.0903,9.2544,6.9273,4.7679,1.3467,0.0008,5.9915,4.7194,2.4923
2026-06-02,67323030357.06,66.2948,0.9930,32.6546,22.6062,17.8902,0.0329,4.1225,0.0969,9.2544,6.9273,4.7695,1.3672,0.0021,5.9915,4.7194,2.4939
2026-06-01,68678830923.66,67.6299,0.9955,32.6493,22.6054,17.8902,0.0322,4.2055,0.1184,9.2544,6.9273,4.7697,1.3947,0.0041,5.9915,4.7194,2.5055
2026-05-29,68377541908.86,67.3332,0.9955,32.6201,22.5929,17.8902,0.0324,4.1871,0.1125,9.2544,6.9237,4.7714,1.3886,0.0037,5.9915,4.7172,2.5084
2026-05-28,66072680945.64,65.0635,0.9926,32.6166,22.5848,17.8902,0.0335,4.0459,0.0882,9.2544,6.9255,4.7817,1.3418,0.0004,5.9915,4.7183,2.5127
2026-05-27,68106381795.54,67.0662,0.9955,32.6084,22.5767,17.8902,0.0325,4.1705,0.1064,9.2544,6.9273,4.7910,1.3831,0.0029,5.9915,4.7194,2.5152
2026-05-26,66569807820.06,65.5530,0.9934,32.6079,22.5526,17.8902,0.0333,4.0764,0.0903,9.2544,6.9273,4.8013,1.3519,0.0004,5.9915,4.7194,2.5159
