date,立讯精密 - 核心利润率,电子零部件制造(申万) - 核心利润率,立讯精密 - 资本回报率(ROIC),电子零部件制造(申万) - 资本回报率(ROIC),毛利率(GM),立讯精密 - 研发费用率,电子零部件制造(申万) - 研发费用率,净资产收益率(ROE),立讯精密 - 扣非净利润占比,电子零部件制造(申万) - 扣非净利润占比,立讯精密 - 总资产收益率(ROA),电子零部件制造(申万) - 总资产收益率(ROA),立讯精密 - 毛利率(GM),电子零部件制造(申万) - 毛利率(GM),立讯精密 - 净利润率,电子零部件制造(申万) - 净利润率,立讯精密 - 营业利润率,电子零部件制造(申万) - 营业利润率,总资产收益率(ROA),净利润率,立讯精密 - 财务费用率,电子零部件制造(申万) - 财务费用率,净利润,累积同比,立讯精密 - 销售费用率,电子零部件制造(申万) - 销售费用率,营业利润,归属于母公司普通股股东的净利润,立讯精密 - 管理费用率,电子零部件制造(申万) - 管理费用率,立讯精密 - 净资产收益率(ROE),电子零部件制造(申万) - 净资产收益率(ROE),立讯精密 - 四项费用率,电子零部件制造(申万) - 四项费用率
2025-12-31,,,,,0.1191,,,0.1926,,,,,,,,,,,0.0685,0.0547,,,,,,,,,,,,,,
2025-09-30,0.0415,0.0373,0.0824,0.0556,0.109,0.0370,0.0459,0.1963,0.8284,0.8240,0.0486,0.0323,0.1215,0.1358,0.0576,0.0431,0.0628,0.0481,0.068,0.0561,0.0011,0.0028,12728228876,0.3006,0.0047,0.0088,13866594875,11518291165,0.0292,0.0344,0.1386,0.0751,0.0720,0.0919
2025-06-30,0.0394,0.0299,0.0491,0.0314,0.1046,0.0369,0.0464,0.1956,0.8427,0.8007,0.0312,0.0185,0.1161,0.1292,0.0586,0.0385,0.0657,0.0435,0.0754,0.0556,-0.0013,0.0010,7297694406,0.2666,0.0045,0.0088,8182414568,6644272049,0.0253,0.0340,0.0832,0.0419,0.0655,0.0902
2025-03-31,0.0401,0.0288,0.0233,0.0148,0.1052,0.0347,0.0463,0.1906,0.7916,0.7882,0.0146,0.0087,0.1118,0.1286,0.0547,0.0373,0.0620,0.0422,0.0753,0.0553,-0.0005,0.0008,3377042487,0.3125,0.0047,0.0091,3831498960,3043574685,0.0234,0.0341,0.0390,0.0193,0.0624,0.0903
2024-12-31,0.0369,0.0324,0.1249,0.0629,0.1041,0.0318,0.0440,0.1882,0.8750,0.8210,0.0756,0.0368,0.1041,0.1299,0.0542,0.0353,0.0601,0.0405,0.0756,0.0542,-0.0019,-0.0001,14579043818,0.1908,0.0039,0.0090,16141874913,13365651026,0.0236,0.0341,0.1882,0.0776,0.0575,0.0871
2024-09-30,0.0407,0.0356,0.0870,0.0515,0.1155,0.0395,0.0473,0.1878,0.8945,0.8436,0.0519,0.0303,0.1172,0.1380,0.0552,0.0416,0.0595,0.0451,0.071,0.0543,0.0010,0.0033,9786710614,0.1826,0.0043,0.0095,10540714724,9074954476,0.0243,0.0348,0.1307,0.0639,0.0690,0.0949
2024-06-30,0.0373,0.0315,0.0534,0.0320,0.1203,0.0407,0.0499,0.1933,0.9191,0.8324,0.0334,0.0191,0.1171,0.1409,0.0556,0.0413,0.0595,0.0446,0.0805,0.0559,-0.0012,0.0006,5761486147,0.2191,0.0042,0.0104,6164305056,5396162859,0.0249,0.0373,0.0798,0.0389,0.0687,0.0982
2024-03-31,0.0365,0.0297,0.0244,0.0148,0.1173,0.0364,0.0489,0.1897,0.8835,0.7939,0.0155,0.0089,0.1074,0.1377,0.0491,0.0392,0.0536,0.0431,0.0802,0.0543,0.0019,0.0016,2572966720,0.2252,0.0040,0.0106,2807625713,2471024667,0.0205,0.0366,0.0359,0.0178,0.0629,0.0977
2023-12-31,0.0446,0.0382,0.1383,0.0690,0.1158,0.0353,0.0473,0.1897,0.9300,0.8533,0.0789,0.0406,0.1158,0.1461,0.0528,0.0405,0.0555,0.0442,0.0789,0.0528,0.0021,0.0026,12243213143,0.1671,0.0038,0.0107,12859918345,10952656702,0.0239,0.0378,0.1897,0.0815,0.0651,0.0985
2023-09-30,0.0438,0.0384,0.0916,0.0519,0.1157,0.0394,0.0493,0.1916,0.9537,0.8865,0.0516,0.0307,0.1180,0.1485,0.0531,0.0442,0.0566,0.0482,0.0697,0.0515,0.0012,0.0010,8275257491,0.1514,0.0039,0.0109,8825762845,7374174505,0.0218,0.0375,0.1316,0.0628,0.0663,0.0987
