date,metric,value
2025-12-31,资产负债率,0.6607
2025-12-31,速动比率,0.8562
2025-09-30,立讯精密 - 核心利润率,0.0415
2025-09-30,立讯精密 - 四项费用率,0.0720
2025-12-31,经营活动产生的现金流量净额对净利润的比率,0.9535
2025-09-30,"""货币资金""",56447025669
2025-12-31,基本每股收益,2.29
2025-12-31,净资产收益率(ROE),0.1926
2025-12-31,营业收入,332344443143
2025-12-31,总资产收益率(ROA),0.0685
2025-12-31,净利润率,0.0547
2025-09-30,营业利润,13866594875
2025-09-30,立讯精密 - 管理费用率,0.0292
2025-09-30,立讯精密 - 扣非净利润占比,0.8284
2025-12-31,流动比率,1.1107
2025-09-30,立讯精密 - 财务费用率,0.0011
2025-12-31,有息负债率,0.3151
2025-09-30,立讯精密 - 销售费用率,0.0047
2025-09-30,"""短期借款""",56391904434
2025-09-30,净利润,12728228876
2025-12-31,自由现金流量,-324921015
2025-12-31,归属于母公司普通股股东的净利润,16599769786
2025-09-30,立讯精密 - 清算价值比率,1.4403
2025-12-31,经营活动产生的现金流量净额,17325329534
2025-09-30,立讯精密 - 营业利润率,0.0628
2025-12-31,毛利率(GM),0.1191
2025-09-30,立讯精密 - 研发费用率,0.0370
2025-09-30,立讯精密 - 资本回报率(ROIC),0.0824
