date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比,立讯精密 - 自由现金流量,电子零部件制造(申万) - 自由现金流量
2025-12-31,0.9535,-324921015,17325329534,-0.3611,,
2025-09-30,1.3652,7345564303,3478039289,-0.4789,-9611727325,-20357340013
2025-06-30,1.4308,7509900580,-1657810282,-1.6905,-11097396211,-18880426815
2025-03-31,1.3827,7431779269,-6691655420,-6.9245,-11780914334,-14491995504
2024-12-31,1.86,15265306807,27116908209,-0.0177,15265306807,14533988590
2024-09-30,1.9672,16726394868,6675013256,-0.0757,-1691984821,-7878934154
2024-06-30,1.5959,11120553551,2400779435,-0.7276,-3341989984,-7154466129
2024-03-31,1.8204,12611036390,-844429966,-1.2338,-3947386796,-4767492893
2023-12-31,2.2547,16716475096,27605060411,1.1689,16716475096,28740942670
2023-09-30,1.4672,5255791334,7222033824,1.4388,-1701904593,225464563
2023-06-30,1.7259,7171919141,8814029152,2.6374,2253931561,5273684122
2023-03-31,1.4338,3051634295,3612281990,1.8261,158051910,4270110198
2022-12-31,1.2132,-349751469,12727610319,0.7472,-349751469,-5227697967
2022-09-30,0.2673,-11489212001,2961314331,-0.6107,-7307447396,-17908549851
2022-06-30,0.8749,-7120862470,2423147153,0.1075,-5267739049,-14522935721
2022-03-31,0.9244,-4982733473,1278178911,0.9269,-3243333854,-4656533417
2021-12-31,0.9315,-4939097694,7284766917,0.0599,-4939097694,-28547313807
2021-09-30,1.5051,1421833708,7607608313,1.7764,-757333089,-25482157895
2021-06-30,0.714,-2925803612,2187902392,-0.3124,-3085974273,-16818434256
2021-03-31,0.7944,-2912402240,663348870,-0.4971,-3199698075,-8806608825
2020-12-31,0.9175,-523718895,6873211486,-0.0794,-523718895,-844574818
2020-09-30,0.6085,-3425144881,2740062233,-0.5516,-2702885692,-4390505530
2020-06-30,1.0773,-1278594744,3181944342,-0.2403,-683889556,-3039052458
2020-03-31,1.4072,424772240,1319173418,0.0143,-811014730,773533035
2019-12-31,1.5152,1243837761,7465988174,1.376,1243837761,10423936826
2019-09-30,1.713,1408433076,6110977719,1.9459,1966096950,2821873351
2019-06-30,1.4494,-312398356,4188400473,0.9551,1838542949,1354181521
2019-03-31,0.8254,-2905526414,1300528133,-0.3014,8050791,2159046472
2018-12-31,1.1169,-1971262485,3142307168,17.6114,-1971262485,-12138763367
2018-09-30,0.9267,-1956953578,2074378855,19.5276,-1413598611,-9555483254
2018-06-30,1.0492,-2028831405,2142338228,4.8219,179678820,-8411709010
2018-03-31,0.9923,-2058189577,1861607194,5.7457,942314720,-2491016175
2017-12-31,0.0966,-3350004177,168837371,-0.8711,-3350004177,-10666822907
2017-09-30,0.7349,-2236573880,101053176,-0.5954,-2806649210,-10454804405
2017-06-30,0.8231,-1140188119,367977498,-0.2224,-1141493952,-7053547689
2017-03-31,0.8817,-663527189,275969748,-0.3901,-349499880,-2353261596
2016-12-31,1.1082,-204215837,1309992559,1.6877,-204215837,-764451654
2016-09-30,0.5197,-668575706,249733216,0.6137,-774291167,-3235373719
2016-06-30,0.8036,-208800814,473235531,7.9828,-205521670,-1089594710
2016-03-31,,,,,109811472,-350057875
