date,负债合计,流动负债合计,有息负债率,流动比率,资产负债率,所有者权益合计,速动比率,资产合计,流动资产合计,长期负债合计
2026-03-31,216638429970,1129666584,0.385,1.1499,0.6653,108978157702,0.8853,325616587672,1150777450,22407472676
2025-12-31,202517443007,931291965,0.3151,1.1107,0.6607,104020232780,0.8562,306537675786,1138331189,16441982591
2025-09-30,201219454366,837581682,0.3177,1.1503,0.6701,99042423546,0.8396,300261877912,0,16910745012
2025-06-30,153630727553,527665496,0.3779,1.2223,0.6287,90723857342,0.9514,244354584895,0,17208979419
2025-03-31,149781232472,366064911,0.3597,1.2528,0.6291,88322002008,0.9562,238103234479,0,22540024324
2024-12-31,139140458018,262507707,0.2742,1.2166,0.6216,84687126415,0.9348,223827584433,0,19619741635
2024-09-30,135590512285,365474214,0.2821,1.2221,0.6304,79493062205,0.8339,215083574490,0,17683962048
2024-06-30,108794434518,327572164,0.3257,1.2746,0.5951,74033967111,0.8995,182828401629,0,18680226463
2024-03-31,97362620798,337288422,0.3212,1.3877,0.5712,73096564503,1.001,170459185301,0,18449217606
2023-12-31,91707234769,243566923,0.2401,1.2591,0.5661,70284864826,0.855,161992099596,0,12038771290
2023-09-30,105380774663,160998882,0.2798,1.2964,0.6115,66951399214,0.8519,172332173877,0,14159150026
2023-06-30,83899752904,198596006,0.3133,1.3552,0.5697,63367997981,0.9507,147267750885,0,14706767877
2023-03-31,85522680194,221315224,0.2939,1.3198,0.5839,60934686281,0.8536,146457366475,0,15323817187
2022-12-31,89600449378,501765453,0.1947,1.183,0.6038,58783869697,0.6745,148384319075,0,9205313061
2022-09-30,106211165981,353142736,0.2296,1.1677,0.6634,53899676640,0.6905,160110842620,0,11650217326
2022-06-30,81223222903,155810782,0.2822,1.2072,0.6183,50131899064,0.7468,131355121967,0,12421184632
2022-03-31,77190199205,160733731,0.2787,1.1434,0.615,48320070556,0.7259,125510269761,0,7422482085
2021-12-31,74789454618,268506247,0.1687,1.1154,0.6203,45782643550,0.7867,120572098168,0,5025096193
2021-09-30,63429034266,200924211,0.2355,1.1685,0.5972,42777050927,0.7123,106206085193,0,5007565311
2021-06-30,52433543721,183955808,0.2995,1.2857,0.564,40537839518,0.9025,92971383239,0,5896672368
2021-03-31,51655808347,212861162,0.284,1.3242,0.5736,38395729436,0.885,90051537784,0,6114247214
2020-12-31,39106153690,152512971,0.1689,1.2918,0.5586,30906599862,0.8931,70012753552,0,1495199238
2020-09-30,39160247376,349704823,0.1494,1.1739,0.5954,26616455369,0.6935,65776702745,0,1586930532
2020-06-30,29266564908,319210820,0.1529,1.188,0.5452,24414157514,0.8523,53680722422,0,1327886196
2020-03-31,30092477135,0,0.1829,1.215,0.5647,23192784332,0.8178,53285261466,276961151,1463485022
2019-12-31,27628207377,0,0.1235,1.237,0.5595,21749703295,0.9187,49377910671,0,1562908824
2019-09-30,25987299582,0,0.1468,1.2649,0.5693,19663803411,0.8151,45651102993,0,2048982231
2019-06-30,20696706561,0,0.178,1.2936,0.5348,18003955890,0.9596,38700662451,0,1631650797
2019-03-31,19477114005,0,0.2343,1.3357,0.5296,17302596268,1.0095,36779710273,0,1520618193
2018-12-31,19766604273,0,0.1986,1.3434,0.5424,16674836964,1.0624,36441441236,0,1499295099
2018-09-30,19292608770,0,0.2049,1.2781,0.5553,15450055510,0.9152,34742664279,0,1380809826
2018-06-30,14008818105,0,0.202,1.4243,0.4862,14805628010,1.0806,28814446115,0,1245798125
2018-03-31,12043946266,0,0.2001,1.5313,0.4544,14458355093,1.1705,26502301359,0,867951839
2017-12-31,12960986534,0,0.1955,1.4833,0.4821,13924897759,1.1761,26885884292,0,706017964
2017-09-30,11197735499,0,0.1794,1.455,0.4632,12976456312,1.0339,24174191812,0,439312290
2017-06-30,8897131178,0,0.1503,1.6363,0.4094,12837043041,1.2645,21734174219,0,188234887
2017-03-31,7872677728,0,0.1483,1.7565,0.3872,12459765310,1.4316,20332443038,0,77620971
2016-12-31,8824903214,0,0.1507,1.6898,0.4211,12129903179,1.4354,20954806393,0,84370187
2016-09-30,8479165982,0,0.1837,1.7183,0.4226,11582871522,1.4491,20062037504,0,145758464
2016-06-30,6480339004,0,0.2848,1.1984,0.5105,6213658246,0.9402,12693997250,0,77073490
