date,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PEG
2026-04-17,5.1584,,,,,30.7250,,,,,1.3099,,,,,5.2990,,,,,26.2255,,,,,0.0050,
2026-04-16,5.2188,,,,,31.0849,,,,,1.3252,,,,,5.3611,,,,,26.5328,,,,,0.0050,
2026-04-15,5.0747,,,,,30.2262,,,,,1.2886,,,,,5.2130,,,,,25.7998,,,,,0.0051,
2026-04-14,5.4832,,,,,32.8452,,,,,1.3787,,,,,5.6422,,,,,27.2562,,,,,0.0061,
2026-04-13,5.4331,,,,,32.5453,,,,,1.3661,,,,,5.5907,,,,,27.0073,,,,,0.0061,
2026-04-10,5.3942,,,,,32.3121,,,,,1.3563,,,,,5.5506,,,,,26.8138,,,,,0.0062,
2026-04-09,5.1077,,,,,30.5959,,,,,1.2843,,,,,5.2558,,,,,25.3897,,,,,0.0065,
2026-04-08,4.8462,,,,,29.0298,,,,,1.2186,,,,,4.9868,,,,,24.0900,,,,,0.0069,
2026-04-07,4.4865,,,,,26.8749,,,,,1.1281,,,,,4.6166,,,,,22.3018,,,,,0.0074,
2026-04-03,4.5245,,,,,27.1026,,,,,1.1377,,,,,4.6557,,,,,22.4908,,,,,0.0074,
2026-04-02,4.6256,,,,,27.7080,,,,,1.1631,,,,,4.7597,,,,,22.9931,,,,,0.0072,
2026-04-01,4.6729,,,,,27.9912,,,,,1.1750,,,,,4.8084,,,,,23.2282,,,,,0.0071,
2026-03-31,4.5672,,,,,27.3581,,,,,1.1484,,,,,4.6996,,,,,22.7028,,,,,0.0073,
2026-03-30,4.5208,,,,,27.0804,,,,,1.1367,,,,,4.6519,,,,,22.4723,,,,,0.0074,
2026-03-27,4.6923,,,,,28.1078,,,,,1.1799,,,,,4.8284,,,,,23.3249,,,,,0.0071,
2026-03-26,4.6534,,,,,27.8746,,,,,1.1701,,,,,4.7883,,,,,23.1314,,,,,0.0071,
2026-03-25,4.7257,,,,,28.3078,,,,,1.1882,,,,,4.8627,,,,,23.4909,,,,,0.0070,
2026-03-24,4.2964,,,,,25.7364,,,,,1.0803,,,,,4.4210,,,,,21.3570,,,,,0.0077,
2026-03-23,4.2927,,,,,25.7141,,,,,1.0794,,,,,4.4172,,,,,21.3386,,,,,0.0078,
2026-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9755
2026-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9826
2026-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9926
2026-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0658
2026-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1153
