as_of,ticker,name,source,current_price,target_mid,target_low,target_high,coverage,note
2026-07-15,600660,福耀玻璃,Wind待填,52.90,,,,,"填入 Wind 一致目标价后用于校验内部合理价"
2026-07-15,601628,中国人寿,Wind待填,40.42,,,,,"填入 Wind 一致目标价后用于校验内部合理价"
2026-07-15,601336,新华保险,Wind待填,65.55,,,,,"填入 Wind 一致目标价后用于校验内部合理价"
2026-07-15,002415,海康威视,Wind待填,34.10,,,,,"填入 Wind 一致目标价后用于校验内部合理价"
2026-07-15,601766,中国中车,Wind待填,5.60,,,,,"填入 Wind 一致目标价后用于校验内部合理价"
