folder,company_ticker,company_name,rank,etf_code,etf_name,etf_type
01_新华保险,601336,新华保险,1,512070,非银ETF,sector
01_新华保险,601336,新华保险,2,510230,金融ETF,sector
01_新华保险,601336,新华保险,3,512000,券商ETF,sector
02_三美股份,603379,三美股份,1,159870,化工ETF,sector
02_三美股份,603379,三美股份,2,516020,化工50ETF,sector
02_三美股份,603379,三美股份,3,516220,化工龙头ETF,sector
03_蜜雪集团,02097,蜜雪集团,1,159736,港股消费ETF,hk_sector
03_蜜雪集团,02097,蜜雪集团,2,513180,恒生科技ETF,hk_broad
03_蜜雪集团,02097,蜜雪集团,3,159865,食品ETF,sector
05_中国中车,601766,中国中车,1,159871,中证1000ETF,broad
05_中国中车,601766,中国中车,2,562500,央企共赢ETF,theme
05_中国中车,601766,中国中车,3,159855,央企现代能源ETF,theme
06_贵州茅台,600519,贵州茅台,1,512690,酒ETF,sector
06_贵州茅台,600519,贵州茅台,2,159843,食品饮料ETF,sector
06_贵州茅台,600519,贵州茅台,3,159736,主要消费ETF,sector
07_美的集团,000333,美的集团,1,159996,家电ETF,sector
07_美的集团,000333,美的集团,2,159958,家用电器ETF,sector
07_美的集团,000333,美的集团,3,159928,中证消费ETF,sector
08_立讯精密,002475,立讯精密,1,515260,电子ETF,sector
08_立讯精密,002475,立讯精密,2,512480,半导体ETF,sector
08_立讯精密,002475,立讯精密,3,159995,芯片ETF,sector
09_三花智控,002050,三花智控,1,515000,华夏中证机器人指数ETF,theme
09_三花智控,002050,三花智控,2,159615,广发机器人指数ETF,theme
09_三花智控,002050,三花智控,3,159783,新能源汽车ETF,sector
10_比亚迪,002594,比亚迪,1,515030,新能源车ETF,sector
10_比亚迪,002594,比亚迪,2,159806,新能车ETF,sector
10_比亚迪,002594,比亚迪,3,516390,新能源ETF,sector
11_五粮液,000858,五粮液,1,512690,酒ETF,sector
11_五粮液,000858,五粮液,2,159843,食品饮料ETF,sector
11_五粮液,000858,五粮液,3,159736,主要消费ETF,sector
12_招商银行,600036,招商银行,1,512800,银行ETF华宝,sector
12_招商银行,600036,招商银行,2,512820,银行ETF华夏,sector
12_招商银行,600036,招商银行,3,515020,银行ETF华润,sector
13_伊利股份,600887,伊利股份,1,159865,食品ETF,sector
13_伊利股份,600887,伊利股份,2,515170,食品饮料ETF,sector
13_伊利股份,600887,伊利股份,3,159736,主要消费ETF,sector
14_中际旭创,300308,中际旭创,1,515880,通信ETF,sector
14_中际旭创,300308,中际旭创,2,159611,电信主题ETF,sector
14_中际旭创,300308,中际旭创,3,159766,通信ETF华夏,sector
15_恒瑞医药,600276,恒瑞医药,1,159929,医药ETF,sector
15_恒瑞医药,600276,恒瑞医药,2,159992,创新药ETF,sector
15_恒瑞医药,600276,恒瑞医药,3,512170,医疗ETF,sector
16_宁德时代,300750,宁德时代,1,159755,电池ETF,sector
16_宁德时代,300750,宁德时代,2,515030,新能源车ETF,sector
16_宁德时代,300750,宁德时代,3,516390,新能源ETF,sector
_holding_focus,FOCUS,我的持仓,1,512590,红利低波ETF,holding_focus
_holding_focus,FOCUS,我的持仓,2,510880,红利50ETF,holding_focus
