ticker,name,industry_em,self_market_cap,rank,peer_ticker,peer_name,peer_market_cap,peer_pe,peer_pb,peer_roe,peer_gross_margin,peer_revenue_yoy,peer_ni_yoy,peer_peg,peer_fscore_lite,peer_latest_year,is_above_self,refreshed_at
000333,美的集团,白色家电,616882215146.1,1,000651,格力电器,224336299927.0,9.22,1.48,20.3,29.807323,-9.955852,-9.885068,1.5962700816225253,2,2025,False,2026-07-03 14:58:10.158486
000333,美的集团,白色家电,616882215146.1,2,600690,海尔智家,201900366365.0,10.85,1.61,16.98,26.660786,5.710005,4.387111,1.0909159435028888,3,2025,False,2026-07-03 14:58:10.159460
000858,五 粮 液,白酒Ⅱ,376826505125.4,1,600519,贵州茅台,1734131271030.0,15.91,6.4,32.53,91.179551,-1.200097,-4.532254,1.676593148145752,2,2025,True,2026-07-03 14:58:10.165548
000858,五 粮 液,白酒Ⅱ,376826505125.4,2,600809,山西汾酒,174881871224.0,8.12,3.88,33.48,74.852504,7.517885,0.028138,0.5489210941499282,3,2025,False,2026-07-03 14:58:10.169692
002050,三花智控,家电零部件Ⅱ,197440013830.2,1,002402,和而泰,29274048103.0,43.06,4.24,11.64,20.028134,11.004078,82.11689,2.8943710571580383,4,2025,False,2026-07-03 14:58:10.162665
002050,三花智控,家电零部件Ⅱ,197440013830.2,2,300342,天银机电,29034148569.0,705.59,18.53,0.82,24.758533,-21.630959,-85.851451,39.60173495573526,1,2025,False,2026-07-03 14:58:10.163235
002415,海康威视,计算机设备,,1,002230,科大讯飞,,134.34,5.0726,0.0454,,0.125,,,,2026Q1,,2026-07-04 20:52:23.693926
002415,海康威视,计算机设备,,2,002475,立讯精密,,28.3892,5.5325,0.1902,,0.2024,,,,2026Q1,,2026-07-04 20:52:23.694395
002415,海康威视,计算机设备,,3,002241,歌尔股份,,23.8511,2.5847,0.1077,,0.1444,,,,2026Q1,,2026-07-04 20:52:23.694903
002475,立讯精密,消费电子,488160985888.0,1,601138,工业富联,1247796522818.0,29.44,7.08,21.65,6.976019,48.224376,51.985045,1.4231050786440926,4,2025,True,2026-07-03 14:58:10.160684
002475,立讯精密,消费电子,488160985888.0,2,300433,蓝思科技,135610852950.0,-226.62,2.48,7.82,15.990217,6.456599,10.870231,,4,2025,False,2026-07-03 14:58:10.162036
002594,比亚迪,乘用车,938889005243.7,1,601633,长城汽车,170216079351.0,45.01,1.93,11.76,18.042101,10.20331,-22.073825,7.41176463833085,3,2025,False,2026-07-03 14:58:10.163813
002594,比亚迪,乘用车,938889005243.7,2,600104,上汽集团,158404924005.0,13.09,0.53,3.43,10.091759,4.565698,506.453504,,4,2025,False,2026-07-03 14:58:10.164602
300274,阳光电源,光伏设备,,1,601012,隆基绿能,,-14.7976,2.0239,-0.126,,-0.3158,,,,2026Q1,,2026-07-04 20:52:23.692233
