ticker,name,peer_group,rank,peer_ticker,peer_name,note
002050,三花智控,机器人ETF主题,1,300124,汇川技术,工业自动化/伺服/机器人国产替代代表
002050,三花智控,机器人ETF主题,2,002415,海康威视,机器人ETF成分/AIoT与机器视觉相关
002050,三花智控,机器人ETF主题,3,002475,立讯精密,精密制造与机器人产业链可比代表
