日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-09-11,=14.1700,=14.1700,=14.1700,=14.1700,=113423683692.54,=105625727723.0,=36621468662.48,,=1.7838,,,,
2025-09-10,=14.1500,=14.1500,=14.1500,=14.1500,=113263593807.3,=105476644128.0,=36569779927.6,,=1.7813,,,,
2025-09-09,=14.1700,=14.1700,=14.1700,=14.1700,=113423683692.54,=105625727723.0,=36621468662.48,,=1.7838,,,,
2025-09-08,=14.2300,=14.2300,=14.2300,=14.2300,=113903953348.26,=106072978511.0,=36776534867.12,,=1.7913,,,,
2025-09-05,=14.2100,=14.2100,=14.2100,=14.2100,=113743863463.02,=105923894915.0,=36724846132.24,,=1.7888,,,,
2025-09-04,=14.2700,=14.2700,=14.2700,=14.2700,=114224133118.74,=106371145703.0,=36879912336.88,,=1.7964,,,,
2025-09-03,=14.3100,=14.3100,=14.3100,=14.3100,=114544312889.22,=106669312895.0,=36983289806.64,,=1.8014,,,,
2025-09-02,=14.4500,=14.4500,=14.4500,=14.4500,=115664942085.9,=107712898067.0,=37345110950.8,,=1.8190,,,,
2025-09-01,=14.1600,=14.1600,=14.1600,=14.1600,=113343638749.92,=105551185926.0,=36595624295.04,,=1.7825,,,,
2025-08-29,=14.3300,=14.3300,=14.3300,=14.3300,=114704402774.46,=106818396491.0,=37034978541.52,,=1.8584,,,,
2025-08-28,=14.5500,=14.5500,=14.5500,=14.5500,=116465391512.1,=108458316046.0,=37603554625.2,,=1.8869,,,,
2025-08-27,=14.5900,=14.5900,=14.5900,=14.5900,=116785571282.58,=108756483238.0,=37706932094.96,,=1.8921,,,,
2025-08-26,=14.8200,=14.8200,=14.8200,=14.8200,=118626604962.84,=110470944592.0,=38301352546.08,,=1.9220,,,,
2025-08-25,=14.8800,=14.8800,=14.8800,=14.8800,=119106874618.56,=110918195379.0,=38456418750.72,,=1.9297,,,,
2025-08-22,=14.7400,=14.7400,=14.7400,=14.7400,=117986245421.88,=109874610208.0,=38094597606.56,,=1.9116,,,,
2025-08-21,=14.8100,=14.8100,=14.8100,=14.8100,=118546560020.22,=110396402794.0,=38275508178.64,,=1.9207,,,,
2025-08-20,=14.6200,=14.6200,=14.6200,=14.6200,=117025706110.44,=108980108632.0,=37784465197.28,,=1.8960,,,,
2025-08-19,=14.6300,=14.6300,=14.6300,=14.6300,=117105751053.06,=109054650430.0,=37810309564.72,,=1.8973,,,,
2025-08-18,=14.6200,=14.6200,=14.6200,=14.6200,=117025706110.44,=108980108632.0,=37784465197.28,,=1.8960,,,,
2025-08-15,=14.7000,=14.7000,=14.7000,=14.7000,=117666065651.4,=109576443016.0,=37991220136.8,,=1.9064,,,,
2025-08-14,=14.7600,=14.7600,=14.7600,=14.7600,=118146335307.12,=110023693804.0,=38146286341.44,,=1.9142,,,,
2025-08-13,=14.7900,=14.7900,=14.7900,=14.7900,=118386470134.98,=110247319198.0,=38223819443.76,,=1.9181,,,,
2025-08-12,=14.9100,=14.9100,=14.9100,=14.9100,=119347009446.42,=111141820773.0,=38533951853.04,,=1.9336,,,,
2025-08-11,=14.9200,=14.9200,=14.9200,=14.9200,=119427054389.04,=111216362571.0,=38559796220.48,,=1.9349,,,,
2025-08-08,=15.1400,=15.1400,=15.1400,=15.1400,=121188043126.68,=112856282127.0,=39128372304.16,,=1.9635,,,,
2025-08-07,=15.5600,=15.5600,=15.5600,=15.5600,=124549930716.72,=115987037641.0,=40213835736.64,,=1.9051,,,,
2025-08-06,=15.5800,=15.5800,=15.5800,=15.5800,=124710020601.96,=116136121237.0,=40265524471.52,,=1.9076,,,,
2025-08-05,=15.6100,=15.6100,=15.6100,=15.6100,=124950155429.82,=116359746631.0,=40343057573.84,,=1.9113,,,,
2025-08-04,=15.5200,=15.5200,=15.5200,=15.5200,=124229750946.24,=115688870449.0,=40110458266.88,,=1.9002,,,,
2025-08-01,=15.5900,=15.5900,=15.5900,=15.5900,=124790065544.58,=116210663035.0,=40291368838.96,,=1.9088,,,,
2025-07-31,=15.7500,=15.7500,=15.7500,=15.7500,=126070784626.5,=117403331803.0,=40704878718.0,,=1.9284,,,,
2025-07-30,=15.9000,=15.9000,=15.9000,=15.9000,=127271458765.8,=118521458772.0,=41092544229.6,,=1.9468,,,,
2025-07-29,=15.8000,=15.8000,=15.8000,=15.8000,=126471009339.6,=117776040793.0,=40834100555.2,,=1.9345,,,,
2025-07-28,=15.5800,=15.5800,=15.5800,=15.5800,=124710020601.96,=116136121237.0,=40265524471.52,,=1.9076,,,,
2025-07-25,=15.4200,=15.4200,=15.4200,=15.4200,=123429301520.04,=114943452470.0,=39852014592.48,,=1.8880,,,,
2025-07-24,=15.2400,=15.2400,=15.2400,=15.2400,=121988492552.88,=113601700106.0,=39386815978.56,,=1.8660,,,,
2025-07-23,=15.3500,=15.3500,=15.3500,=15.3500,=122868986921.7,=114421659884.0,=39671104020.4,,=1.8794,,,,
2025-07-22,=15.5900,=15.5900,=15.5900,=15.5900,=124790065544.58,=116210663035.0,=40291368838.96,,=1.9088,,,,
