date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-06-02,215017573633.84,1.6166,0.4922,2.0540,1.6235,1.4100,0.4633,0.0231,1.0712,0.8698,0.5282,4.9934,0.2195,9.7234,7.0654,4.9389,0.0538
2026-06-01,213271040996.02,1.6034,0.4744,2.0540,1.6235,1.4100,0.4596,0.0186,1.0712,0.8700,0.5284,4.9529,0.2050,9.7234,7.0654,4.9389,0.0542
2026-05-29,212106685904.14,1.5947,0.4670,2.0540,1.6232,1.4100,0.4570,0.0165,1.0712,0.8702,0.5288,4.9258,0.1962,9.7234,7.0654,4.9389,0.0545
2026-05-28,206867087990.68,1.5553,0.4181,2.0540,1.6233,1.4100,0.4458,0.0008,1.0712,0.8704,0.5288,4.8042,0.1501,9.7234,7.0654,4.9396,0.0559
2026-05-27,208807679810.48,1.5699,0.4381,2.0540,1.6235,1.4100,0.4499,0.0078,1.0712,0.8707,0.5291,4.8492,0.1663,9.7234,7.0654,4.9402,0.0554
2026-05-26,209389857356.42,1.5742,0.4439,2.0540,1.6235,1.4100,0.4512,0.0107,1.0712,0.8708,0.5293,4.8627,0.1704,9.7234,7.0654,4.9402,0.0552
2026-05-25,207255206354.64,1.5582,0.4229,2.0540,1.6235,1.4100,0.4466,0.0025,1.0712,0.8710,0.5293,4.8132,0.1531,9.7234,7.0654,4.9443,0.0558
2026-05-22,207255206354.64,1.5582,0.4237,2.0540,1.6232,1.4100,0.4466,0.0025,1.0712,0.8716,0.5294,4.8132,0.1529,9.7234,7.0654,4.9443,0.0558
2026-05-21,207643324718.6,1.5611,0.4276,2.0540,1.6233,1.4100,0.4474,0.0029,1.0712,0.8716,0.5298,4.8222,0.1563,9.7234,7.0654,4.9443,0.0557
2026-05-20,209001738992.46,1.5713,0.4414,2.0540,1.6235,1.4100,0.4504,0.0070,1.0712,0.8716,0.5302,4.8537,0.1663,9.7234,7.0654,4.9443,0.0553
2026-05-19,210748271630.28,1.5845,0.4567,2.0540,1.6235,1.4100,0.4541,0.0107,1.0712,0.8716,0.5307,4.8943,0.1807,9.7234,7.0654,4.9462,0.0549
2026-05-18,210748271630.28,1.5845,0.4571,2.0540,1.6235,1.4100,0.4541,0.0107,1.0712,0.8724,0.5307,4.8943,0.1807,9.7234,7.0654,4.9487,0.0549
2026-05-15,213271040996.02,1.6034,0.4753,2.0540,1.6232,1.4100,0.4596,0.0144,1.0712,0.8726,0.5312,4.9529,0.2007,9.7234,7.0654,4.9520,0.0542
2026-05-14,214435396087.9,1.6122,0.4866,2.0540,1.6233,1.4100,0.4621,0.0165,1.0712,0.8729,0.5312,4.9799,0.2091,9.7234,7.0654,4.9520,0.0539
2026-05-13,216181928725.72,1.6253,0.5041,2.0540,1.6235,1.4100,0.4658,0.0202,1.0712,0.8733,0.5312,5.0205,0.2195,9.7234,7.0654,4.9520,0.0535
2026-05-12,218316579727.5,1.6414,0.5268,2.0540,1.6232,1.4100,0.4704,0.0219,1.0712,0.8734,0.5313,5.0701,0.2306,9.7234,7.0654,4.9520,0.0530
2026-05-11,218898757273.44,1.6457,0.5318,2.0540,1.6227,1.4100,0.4717,0.0243,1.0712,0.8734,0.5313,5.0836,0.2335,9.7234,7.0654,4.9520,0.0528
2026-05-08,219286875637.4,1.6486,0.5383,2.0540,1.6224,1.4100,0.4725,0.0256,1.0712,0.8736,0.5316,5.0926,0.2378,9.7234,7.0654,4.9520,0.0527
2026-05-07,220645289911.26,1.6589,0.5501,2.0540,1.6223,1.4100,0.4754,0.0355,1.0712,0.8741,0.5318,5.1241,0.2449,9.7234,7.0654,4.9520,0.0524
2026-05-06,220451230729.28,1.6574,0.5495,2.0540,1.6223,1.4100,0.4750,0.0342,1.0712,0.8745,0.5318,5.1196,0.2438,9.7234,7.0654,4.9520,0.0525
2026-04-30,222974000095.02,1.6764,0.5698,2.0540,1.6219,1.4100,0.4805,0.0511,1.0712,0.8748,0.5318,5.1782,0.2563,9.7234,7.0654,4.9520,0.0519
2026-04-29,223556177640.96,1.6807,0.5738,2.0540,1.6217,1.4100,0.4817,0.0532,1.0712,0.8750,0.5321,5.1917,0.2622,9.7234,7.0654,4.9520,0.0517
2026-04-28,222391822549.08,1.6720,0.5676,2.0540,1.6216,1.4100,0.4792,0.0458,1.0712,0.8752,0.5321,5.1647,0.2535,9.7234,7.0654,4.9520,0.0520
2026-04-27,220839349093.24,1.6603,0.5532,2.0540,1.6211,1.4100,0.4759,0.0363,1.0712,0.8752,0.5323,5.1286,0.2461,9.7234,7.0654,4.9520,0.0524
2026-04-24,213465100178.0,1.6240,0.5062,2.0537,1.6192,1.4104,0.4731,0.0264,1.0705,0.8764,0.5323,5.0070,0.2154,9.7060,7.0654,4.9524,0.0542
2026-04-23,213465100178.0,1.6240,0.5064,2.0540,1.6188,1.4100,0.4731,0.0264,1.0712,0.8764,0.5323,5.0070,0.2155,9.7234,7.0654,4.9520,0.0542
2026-04-22,213076981814.04,1.6211,0.5012,2.0540,1.6185,1.4100,0.4722,0.0251,1.0712,0.8765,0.5325,4.9979,0.2143,9.7234,7.0654,4.9520,0.0543
2026-04-21,215017573633.84,1.6358,0.5214,2.0540,1.6181,1.4100,0.4765,0.0371,1.0712,0.8767,0.5325,5.0435,0.2218,9.7234,7.0654,4.9520,0.0538
2026-04-20,214629455269.88,1.6329,0.5173,2.0540,1.6181,1.4100,0.4757,0.0342,1.0712,0.8769,0.5325,5.0344,0.2201,9.7234,7.0654,4.9520,0.0539
2026-04-17,213659159359.98,1.6255,0.5099,2.0537,1.6179,1.4104,0.4735,0.0272,1.0705,0.8774,0.5330,5.0116,0.2158,9.7060,7.0654,4.9524,0.0541
2026-04-16,215211632815.82,1.6373,0.5237,2.0540,1.6178,1.4100,0.4769,0.0371,1.0712,0.8774,0.5330,5.0480,0.2221,9.7234,7.0654,4.9520,0.0537
2026-04-15,217540342999.58,1.6550,0.5486,2.0540,1.6177,1.4100,0.4821,0.0495,1.0712,0.8774,0.5330,5.1026,0.2374,9.7234,7.0654,4.9520,0.0532
2026-04-14,216764106271.66,1.6491,0.5420,2.0540,1.6177,1.4100,0.4804,0.0470,1.0712,0.8774,0.5332,5.0844,0.2304,9.7234,7.0654,4.9520,0.0534
