date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-02,113247405041.83,0.0207,17.1427,0.6073,22.8833,15.7452,11.6475,1.0910,0.7373,1.1789,0.8349,0.6653,1.8073,0.9097,1.6075,1.3790,1.1970
2026-06-01,114886974504.69,0.0205,17.3909,0.6198,22.9103,15.7452,11.6475,1.1068,0.7449,1.1800,0.8349,0.6653,1.8334,0.9159,1.6066,1.3787,1.1959
2026-05-29,114184301877.75,0.0206,17.2845,0.6147,23.1451,15.7484,11.6549,1.1001,0.7401,1.1813,0.8349,0.6654,1.8222,0.9139,1.6060,1.3784,1.1938
2026-05-28,107977360339.78,0.0218,16.3449,0.5535,23.3022,15.7460,11.6475,1.0403,0.7015,1.1824,0.8349,0.6653,1.7232,0.8662,1.6060,1.3784,1.1937
2026-05-27,109616929802.64,0.0214,16.5931,0.5726,23.3022,15.7452,11.6475,1.0561,0.7106,1.1824,0.8349,0.6653,1.7493,0.8795,1.6060,1.3784,1.1937
2026-05-26,112544732414.89,0.0209,17.0363,0.6023,23.6486,15.7452,11.6475,1.0843,0.7327,1.1829,0.8349,0.6653,1.7961,0.9072,1.6053,1.3784,1.1936
2026-05-25,114301413982.24,0.0206,17.3022,0.6140,23.8242,15.7452,11.6475,1.1012,0.7394,1.1842,0.8349,0.6653,1.8241,0.9147,1.6049,1.3782,1.1926
2026-05-22,113013180832.85,0.0208,17.1072,0.6047,24.4681,15.7484,11.6549,1.0888,0.7346,1.1854,0.8349,0.6654,1.8035,0.9110,1.6040,1.3781,1.1916
2026-05-21,112076283996.93,0.0210,16.9654,0.5982,24.5852,15.7460,11.6475,1.0797,0.7283,1.1854,0.8349,0.6653,1.7886,0.9047,1.6040,1.3781,1.1916
2026-05-20,111022275056.52,0.0212,16.8058,0.5910,24.5852,15.7452,11.6475,1.0696,0.7194,1.1854,0.8349,0.6653,1.7718,0.8988,1.6034,1.3776,1.1916
2026-05-19,110085378220.6,0.0213,16.6640,0.5797,24.5852,15.7452,11.6475,1.0606,0.7131,1.1855,0.8349,0.6653,1.7568,0.8867,1.6032,1.3771,1.1914
2026-05-18,110788050847.54,0.0212,16.7704,0.5893,24.7023,15.7452,11.6475,1.0673,0.7177,1.1858,0.8349,0.6653,1.7680,0.8942,1.6032,1.3769,1.1914
