date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,1.9225,-0.114,2329658005,8352015912
2025-12-31,6.7147,-0.3031,8135775409,33282159404
2025-09-30,6.2481,-0.2884,7570044518,25833906543
2025-06-30,4.184,-0.33,5068767098,16743003854
2025-03-31,2.1698,-0.1689,2628580553,8237179005
2024-12-31,9.6356,0.0081,11668487164,36725749548
2024-09-30,8.7808,0.0812,10637075305,29484805493
2024-06-30,6.2446,0.1741,7560737744,20530596799
2024-03-31,2.6107,0.228,3159898674,9372811209
2023-12-31,9.5586,0.2038,11582226085,34931900884
2023-09-30,8.1216,0.213,9834303940,27303797964
2023-06-30,5.3187,0.2176,6441990849,18475773496
2023-03-31,2.126,0.2236,2571117273,8364281841
2022-12-31,7.9402,0.2055,9607174094,30365643811
2022-09-30,6.6955,0.2214,8102334072,23295830669
2022-06-30,4.3682,0.2224,5287652288,15355576079
2022-03-31,1.7375,0.2317,2105071901,6943108994
2021-12-31,6.5868,0.2027,8001553606,25269580818
2021-09-30,5.4816,0.2425,6662883207,19391512275
2021-06-30,3.5736,0.2579,4344429645,12778347633
2021-03-31,1.4107,0.3058,1715036341,5781049735
2020-12-31,5.4765,0.4224,6657676062,21025846389
2020-09-30,4.4116,0.4609,5363155897,16063658639
2020-06-30,2.8409,0.4578,3453628126,10564367033
2020-03-31,1.0803,0.3058,1313277159,4741266531
2019-12-31,3.85,0.1527,4680646750,16555991314
2019-09-30,3.02,0.1396,3671181813,12379459320
2019-06-30,1.95,0.1404,2369090559,8205572179
2019-03-31,0.83,0.1216,1005701549,3905926079
2018-12-31,3.34,0.4093,3719236169,13753357469
2018-09-30,2.65,0.456,2896638727,10279809885
2018-06-30,1.71,,1871690313,6808388237
2018-03-31,0.74,,807191051,3236282868
2017-12-31,2.37,0.472,2589154751,11173795364
2017-09-30,1.82,,1993952159,8344921050
2016-12-31,1.61,0.6429,1600457016,9031723194
