date,资产合计,长期负债合计,流动资产合计,货币资金,所有者权益合计,资产负债率,速动比率,应收账款,流动比率,有息负债率,流动负债合计,负债合计
2026-03-31,59614755270,272785,0,199640599936.04,44845563266,0.2477,1.9144,3574025664,2.3886,0.0058,3342384074,14769192004
2025-12-31,59266767707,4062631,0,230909463487.3,43011320053,0.2743,1.9081,3408119891,2.363,0.0059,3000601014,16255447654
2025-09-30,59265123962,4085585,0,297884726091.86,44244806287,0.2534,2.0378,3834696063,2.545,0.0061,2262657484,15020317675
2025-06-30,58774641210,4187384,0,272496203301.5,44021420142,0.251,2.0303,3650298506,2.5628,0.0057,2050619730,14753221068
2025-03-31,58364865856,339851,0,283711286196,43557630794,0.2537,2.033,3480911486,2.5425,0.0051,2225567023,14807235062
2024-12-31,56643545143,344737,0,309172555470,40758177564,0.2804,1.9748,3219300494,2.4596,0.0053,2165767452,15885367579
2024-09-30,57601486436,376308,0,355245328442,42013579642,0.2706,1.8954,3603524298,2.3448,0.0052,1721292613,15587906794
2024-06-30,60625701221,385539,0,352711325928.54,43652503869,0.28,1.9746,3955741319,2.3499,0.0049,2082529532,16973197352
2024-03-31,50832900575,973903,0,341253754755.24,36430608572,0.2833,2.3067,3649845513,2.6869,0.0056,2061131262,14402292003
2023-12-31,47940003061,1381066,0,352335469096.4,33346039764,0.3044,2.2399,3295124769,2.6602,0.0062,1973361518,14593963297
2023-09-30,49992718322,0,0,327128812515.14,36821362106,0.2635,2.3608,3620851174,2.7891,0.0052,1889238761,13171356216
2023-06-30,47540803419,0,0,363489929921.2,33503454773,0.2953,2.2213,3705173872,2.6524,0.0051,2495186188,14037348646
2023-03-31,48558714507,0,0,377930106923.74,34671992124,0.286,2.3326,2680167070,2.7817,0.0049,3892639670,13886722383
2022-12-31,46745236809,0,0,383095107262.18,31999112163,0.3155,2.2338,2658711527,2.6004,0.0051,4142767341,14746124646
2022-09-30,41656568645,0,0,362519976806,30219649030,0.2746,2.0132,3045133093,2.4856,0.0059,1691681458,11436919615
2022-06-30,38636377111,0,0,379736644600.8,27209388694,0.2958,1.5995,3134104553,2.0312,0.0062,2008848803,11426988417
2022-03-31,38336461111,0,0,372522618306.5,28049723794,0.2683,1.9914,2210780608,2.4599,0.006,2178818759,10286737317
2021-12-31,38103022990,0,0,462935234092.8,26968045991,0.2922,2.0317,1658675548,2.4724,0.0062,2408192187,11134976999
2021-09-30,35623730357,0,0,468551727741.72,25815978210,0.2753,1.9613,1928343664,2.4089,0.0064,1988012806,9807752147
2021-06-30,33904926652,0,0,583592592243.3,24568691384,0.2754,2.3119,1869896964,2.7664,0.0066,2287570651,9336235268
2021-03-31,35040358937,0,0,485194541173.26,25013674110,0.2861,2.19,1740869686,2.658,0.005,3246599427,10026684827
2020-12-31,33306388963,0,0,517884479316,23290381508,0.3007,2.1715,1443117646,2.6264,0,3293398162,10016007455
2020-09-30,30786704782,0,0,423060560568,22061066954,0.2834,2.782,1574305056,3.3141,0,2252728799,8725637828
2020-06-30,29631504051,0,0,371636821239,20212764728,0.3179,2.3486,1936004985,2.8338,0,2176963916,9418739323
2020-03-31,27715233480,0,34020340,318146405359,19928191854,0.281,2.7265,1752106173,3.1969,0,1728182916,7787041626
2019-12-31,25634149109,0,0,221134242013,18617050290,0.2737,3.2367,1667714349,3.713,0,0,7017098819
2019-09-30,24479144228,0,0,224246411664.2,17627279937,0.2799,3.0918,1772075221,3.5605,0,0,6851864291
2019-06-30,22911139365,0,0,198400815264,16317674917,0.2878,2.955,1784641752,3.3759,0,0,6593464448
2019-03-31,22148350182,0,0,163267337561,16172239127,0.2698,3.2004,1635912795,3.6472,0,0,5976111055
2018-12-31,21627385716,0,0,132777800509.4,15178316283,0.2982,2.9118,1572746574,3.3084,0,0,6449069433
2018-09-30,16345743276,0,0,,8597504693,0.474,1.3457,1708087599,1.6875,0.0943,0,7748238583
2018-06-30,,0,0,,,,,0,,,0,
2018-03-31,14508145374,0,0,,7435417640,0.4875,1.2388,1370649790,1.5646,0.1298,0,7072727734
2017-12-31,14438439027,0,0,,6654126669,0.5391,1.109,1422512002,1.3776,0.1373,0,7784312358
2017-09-30,,0,0,,,,,0,,,0,
2016-12-31,12974037036,1677800000,0,,4600745617,0.6454,1.1098,1026434674,1.3112,0.2734,0,8373291419
