date,市值(元),股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,169766043987.88,0.0208,21.6692,,,,,21.6625,,,,,6.1987,,,,,4.3987,,,,,5.0833,,,,
2026-07-02,168771842044.8,0.0209,21.5423,,,,,21.5357,,,,,6.1624,,,,,4.3729,,,,,5.0535,,,,
2026-07-01,171802945529.8,0.0205,21.9292,,,,,21.9224,,,,,6.2731,,,,,4.4515,,,,,5.1443,,,,
2026-06-30,164685914547.02,0.0214,21.0208,,,,,21.0143,,,,,6.0132,,,,,4.2671,,,,,4.9312,,,,
2026-06-29,166698567261.06,0.0212,21.2777,,,,,21.2711,,,,,6.0867,,,,,4.3192,,,,,4.9914,,,,
2026-06-26,162442897968.12,0.0217,20.7345,,,,,20.7281,,,,,5.9313,,,,,4.2090,,,,,4.8640,,,,
2026-06-25,167510902995.04,0.0211,21.3814,,,,,21.3748,,,,,6.1164,,,,,4.3403,,,,,5.0157,,,,
2026-06-24,165777111801.62,0.0213,21.1600,,,,,21.1535,,,,,6.0531,,,,,4.2954,,,,,4.9638,,,,
2026-06-23,168990081495.72,0.0209,21.5702,,,,,21.5635,,,,,6.1704,,,,,4.3786,,,,,5.0600,,,,
2026-06-22,171984811738.9,0.0205,21.9524,,,,,21.9456,,,,,6.2798,,,,,4.4562,,,,,5.1497,,,,
2026-06-18,169753919573.94,0.0208,21.6677,,,,,21.6610,,,,,6.1983,,,,,4.3984,,,,,5.0829,,,,
2026-06-17,173803473829.9,0.0203,22.1845,,,,,22.1777,,,,,6.3462,,,,,4.5033,,,,,5.2042,,,,
2026-06-16,173257875202.6,0.0204,22.1149,,,,,22.1081,,,,,6.3262,,,,,4.4892,,,,,5.1878,,,,
2026-06-15,177622664221.0,0.0199,22.6720,,,,,22.6651,,,,,6.4856,,,,,4.6023,,,,,5.3185,,,,
2026-06-12,183127148149.76,0.0193,23.3746,,,,,23.3674,,,,,6.6866,,,,,4.7449,,,,,5.4833,,,,
2026-06-11,178083391950.72,0.0198,22.7308,,,,,22.7238,,,,,6.5024,,,,,4.6142,,,,,5.3323,,,,
2026-06-10,173985340039.0,0.0203,22.2078,,,,,22.2009,,,,,6.3528,,,,,4.5080,,,,,5.2096,,,,
2026-06-09,172566783608.02,0.0204,22.0267,,,,,22.0199,,,,,6.3010,,,,,4.4713,,,,,5.1671,,,,
2026-06-08,173063884579.56,0.0204,22.0901,,,,,22.0833,,,,,6.3192,,,,,4.4842,,,,,5.1820,,,,
