date,净利润率,总资产收益率(ROA),净资产收益率(ROE),资本回报率(ROIC),毛利率(GM)
2026-03-31,0.2451,0.1388,0.1852,0.1847,0.6016
2025-12-31,0.2539,0.1458,0.2018,0.2012,0.6032
2025-09-30,0.2676,0.1515,0.2052,0.2045,0.6064
2025-06-30,0.2853,0.1574,0.2144,0.2137,0.6042
2025-03-31,0.3167,0.2064,0.2818,0.2808,0.6222
2024-12-31,0.3197,0.2245,0.3169,0.3156,0.6311
2024-09-30,0.3353,0.2313,0.3157,0.3146,0.6517
2024-06-30,0.3437,0.235,0.3295,0.3282,0.6649
2024-03-31,0.3386,0.2448,0.3423,0.3408,0.6605
2023-12-31,0.3315,0.2446,0.3544,0.3526,0.6616
2023-09-30,0.3299,0.2475,0.3383,0.3368,0.6561
2023-06-30,0.3214,0.2498,0.3546,0.353,0.6496
2023-03-31,0.317,0.2319,0.3213,0.3199,0.6454
2022-12-31,0.3165,0.2265,0.326,0.3245,0.6415
2022-09-30,0.3237,0.2444,0.3371,0.3354,0.6405
2022-06-30,0.3214,0.2467,0.3457,0.3439,0.6426
2022-03-31,0.3176,0.2288,0.3164,0.315,0.6503
2021-12-31,0.3167,0.2242,0.3185,0.3173,0.6501
2021-09-30,0.3269,0.2397,0.3325,0.3312,0.6424
2021-06-30,0.3249,0.2377,0.3372,0.3357,0.6485
2021-03-31,0.32,0.225,0.3142,0.313,0.6508
2020-12-31,0.3167,0.226,0.3178,0.3178,0.6497
2020-09-30,0.315,0.2307,0.3213,0.3213,0.6652
2020-06-30,0.305,0.2196,0.3158,0.3158,0.6565
2020-03-31,0.2871,0.2003,0.2766,0.2766,0.6492
2019-12-31,0.283,0.1983,0.2772,0.2772,0.6524
2019-09-30,0.2837,0.2203,0.343,0.3266,0.653
2019-06-30,0.2785,,,,0.6536
2019-03-31,0.272,0.214,0.3323,,0.6595
2018-12-31,0.2709,0.2066,0.3413,0.316,0.6657
2018-09-30,0.2669,,,,0.6665
2018-06-30,,,,,
2018-03-31,,,,,
2017-12-31,0.2328,0.1898,0.4622,,0.6703
2017-09-30,,,,,
2016-12-31,0.1785,0.1273,0.2895,,0.6462
