date,metric,value
2026-03-31,流动负债合计,725000000
2026-03-31,有息负债率,0.0607
2026-03-31,资产合计,1151563000000
2026-03-31,流动比率,3.1663
2026-03-31,应收账款,55140000000
2026-03-31,归属于母公司普通股股东的净利润,39144000000
2026-03-31,净资产收益率(ROE),0.1535
2026-03-31,总资产收益率(ROA),0.1107
2026-03-31,经营活动产生的现金流量净额,55148000000
2026-03-31,基本每股收益,0.82
2026-03-31,营业收入,116079000000
2026-03-31,资产负债率,0.2709
2026-03-31,货币资金,1901198159360
2026-03-31,长期负债合计,4770000000
2026-03-31,资本回报率(ROIC),0.1425
2026-03-31,速动比率,3.0683
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.6589
2026-03-31,流动资产合计,0
2026-03-31,负债合计,311987000000
2026-03-31,毛利率(GM),0.5055
2026-03-31,所有者权益合计,839576000000
2026-03-31,自由现金流量,92380000000
2026-03-31,净利润率,0.3061
