date,流动比率,资产负债率,应收账款,长期负债合计,流动资产合计,负债合计,资产合计,所有者权益合计,货币资金,速动比率,流动负债合计,有息负债率
2026-03-31,3.1663,0.2709,55140000000,4770000000,0,311987000000,1151563000000,839576000000,1901198159360,3.0683,725000000,0.0607
2025-12-31,3.237,0.2671,32415000000,5102000000,0,293375000000,1098559000000,805184000000,1434454011237.12,3.1179,804000000,0.0636
2025-09-30,2.3167,0.3009,39093000000,5173000000,0,338906000000,1126474000000,787568000000,1241957697601.92,2.2425,1309000000,0.0632
2025-06-30,2.3614,0.2954,44422000000,5488000000,0,330582000000,1118957000000,788375000000,1241007098522.24,2.285,886000000,0.0648
2025-03-31,2.392,0.2874,50205000000,5476000000,0,316922000000,1102706000000,785784000000,1234352904964.48,2.318,1485000000,0.0832
2024-12-31,2.2259,0.2905,32918000000,5786000000,0,306845000000,1056281000000,749436000000,1402608942067.84,2.1531,508000000,0.0919
2024-09-30,1.7107,0.3324,33078000000,5635000000,0,358786000000,1079390000000,720604000000,1428275117219.2,1.654,2256000000,0.0835
2024-06-30,1.7888,0.3296,41555000000,5832000000,0,354501000000,1075404000000,720903000000,1569703211472,1.7336,1013000000,0.0866
2024-03-31,2.1886,0.3289,42627000000,11771000000,0,347100000000,1055179000000,708079000000,1390376511252.32,2.1135,2408000000,0.1142
2023-12-31,2.0193,0.3358,36291000000,11296000000,0,337722000000,1005598000000,667876000000,997475040744.48,1.9413,1383000000,0.1195
2023-09-30,1.6778,0.368,47231000000,11113000000,0,375395000000,1020025000000,644630000000,1005561390621.76,1.6128,2347000000,0.1184
2023-06-30,1.7748,0.3617,35914000000,11658000000,0,361348000000,999074000000,637726000000,861909763390.08,1.7125,2339000000,0.1214
2023-03-31,2.4722,0.3477,38360000000,11191000000,0,334222000000,961159000000,626937000000,810537658287.36,2.3848,2431000000,0.138
2022-12-31,2.3342,0.3559,36546000000,11287000000,0,330648000000,929031000000,598383000000,723014812556.8,2.2517,1691000000,0.1447
2022-09-30,1.9596,0.3916,36236000000,10633000000,0,366130000000,934962000000,568832000000,753391285156.72,1.8899,2221000000,0.146
2022-06-30,1.8932,0.4023,43272000000,10643000000,0,370001000000,919814000000,549813000000,831273606920.8,1.8317,1032000000,0.1411
2022-03-31,2.3876,0.3739,41147000000,10787000000,0,308420000000,824763000000,516343000000,,2.2994,1165000000,0.1633
2021-12-31,2.2137,0.3872,26444000000,11290000000,0,304593000000,786569000000,481976000000,,2.1225,1983000000,0.1718
2021-09-30,,,0,0,0,,,,,,0,
2021-06-30,2.1551,0.3947,25068071300,10991410700,0,298402620100,756025404100,457622784000,,2.0584,1213432500,0.1806
2021-03-31,,,0,0,0,,,,,,0,
2020-12-31,2.2771,0.3984,18401281100,11058547800,0,287345752900,721276409000,433930656100,,2.1712,1544197700,0.199
2019-12-31,2.314,0.4085,24708200600,3684189100,0,309503744100,757730423000,448226678900,,2.2159,2230592100,0.2092
2018-12-31,2.6725,0.3882,21860137300,2922954000,0,266468905600,686380004000,419911098400,,2.5412,2035670200,0.2094
