date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.6589,92380000000,55148000000,-0.0371
2025-12-31,1.7114,97499000000,209042000000,-0.0536
2025-09-30,1.7013,93837000000,171749000000,-0.0603
2025-06-30,1.6547,90497000000,109182000000,-0.0791
2025-03-31,1.6179,98093000000,57274000000,-0.0451
2024-12-31,1.6009,97582000000,220891000000,0.0532
2024-09-30,1.6313,108420000000,182768000000,0.1492
2024-06-30,1.6324,102525000000,118554000000,0.1901
2024-03-31,1.6533,92473000000,59978000000,0.1541
2023-12-31,1.6902,88892000000,209743000000,0.0203
2023-09-30,1.5142,82882000000,159045000000,-0.047
2023-06-30,1.5199,90824000000,99618000000,-0.0255
2023-03-31,1.5638,114593000000,51968000000,0.3184
2022-12-31,1.451,110913000000,205574000000,0.39
2022-09-30,1.6647,124982000000,166892000000,0.5949
2022-06-30,1.7082,102998332600,102227000000,0.5933
2022-03-31,1.8182,80205000000,39416000000,0.6403
2021-12-31,2.1035,65495000000,147893000000,0.7962
2021-09-30,,,104642000000,
2021-06-30,,,64158931900,
2021-03-31,,,24030000000,
2020-12-31,3.2994,6921682700,82338042000,-0.3334
2019-12-31,2.0234,51569115100,123518426000,-0.0071
2018-12-31,2.3616,73720957800,124397090200,
