date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-04-16,47.4152,,,,,6.0677,,,,,6.0677,,,,,48.6679,,,,,0.0087,6.2119,,,,
2026-04-15,46.7213,,,,,5.9789,,,,,5.9789,,,,,47.9556,,,,,0.0089,6.1210,,,,
2026-04-14,47.1666,,,,,6.0359,,,,,6.0359,,,,,48.4127,,,,,0.0088,6.1794,,,,
2026-04-13,46.0377,,,,,5.8914,,,,,5.8914,,,,,47.2540,,,,,0.0090,6.0315,,,,
2026-04-10,46.4727,,,,,5.9471,,,,,5.9471,,,,,47.7005,,,,,0.0089,6.0885,,,,
2026-04-09,45.3438,,,,,5.8026,,,,,5.8026,,,,,46.5417,,,,,0.0091,5.9406,,,,
2026-04-08,45.8616,,,,,5.8689,,,,,5.8689,,,,,47.0733,,,,,0.0090,6.0084,,,,
2026-04-07,43.2620,,,,,5.5362,,,,,5.5362,,,,,44.4049,,,,,0.0096,5.6678,,,,
2026-04-03,43.3966,,,,,5.5534,,,,,5.5534,,,,,44.5431,,,,,0.0095,5.6855,,,,
2026-04-02,44.3391,,,,,5.6741,,,,,5.6741,,,,,45.5105,,,,,0.0093,5.8089,,,,
2026-04-01,45.1470,,,,,5.7774,,,,,5.7774,,,,,46.3397,,,,,0.0092,5.9148,,,,
2026-03-31,44.0491,,,,,5.6369,,,,,5.6369,,,,,45.2129,,,,,0.0094,5.7709,,,,
2026-03-30,44.5670,,,,,5.7032,,,,,5.7032,,,,,45.7444,,,,,0.0093,5.8388,,,,
2026-03-27,44.8984,,,,,5.7456,,,,,5.7456,,,,,46.0846,,,,,0.0092,5.8822,,,,
2026-03-26,45.4370,,,,,5.8145,,,,,5.8145,,,,,46.6374,,,,,0.0091,5.9528,,,,
2026-03-25,45.0434,,,,,5.7642,,,,,5.7642,,,,,46.2334,,,,,0.0092,5.9012,,,,
2026-03-24,44.0906,,,,,5.6422,,,,,5.6422,,,,,45.2554,,,,,0.0094,5.7764,,,,
2026-03-23,44.7932,,,,,5.8125,,,,,5.8125,,,,,45.7721,,,,,0.0079,5.7601,,,,
