date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-04-21,47.7570,0.7726,49.2726,34.0888,25.8700,0.0087,6.2567,0.8706,5.7755,4.1376,3.0130,49.0187,0.7663,54.9052,37.8619,27.8383,6.1114,0.5854,7.9121,5.6722,3.9006,6.1114,0.5817,7.9162,5.6809,3.9224
2026-04-20,47.5809,0.7726,49.2726,34.0888,25.8700,0.0087,6.2336,0.8706,5.7755,4.1376,3.0130,48.8380,0.7663,54.9052,37.8619,27.8383,6.0889,0.5854,7.9121,5.6722,3.9006,6.0889,0.5817,7.9162,5.6809,3.9224
2026-04-17,47.1666,0.7726,49.2726,34.0888,25.8700,0.0088,6.1794,0.8706,5.7755,4.1376,3.0130,48.4127,0.7663,54.9052,37.8619,27.8383,6.0359,0.5854,7.9121,5.6722,3.9006,6.0359,0.5817,7.9162,5.6809,3.9224
2026-04-16,47.4152,0.7726,49.2726,34.0888,25.8700,0.0087,6.2119,0.8706,5.7755,4.1376,3.0130,48.6679,0.7663,54.9052,37.8619,27.8383,6.0677,0.5854,7.9121,5.6722,3.9006,6.0677,0.5817,7.9162,5.6809,3.9224
2026-04-15,46.7213,0.7726,49.2726,34.0888,25.8700,0.0089,6.1210,0.8706,5.7755,4.1376,3.0130,47.9556,0.7663,54.9052,37.8619,27.8383,5.9789,0.5854,7.9121,5.6722,3.9006,5.9789,0.5817,7.9162,5.6809,3.9224
2026-04-14,47.1666,0.7726,49.2726,34.0888,25.8700,0.0088,6.1794,0.8706,5.7755,4.1376,3.0130,48.4127,0.7663,54.9052,37.8619,27.8383,6.0359,0.5854,7.9121,5.6722,3.9006,6.0359,0.5817,7.9162,5.6809,3.9224
2026-04-13,46.0377,0.7726,49.2726,34.0888,25.8700,0.0090,6.0315,0.8706,5.7755,4.1376,3.0130,47.2540,0.7663,54.9052,37.8619,27.8383,5.8914,0.5854,7.9121,5.6722,3.9006,5.8914,0.5817,7.9162,5.6809,3.9224
2026-04-10,46.4727,0.7726,49.2726,34.0888,25.8700,0.0089,6.0885,0.8706,5.7755,4.1376,3.0130,47.7005,0.7663,54.9052,37.8619,27.8383,5.9471,0.5854,7.9121,5.6722,3.9006,5.9471,0.5817,7.9162,5.6809,3.9224
2026-04-09,45.3438,0.7726,49.2726,34.0888,25.8700,0.0091,5.9406,0.8706,5.7755,4.1376,3.0130,46.5417,0.7663,54.9052,37.8619,27.8383,5.8026,0.5854,7.9121,5.6722,3.9006,5.8026,0.5817,7.9162,5.6809,3.9224
2026-04-08,45.8616,0.7726,49.2726,34.0888,25.8700,0.0090,6.0084,0.8706,5.7755,4.1376,3.0130,47.0733,0.7663,54.9052,37.8619,27.8383,5.8689,0.5854,7.9121,5.6722,3.9006,5.8689,0.5817,7.9162,5.6809,3.9224
2026-04-07,43.2620,0.7726,49.2726,34.0888,25.8700,0.0096,5.6678,0.8706,5.7755,4.1376,3.0130,44.4049,0.7663,54.9052,37.8619,27.8383,5.5362,0.5854,7.9121,5.6722,3.9006,5.5362,0.5817,7.9162,5.6809,3.9224
2026-04-03,43.3966,0.7726,49.2726,34.0888,25.8700,0.0095,5.6855,0.8706,5.7755,4.1376,3.0130,44.5431,0.7663,54.9052,37.8619,27.8383,5.5534,0.5854,7.9121,5.6722,3.9006,5.5534,0.5817,7.9162,5.6809,3.9224
2026-04-02,44.3391,0.7726,49.2726,34.0888,25.8700,0.0093,5.8089,0.8706,5.7755,4.1376,3.0130,45.5105,0.7663,54.9052,37.8619,27.8383,5.6741,0.5854,7.9121,5.6722,3.9006,5.6741,0.5817,7.9162,5.6809,3.9224
2026-04-01,45.1470,0.7726,49.2726,34.0888,25.8700,0.0092,5.9148,0.8706,5.7755,4.1376,3.0130,46.3397,0.7663,54.9052,37.8619,27.8383,5.7774,0.5854,7.9121,5.6722,3.9006,5.7774,0.5817,7.9162,5.6809,3.9224
2026-03-31,44.0491,0.7726,49.2726,34.0888,25.8700,0.0094,5.7709,0.8706,5.7755,4.1376,3.0130,45.2129,0.7663,54.9052,37.8619,27.8383,5.6369,0.5854,7.9121,5.6722,3.9006,5.6369,0.5817,7.9162,5.6809,3.9224
2026-03-30,44.5670,0.7726,49.2726,34.0888,25.8700,0.0093,5.8388,0.8706,5.7755,4.1376,3.0130,45.7444,0.7663,54.9052,37.8619,27.8383,5.7032,0.5854,7.9121,5.6722,3.9006,5.7032,0.5817,7.9162,5.6809,3.9224
2026-03-27,44.8984,0.7726,49.2726,34.0888,25.8700,0.0092,5.8822,0.8706,5.7755,4.1376,3.0130,46.0846,0.7663,54.9052,37.8619,27.8383,5.7456,0.5854,7.9121,5.6722,3.9006,5.7456,0.5817,7.9162,5.6809,3.9224
2026-03-26,45.4370,0.7726,49.2726,34.0888,25.8700,0.0091,5.9528,0.8706,5.7755,4.1376,3.0130,46.6374,0.7663,54.9052,37.8619,27.8383,5.8145,0.5854,7.9121,5.6722,3.9006,5.8145,0.5817,7.9162,5.6809,3.9224
2026-03-25,45.0434,0.7726,49.2726,34.0888,25.8700,0.0092,5.9012,0.8706,5.7755,4.1376,3.0130,46.2334,0.7663,54.9052,37.8619,27.8383,5.7642,0.5854,7.9121,5.6722,3.9006,5.7642,0.5817,7.9162,5.6809,3.9224
2026-03-24,44.0906,0.7726,49.2726,34.0888,25.8700,0.0094,5.7764,0.8706,5.7755,4.1376,3.0130,45.2554,0.7663,54.9052,37.8619,27.8383,5.6422,0.5854,7.9121,5.6722,3.9006,5.6422,0.5817,7.9162,5.6809,3.9224
2026-03-23,44.7932,0.7726,49.2726,34.0888,25.8700,0.0079,5.7601,0.8706,5.7755,4.1376,3.0130,45.7721,0.7663,54.9052,37.8619,27.8383,5.8125,0.5854,7.9121,5.6722,3.9006,5.8125,0.5817,7.9162,5.6809,3.9224
2026-03-20,46.0745,0.7726,49.2726,34.0888,25.8700,0.0077,5.9248,0.8706,5.7755,4.1376,3.0130,47.0814,0.7663,54.9052,37.8619,27.8383,5.9788,0.5854,7.9121,5.6722,3.9006,5.9788,0.5817,7.9162,5.6809,3.9224
2026-03-19,46.8558,0.7726,49.2726,34.0888,25.8700,0.0076,6.0253,0.8706,5.7755,4.1376,3.0130,47.8798,0.7663,54.9052,37.8619,27.8383,6.0802,0.5854,7.9121,5.6722,3.9006,6.0802,0.5817,7.9162,5.6809,3.9224
2026-03-18,48.3455,0.7726,49.2726,34.0888,25.8700,0.0074,6.2169,0.8706,5.7755,4.1376,3.0130,49.4019,0.7663,54.9052,37.8619,27.8383,6.2735,0.5854,7.9121,5.6722,3.9006,6.2735,0.5817,7.9162,5.6809,3.9224
2026-03-17,47.8038,0.7726,49.2726,34.0888,25.8700,0.0074,6.1472,0.8706,5.7755,4.1376,3.0130,48.8484,0.7663,54.9052,37.8619,27.8383,6.2032,0.5854,7.9121,5.6722,3.9006,6.2032,0.5817,7.9162,5.6809,3.9224
