date,速动比率,资产负债率,流动比率,有息负债率
2025-12-31,1.8222,0.3515,2.1947,0.0823
2025-09-30,1.9561,0.3425,2.3092,0.0885
2025-06-30,1.8475,0.368,2.1897,0.0996
2025-03-31,1.2703,0.4491,1.6499,0.1228
2024-12-31,1.2368,0.4631,1.6358,0.124
2024-09-30,1.2733,0.458,1.6346,0.1305
2024-06-30,1.3294,0.4484,1.728,0.1253
2024-03-31,1.3396,0.4342,1.7955,0.1266
2023-12-31,1.2977,0.4336,1.6983,0.1229
2023-09-30,1.315,0.4258,1.6895,0.1313
2023-06-30,1.337,0.5172,1.7214,0.2284
2023-03-31,1.4198,0.5143,1.8509,0.2327
2022-12-31,1.5126,0.5308,1.9835,0.2393
2022-09-30,1.5095,0.5383,1.9733,0.2536
2022-06-30,1.5474,0.5358,2.0135,0.2593
2022-03-31,1.5955,0.5183,2.0995,0.2551
2021-12-31,1.5375,0.5236,1.9843,0.2588
2021-09-30,1.7002,0.5043,2.149,0.2501
2021-06-30,1.8239,0.4981,2.2879,0.2403
2021-03-31,1.6356,0.4052,2.1781,0.1242
2020-12-31,1.9475,0.4039,2.4504,0.1309
2020-09-30,2.1096,0.3977,2.5783,0.1613
2020-06-30,1.9707,0.3823,2.4282,0.1631
2020-03-31,1.8755,0.36,2.3908,0.1315
2019-12-31,1.6582,0.3668,2.1348,0.1292
2019-09-30,1.6057,0.3645,1.9965,0.1385
2019-06-30,1.5162,0.3763,1.8859,0.134
2019-03-31,1.5676,0.3684,1.9582,0.1353
2018-12-31,1.5879,0.3755,2.0211,0.1305
2018-09-30,1.5896,0.3791,2.0111,0.1432
2018-06-30,1.7843,0.3614,2.239,0.1248
2018-03-31,1.8488,0.3587,2.364,0.1254
2017-12-31,1.8305,0.3582,2.3393,0.1082
2017-09-30,2.0983,0.3476,2.593,0.1145
2017-06-30,1.5903,0.3942,2.0071,0.1298
2017-03-31,1.6468,0.3586,2.1103,0.1079
2016-12-31,1.6681,0.361,2.1495,0.111
2016-09-30,1.7338,0.3633,2.1776,0.1339
2016-06-30,1.7115,0.3902,2.1363,0.1635
